META; english/fa-cup/carlisle-v-rochdale; 2016-11-18 20:25:38 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-19 00:24:13 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-19 04:23:53 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/carlisle-v-rochdale; 2016-11-19 08:24:27 GMT+2; 2016-12-03 15:00; e70300-dr003
Carlisle; 6/4; 11/8; ; ; ; ; 7/5; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rochdale; 7/4; 7/4; ; ; ; ; 7/4; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
