META; english/fa-cup/chelsea-v-tottenham; 2017-03-14 04:22:44 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; ; 6/5; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham; 23/10; 9/4; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-14 08:22:42 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; ; 6/5; ; ; ; ; ; ; ; 4/6; ; 15/13; ; ; 15/13; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 14/5; ; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; 
Tottenham; 23/10; 9/4; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 7/2; ; 11/5; ; ; 11/5; ; ; ; ; ; ; ; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-14 12:24:24 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 6/5; ; ; 23/20; ; ; 23/20; ; 5/4; ; 15/13; ; 6/5; 15/13; 13/10; ; 6/5; ; 6/5; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; ; ; 12/5; ; ; 12/5; ; 23/10; ; 23/10; ; 12/5; 23/10; 12/5; ; 12/5; ; 12/5; ; ; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 23/10; ; ; 23/10; ; ; 23/10; ; 23/10; ; 11/5; ; 23/10; 11/5; 49/20; ; 23/10; ; 23/10; ; ; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-14 16:23:22 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 6/5; ; ; 23/20; ; ; 23/20; ; 5/4; 5/4; 15/13; ; 6/5; 15/13; 13/10; ; 6/5; ; 6/5; ; 1/14; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 23/10; ; ; 23/10; ; ; 23/10; ; 23/10; 12/5; 11/5; ; 23/10; 11/5; 49/20; ; 23/10; ; 23/10; ; 1/14; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; ; ; 12/5; ; ; 12/5; ; 23/10; 5/2; 23/10; ; 12/5; 23/10; 12/5; ; 12/5; ; 12/5; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-14 20:24:03 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; ; ; 23/20; ; ; 11/10; ; 23/20; 5/4; 11/10; ; 11/10; 11/10; 13/10; ; 11/10; ; 11/10; ; 1/14; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; ; ; 23/10; ; ; 49/20; ; 12/5; 5/2; 23/10; ; 5/2; 23/10; 49/20; ; 5/2; ; 5/2; ; 1/12; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; ; ; 12/5; ; ; 12/5; ; 12/5; 5/2; 40/17; ; 12/5; 40/17; 12/5; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-15 00:22:58 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 32/25; ; 11/10; ; 11/10; ; 1/14; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 49/20; ; 27/11; ; 27/11; ; 21/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 13/5; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 62/25; ; 5/2; ; 5/2; ; 1/12; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-15 04:22:05 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; ; 32/25; ; 11/10; ; 11/10; ; 1/14; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; ; 62/25; ; 5/2; ; 5/2; ; 20/21; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; ; 49/20; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-15 08:21:45 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 32/25; ; 11/10; ; 11/10; ; 1/14; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 62/25; ; 5/2; ; 5/2; ; 20/21; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 49/20; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-15 12:24:52 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 32/25; ; 11/10; ; 11/10; ; 1/14; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 49/20; ; 27/11; ; 27/11; ; 21/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 13/5; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 62/25; ; 5/2; ; 5/2; ; 20/21; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-15 16:22:51 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 32/25; ; 11/10; ; 11/10; ; 1/14; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 62/25; ; 5/2; ; 5/2; ; 20/21; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 49/20; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-15 20:22:52 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 32/25; ; 11/10; ; 11/10; ; 1/14; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 62/25; ; 5/2; ; 5/2; ; 20/21; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 49/20; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-16 00:28:51 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 5/4; ; 11/10; ; 11/10; ; 1/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 5/2; ; 5/2; ; 5/2; ; 20/21; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 5/2; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-16 04:22:27 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 5/4; ; 11/10; ; 11/10; ; 1/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 5/2; ; 5/2; ; 5/2; ; 20/21; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 5/2; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-16 08:21:57 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 5/4; ; 11/10; ; 11/10; ; 1/10; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 5/2; ; 27/11; ; 27/11; ; 21/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 13/5; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 5/2; ; 5/2; ; 5/2; ; 20/21; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-16 12:23:07 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 5/4; ; 11/10; ; 11/10; ; 1/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 5/2; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 5/2; ; 5/2; ; 5/2; ; 20/21; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 5/2; ; 27/11; ; 27/11; ; 21/10; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-16 16:23:12 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 5/4; ; 11/10; ; 11/10; ; 1/10; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 5/2; ; 27/11; ; 27/11; ; 21/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 13/5; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 5/2; ; 5/2; ; 5/2; ; 20/21; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-16 20:22:44 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 5/4; ; 11/10; ; 11/10; ; 1/10; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 5/2; ; 27/11; ; 27/11; ; 21/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 13/5; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 5/2; ; 5/2; ; 5/2; ; 20/21; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-17 00:21:49 GMT+2; 2017-04-22 18:45; e70300-dr003
Chelsea; 6/5; 6/5; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; ; ; 11/10; 6/5; 23/20; 5/4; 11/10; ; 11/10; 11/10; 5/4; ; 11/10; ; 11/10; ; 1/10; ; 
Draw; 12/5; 23/10; ; 11/5; ; 23/10; 23/10; 12/5; ; 12/5; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 12/5; 40/17; 5/2; ; 27/11; ; 27/11; ; 21/10; ; 
Tottenham; 23/10; 9/4; ; 2; ; 9/4; 13/5; 9/4; ; 23/10; ; ; 49/20; 23/10; 12/5; 5/2; 23/10; ; 5/2; 23/10; 5/2; ; 5/2; ; 5/2; ; 20/21; ; 
META; english/fa-cup/chelsea-v-tottenham; 2017-03-17 04:21:15 GMT+2; 2017-04-22 18:45; e70300-dr003
