META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-10 16:23:56 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-10 20:25:09 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; ; 7/10; ; 3/4; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; 5/6; ; ; ; ; ; ; 
Draw; 3; ; 14/5; ; 11/4; ; 3; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; 3; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; ; 13/5; ; 31/10; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 13/4; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-11 00:22:37 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; ; 7/10; ; 7/10; 4/6; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; 5/6; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; ; 13/5; ; 14/5; 11/4; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 13/4; ; ; ; ; ; ; 
Draw; 3; ; 14/5; ; 11/4; ; 3; 3; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; 3; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-11 04:23:11 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; ; 7/10; ; 7/10; 4/6; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; 5/6; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; ; 13/5; ; 14/5; 11/4; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 13/4; ; ; ; ; ; ; 
Draw; 3; ; 14/5; ; 11/4; ; 3; 3; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; 3; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-11 08:23:29 GMT+3; 2016-10-15 15:00; e70300-dr003
Spennymoor Town; 8/11; ; 4/5; ; 7/10; ; 7/10; 4/6; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; 5/6; ; ; ; ; ; ; 
Lincoln Utd; 5/2; ; 3; ; 13/5; ; 14/5; 11/4; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 13/4; ; ; ; ; ; ; 
Draw; 3; ; 14/5; ; 11/4; ; 3; 3; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; 3; ; ; ; ; ; ; 
META; english/fa-cup/lincoln-utd-v-spennymoor-town; 2016-10-11 12:24:28 GMT+3; 2016-10-15 15:00; e70300-dr003
