META; english/fa-cup/man-utd-v-wigan; 2017-01-10 00:22:57 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-10 04:23:03 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; 2/15; ; ; ; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; 11/2; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; 16; ; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-10 08:23:14 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/fa-cup/man-utd-v-wigan; 2017-01-10 12:23:25 GMT+2; 2017-01-28 15:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; ; ; ; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Wigan; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
