META; english/fa-cup/mansfield-v-plymouth; 2016-10-30 20:24:07 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 6/4; 3/2; 31/20; ; 6/4; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; ; ; ; ; 
Mansfield; 9/5; 17/10; 37/20; ; 7/4; ; 7/4; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; 37/19; ; ; ; ; ; ; 
Draw; 9/4; 9/4; 43/20; ; 21/10; ; 85/40; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-10-31 00:22:42 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 6/4; 3/2; 31/20; ; 6/4; ; 6/4; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 17/11; ; ; ; ; ; ; 
Mansfield; 9/5; 17/10; 37/20; ; 7/4; ; 7/4; ; ; ; 7/4; ; ; ; 7/4; ; ; ; ; ; ; 37/19; ; ; ; ; ; ; 
Draw; 9/4; 9/4; 43/20; ; 21/10; ; 11/5; ; ; ; 21/10; ; ; ; 9/4; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-10-31 04:22:12 GMT+3; 2016-11-05 15:00; e70300-dr003
Plymouth; 6/4; 3/2; 31/20; ; 6/4; ; 6/4; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 17/11; ; ; ; ; 4/5; ; 
Mansfield; 9/5; 17/10; 37/20; ; 7/4; ; 7/4; ; ; ; 7/4; ; ; ; 7/4; ; ; ; ; ; ; 37/19; ; ; ; ; 10/11; ; 
Draw; 9/4; 9/4; 43/20; ; 21/10; ; 11/5; ; ; ; 21/10; ; ; ; 9/4; ; ; ; ; ; ; 12/5; ; ; ; ; 23/20; ; 
META; english/fa-cup/mansfield-v-plymouth; 2016-10-31 08:21:55 GMT+3; 2016-11-05 15:00; e70300-dr003
