META; english/league-1/afc-wimbledon-v-charlton; 2017-02-05 04:21:54 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charlton; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-05 08:21:10 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charlton; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-05 12:22:40 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charlton; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-05 16:23:12 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; 6/4; 6/5; 8/5; ; 6/4; ; 29/20; ; 6/4; ; 6/4; ; ; ; ; 16/11; 16/11; ; 6/4; 16/11; 31/20; ; ; ; ; ; ; 
Charlton; 17/10; 21/10; 9/5; ; 19/10; ; 15/8; ; 9/5; ; 7/4; ; ; ; ; 15/8; 17/10; ; 9/5; 17/10; 15/8; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; ; 12/5; ; 21/10; ; ; ; ; 12/5; 11/5; ; 9/4; 11/5; 5/2; ; ; ; ; ; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-05 20:23:28 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; 6/4; 6/5; 8/5; ; 6/4; ; 29/20; ; 6/4; ; 6/4; ; ; ; ; 16/11; 16/11; ; 6/4; 16/11; 31/20; ; 6/4; ; ; 1/100; ; 
Charlton; 17/10; 21/10; 9/5; ; 19/10; ; 15/8; ; 9/5; ; 7/4; ; ; ; ; 15/8; 7/4; ; 9/5; 7/4; 15/8; ; 9/5; ; ; 1/100; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; ; 12/5; ; 21/10; ; ; ; ; 12/5; 9/4; ; 9/4; 9/4; 5/2; ; 9/4; ; ; 1/100; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-06 00:21:00 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; 11/8; 6/5; 6/4; ; 29/20; ; 29/20; ; 6/4; 7/5; 29/20; ; 7/5; 29/20; ; 7/5; 16/11; ; 6/4; 16/11; 31/20; ; 6/4; ; ; 7/5; ; 
Charlton; 15/8; 21/10; 19/10; ; 2; ; 15/8; ; 15/8; 15/8; 9/5; ; 37/20; 15/8; ; 2; 9/5; ; 9/5; 9/5; 15/8; ; 9/5; ; ; 7/4; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; ; 23/10; 9/4; 21/10; ; 47/20; 9/4; ; 12/5; 11/5; ; 9/4; 11/5; 5/2; ; 9/4; ; ; 21/10; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-06 04:20:59 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; 11/8; 6/5; 6/4; 6/4; 29/20; 7/5; 29/20; 7/5; 6/4; 7/5; 29/20; ; 7/5; 29/20; ; 7/5; 16/11; ; 7/5; 16/11; 31/20; ; 10/7; ; ; 7/5; ; 
Charlton; 15/8; 21/10; 19/10; 15/8; 2; 9/5; 15/8; 15/8; 15/8; 15/8; 9/5; ; 19/10; 15/8; ; 2; 9/5; ; 19/10; 9/5; 15/8; ; 37/19; ; ; 7/4; ; 
Draw; 12/5; 23/10; 43/20; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; ; 23/10; 9/4; ; 12/5; 11/5; ; 21/10; 11/5; 5/2; ; 28/13; ; ; 21/10; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-06 08:20:52 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; 11/8; 6/5; 31/20; 6/4; 29/20; 7/5; 29/20; 7/5; 6/4; 6/4; 29/20; ; 29/20; 6/4; ; 16/11; 16/11; ; 7/5; 16/11; 31/20; ; 10/7; ; ; 7/5; ; 
Charlton; 15/8; 21/10; 15/8; 15/8; 2; 9/5; 15/8; 15/8; 15/8; 9/5; 9/5; ; 37/20; 15/8; ; 2; 19/10; ; 19/10; 19/10; 15/8; ; 37/19; ; ; 7/4; ; 
Draw; 12/5; 23/10; 43/20; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 9/4; 21/10; ; 9/4; 11/5; ; 23/10; 28/13; ; 21/10; 28/13; 5/2; ; 28/13; ; ; 21/10; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-06 12:21:00 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; 11/8; 6/5; 6/4; 6/4; 29/20; 7/5; 29/20; 7/5; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; ; 16/11; 7/5; 23/17; 7/5; 7/5; ; 39/29; 10/7; ; ; 7/5; ; 
Charlton; 15/8; 21/10; 15/8; 15/8; 2; 7/4; 15/8; 15/8; 15/8; 9/5; 9/5; 15/8; 15/8; 15/8; ; 2; 24/13; 24/13; 19/10; 24/13; ; 31/18; 37/19; ; ; 7/4; ; 
Draw; 12/5; 23/10; 43/20; 11/5; 12/5; 11/5; 12/5; 23/10; 23/10; 9/4; 21/10; 11/5; 9/4; 9/4; ; 23/10; 11/5; 12/5; 21/10; 11/5; ; 23/10; 28/13; ; ; 21/10; ; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-06 16:22:40 GMT+2; 2017-02-11 15:00; e70300-dr003
AFC Wimbledon; 11/8; 6/4; 6/4; 6/4; 6/4; 7/5; 29/20; 13/10; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; 6/4; 6/4; 7/5; 23/17; 7/5; 7/5; 31/20; 39/29; 10/7; 7/5; ; 7/5; 7/5; 
Charlton; 15/8; 15/8; 15/8; 15/8; 19/10; 7/4; 15/8; 13/8; 15/8; 15/8; 9/5; 15/8; 15/8; 15/8; 15/8; 15/8; 24/13; 24/13; 19/10; 24/13; 15/8; 31/18; 37/19; 15/8; ; 9/5; 19/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 12/5; 21/10; 11/5; 5/2; 23/10; 28/13; 9/4; ; 21/10; 2; 
META; english/league-1/afc-wimbledon-v-charlton; 2017-02-06 20:22:07 GMT+2; 2017-02-11 15:00; e70300-dr003
