META; english/league-1/bury-v-charlton; 2016-07-25 20:19:17 GMT+3; 2016-08-06 15:00; e70300-dr003
Charlton; 11/8; 11/8; 11/8; 29/20; 11/8; 27/20; 29/20; 6/5; 7/5; 7/5; 7/5; 5/4; 11/8; 11/8; 7/5; 13/10; 11/8; 7/5; 6/5; 7/5; 23/17; 11/8; 13/10; ; 13/10; ; 
Bury; 2; 19/10; 15/8; 19/10; 15/8; 20/11; 2; 9/5; 2; 19/10; 19/10; 7/4; 9/5; 15/8; 15/8; 21/10; 15/8; 19/10; 2; 19/10; 24/13; 24/11; 7/4; ; 9/5; ; 
Draw; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 11/5; 11/5; 9/4; 23/10; 9/4; 23/10; 11/5; 23/10; 11/5; 27/11; 23/10; ; 9/4; ; 
META; english/league-1/bury-v-charlton; 2016-07-26 00:19:18 GMT+3; 2016-08-06 15:00; e70300-dr003
Charlton; 11/8; 11/8; 11/8; 29/20; 11/8; 27/20; 29/20; 6/5; 7/5; 7/5; 7/5; 5/4; 11/8; 11/8; 7/5; 13/10; 11/8; 7/5; 6/5; 7/5; 23/17; 11/8; 13/10; ; 13/10; ; 
Bury; 2; 19/10; 15/8; 19/10; 15/8; 20/11; 2; 9/5; 2; 19/10; 19/10; 7/4; 9/5; 15/8; 15/8; 21/10; 15/8; 19/10; 2; 19/10; 24/13; 24/11; 7/4; ; 9/5; ; 
Draw; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 11/5; 11/5; 9/4; 23/10; 9/4; 23/10; 11/5; 23/10; 11/5; 27/11; 23/10; ; 9/4; ; 
META; english/league-1/bury-v-charlton; 2016-07-26 04:18:48 GMT+3; 2016-08-06 15:00; e70300-dr003
Charlton; 11/8; 11/8; 11/8; 29/20; 11/8; 27/20; 29/20; 6/5; 7/5; 7/5; 7/5; 5/4; 11/8; 11/8; 7/5; 13/10; 11/8; 7/5; 6/5; 7/5; 23/17; 11/8; 13/10; ; 13/10; ; 
Bury; 2; 19/10; 15/8; 19/10; 15/8; 20/11; 2; 9/5; 2; 19/10; 19/10; 7/4; 9/5; 15/8; 15/8; 21/10; 15/8; 19/10; 2; 19/10; 24/13; 24/11; 7/4; ; 9/5; ; 
Draw; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 11/5; 11/5; 9/4; 23/10; 9/4; 23/10; 11/5; 23/10; 11/5; 27/11; 23/10; ; 9/4; ; 
