META; english/league-1/bury-v-shrewsbury; 2016-09-04 00:20:34 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; ; 11/10; ; ; ; ; 21/20; ; ; ; ; 10/11; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 23/10; ; ; ; ; 14/5; ; ; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bury-v-shrewsbury; 2016-09-04 04:20:34 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; ; 11/10; ; ; 1; ; 21/20; ; ; ; ; 10/11; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 23/10; ; ; 11/4; ; 14/5; ; ; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bury-v-shrewsbury; 2016-09-04 08:20:31 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; ; 11/10; ; ; 1; ; 21/20; ; ; ; ; 10/11; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 23/10; ; ; 11/4; ; 14/5; ; ; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bury-v-shrewsbury; 2016-09-04 12:20:46 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; 11/10; 11/10; ; ; 1; ; 21/20; ; ; ; ; 10/11; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; 12/5; 23/10; ; ; 11/4; ; 11/4; ; ; ; ; 3; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bury-v-shrewsbury; 2016-09-04 16:21:13 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; 11/10; 11/10; 11/10; 21/20; 1; ; 21/20; ; 11/10; 11/10; ; 10/11; ; 21/20; ; ; 11/10; 21/20; 11/10; ; 11/10; 21/20; 15/13; ; 11/10; ; ; ; 
Draw; 12/5; 23/10; 49/20; 5/2; 12/5; ; 12/5; ; 12/5; 12/5; ; 12/5; ; 12/5; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; 12/5; ; 12/5; ; ; ; 
Shrewsbury; 12/5; 23/10; 12/5; 5/2; 11/4; ; 13/5; ; 13/5; 12/5; ; 3; ; 5/2; ; ; 13/5; 23/10; 12/5; ; 12/5; 23/10; 11/4; ; 12/5; ; ; ; 
META; english/league-1/bury-v-shrewsbury; 2016-09-04 20:21:14 GMT+3; 2016-09-10 15:00; e70300-dr003
