META; english/league-1/charlton-v-port-vale; 2016-11-13 00:22:16 GMT+2; 2016-11-19 15:00; e70300-dr003
Charlton; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Port Vale; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/charlton-v-port-vale; 2016-11-13 04:22:24 GMT+2; 2016-11-19 15:00; e70300-dr003
Charlton; ; 4/5; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Port Vale; ; 16/5; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/charlton-v-port-vale; 2016-11-13 08:22:34 GMT+2; 2016-11-19 15:00; e70300-dr003
Charlton; ; 4/5; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Port Vale; ; 16/5; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/charlton-v-port-vale; 2016-11-13 12:23:49 GMT+2; 2016-11-19 15:00; e70300-dr003
Charlton; 5/6; 4/5; ; 4/5; 4/5; ; 4/5; ; ; ; 8/11; ; ; ; ; 4/5; ; ; ; ; ; 10/11; ; ; ; ; ; ; 
Draw; 12/5; 5/2; ; 5/2; 5/2; ; 5/2; ; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Port Vale; 7/2; 16/5; ; 7/2; 18/5; ; 19/5; ; ; ; 4; ; ; ; ; 4; ; ; ; ; ; 39/11; ; ; ; ; ; ; 
META; english/league-1/charlton-v-port-vale; 2016-11-13 16:24:15 GMT+2; 2016-11-19 15:00; e70300-dr003
Charlton; 8/11; 3/4; ; 3/4; 4/5; 7/10; 3/4; ; 8/11; 3/4; 8/11; 4/5; 8/11; ; 4/5; 8/11; 14/19; 3/4; ; ; 14/19; 4/5; 14/19; 3/4; ; ; ; ; 
Draw; 5/2; 13/5; ; 12/5; 5/2; 5/2; 13/5; ; 13/5; 13/5; 5/2; 5/2; 13/5; ; 5/2; 13/5; 12/5; 5/2; ; ; 12/5; 13/5; 13/5; 5/2; ; ; ; ; 
Port Vale; 4; 19/5; ; 7/2; 18/5; 7/2; 4; ; 19/5; 15/4; 4; 18/5; 15/4; ; 7/2; 4; 18/5; 15/4; ; ; 18/5; 41/10; 17/5; 15/4; ; ; ; ; 
META; english/league-1/charlton-v-port-vale; 2016-11-13 20:23:32 GMT+2; 2016-11-19 15:00; e70300-dr003
Charlton; 8/11; 3/4; 3/4; 3/4; 4/5; 7/10; 3/4; ; 8/11; 3/4; 3/4; 4/5; 8/11; ; 4/5; 8/11; 10/13; 3/4; ; 8/11; 10/13; 4/5; 14/19; 3/4; 3/4; ; 8/11; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 13/5; ; 13/5; 13/5; 13/5; 5/2; 13/5; ; 5/2; 13/5; 27/11; 5/2; ; 5/2; 27/11; 13/5; 13/5; 5/2; 5/2; ; 12/5; ; 
Port Vale; 4; 19/5; 19/5; 7/2; 18/5; 7/2; 4; ; 19/5; 15/4; 15/4; 18/5; 15/4; ; 7/2; 4; 62/17; 15/4; ; 7/2; 62/17; 41/10; 17/5; 15/4; 15/4; ; 10/3; ; 
META; english/league-1/charlton-v-port-vale; 2016-11-14 00:22:04 GMT+2; 2016-11-19 15:00; e70300-dr003
Charlton; 8/11; 3/4; 3/4; 3/4; 4/5; 7/10; 3/4; ; 8/11; 3/4; 3/4; 4/5; 8/11; ; 4/5; 8/11; 14/19; 3/4; ; 8/11; 14/19; 4/5; 14/19; 3/4; 3/4; ; 8/11; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 13/5; ; 13/5; 13/5; 13/5; 5/2; 13/5; ; 5/2; 13/5; 27/11; 5/2; ; 5/2; 27/11; 13/5; 13/5; 5/2; 5/2; ; 12/5; ; 
