META; english/league-1/chesterfield-v-bradford; 2016-09-25 00:22:21 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-25 04:21:33 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-25 08:21:59 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-25 12:23:11 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 21/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-25 16:23:15 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 6/4; ; ; 29/20; ; ; ; ; 16/11; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 19/10; ; 9/5; ; ; 9/5; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; ; 23/10; ; ; 21/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-25 20:24:03 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 6/4; ; ; 29/20; ; 29/20; ; ; 16/11; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 15/8; ; 9/5; ; ; 9/5; ; 15/8; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; ; 23/10; ; ; 21/10; ; 11/5; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-26 00:21:45 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 6/4; ; ; 29/20; ; 29/20; ; ; 16/11; ; ; ; ; ; ; ; ; ; 1/100; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 15/8; ; 9/5; ; ; 9/5; ; 15/8; ; ; 15/8; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; ; 23/10; ; ; 21/10; ; 11/5; ; ; 9/4; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-26 04:21:25 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 6/4; ; ; 29/20; ; 29/20; ; ; 16/11; ; ; ; ; ; ; ; ; ; 6/5; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 15/8; ; 9/5; ; ; 9/5; ; 15/8; ; ; 15/8; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; ; 23/10; ; ; 21/10; ; 11/5; ; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-26 08:21:50 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 6/4; 6/4; ; 29/20; ; 29/20; ; ; 16/11; ; 6/4; ; 6/4; ; ; ; ; ; 10/11; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 19/10; ; 15/8; 9/5; ; 9/5; ; 15/8; ; ; 15/8; ; 9/5; ; 9/5; ; ; ; ; ; 23/20; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; ; 11/5; 9/4; ; 21/10; ; 11/5; ; ; 9/4; ; 9/4; ; 9/4; ; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-26 12:22:23 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; ; 6/4; 6/4; ; 29/20; ; 6/4; ; ; 6/4; 16/11; 6/4; ; 6/4; 16/11; ; ; ; ; 23/20; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 15/8; ; 15/8; 9/5; ; 9/5; ; 37/20; ; ; 15/8; 9/5; 9/5; ; 9/5; 9/5; ; ; ; ; 7/5; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; ; 11/5; 9/4; ; 21/10; ; 11/5; ; ; 11/5; 28/13; 9/4; ; 9/4; 28/13; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-26 16:22:27 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; 5/4; 6/4; 6/4; ; 29/20; ; 6/4; ; ; 6/4; 16/11; 6/4; ; 6/4; 16/11; ; ; ; ; 6/5; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 15/8; 7/4; 15/8; 9/5; ; 9/5; ; 37/20; ; ; 15/8; 9/5; 9/5; ; 9/5; 9/5; ; ; ; ; 27/20; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; 11/5; 11/5; 9/4; ; 21/10; ; 11/5; ; ; 11/5; 28/13; 9/4; ; 9/4; 28/13; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-26 20:23:00 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 6/4; 7/5; ; ; 6/4; ; 6/4; 5/4; 6/4; 6/4; ; 29/20; ; 6/4; ; ; 6/4; 16/11; 6/4; ; 6/4; 16/11; ; ; ; ; 6/5; ; 
Chesterfield; 19/10; 9/5; ; ; 15/8; ; 15/8; 7/4; 15/8; 9/5; ; 9/5; ; 37/20; ; ; 15/8; 9/5; 9/5; ; 9/5; 9/5; ; ; ; ; 7/5; ; 
Draw; 21/10; 23/10; ; ; 9/4; ; 23/10; 11/5; 11/5; 9/4; ; 21/10; ; 11/5; ; ; 9/4; 28/13; 9/4; ; 9/4; 28/13; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-27 00:22:27 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 13/10; 7/5; ; ; 5/4; ; 11/8; 5/4; 13/10; 13/10; ; 5/4; ; 13/10; ; ; 11/8; 13/10; 13/10; ; 13/10; 13/10; ; ; ; ; 23/20; ; 
Chesterfield; 21/10; 9/5; ; ; 2; ; 85/40; 7/4; 85/40; 21/10; ; 21/10; ; 21/10; ; ; 2; 2; 21/10; ; 21/10; 2; ; ; ; ; 9/5; ; 
Draw; 9/4; 23/10; ; ; 9/4; ; 23/10; 11/5; 23/10; 9/4; ; 21/10; ; 9/4; ; ; 12/5; 11/5; 9/4; ; 9/4; 11/5; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-bradford; 2016-09-27 04:22:11 GMT+3; 2016-10-01 15:00; e70300-dr003
Bradford; 13/10; 7/5; ; ; 5/4; ; 11/8; 5/4; 13/10; 13/10; ; 5/4; ; 13/10; ; ; 11/8; 13/10; 13/10; ; 13/10; 13/10; ; ; ; ; 5/4; ; 
