META; english/league-1/fleetwood-v-bradford; 2017-02-11 16:25:43 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-11 20:21:19 GMT+2; 2017-02-14 19:45; e70300-dr003
Fleetwood; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Bradford; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-12 00:22:00 GMT+2; 2017-02-14 19:45; e70300-dr003
Fleetwood; 8/5; 7/4; 17/10; 8/5; 17/10; ; 17/10; ; ; ; 8/5; ; ; 17/10; ; 7/4; ; ; ; ; ; ; ; 8/5; ; 6/4; ; 
Bradford; 17/10; 3/2; 9/5; 6/4; 17/10; ; 17/10; ; ; ; 17/10; ; ; 7/4; ; 8/5; ; ; ; ; ; ; ; 17/10; ; 13/8; ; 
Draw; 9/4; 23/10; 41/20; 11/5; 23/10; ; 9/4; ; ; ; 2; ; ; 21/10; ; 23/10; ; ; ; ; ; ; ; 11/5; ; 21/10; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-12 04:21:12 GMT+2; 2017-02-14 19:45; e70300-dr003
Fleetwood; 8/5; 7/4; 17/10; 8/5; 17/10; ; 17/10; 13/8; 13/8; ; 8/5; 17/10; 33/20; 17/10; ; 7/4; ; ; ; ; ; ; ; 8/5; ; 6/4; ; 
Bradford; 17/10; 3/2; 9/5; 6/4; 7/4; ; 17/10; 17/10; 7/4; ; 17/10; 7/4; 33/20; 7/4; ; 8/5; ; ; ; ; ; ; ; 17/10; ; 13/8; ; 
Draw; 9/4; 23/10; 41/20; 11/5; 9/4; ; 9/4; 21/10; 23/10; ; 2; 21/10; 11/5; 21/10; ; 9/4; ; ; ; ; ; ; ; 11/5; ; 21/10; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-12 08:21:04 GMT+2; 2017-02-14 19:45; e70300-dr003
Fleetwood; 8/5; 7/4; 17/10; 8/5; 17/10; ; 17/10; 13/8; 13/8; ; 8/5; 17/10; 33/20; 17/10; ; 8/5; 8/5; ; 13/8; 8/5; ; ; 28/17; 8/5; ; 6/4; ; 
Bradford; 17/10; 3/2; 9/5; 6/4; 7/4; ; 17/10; 17/10; 7/4; ; 17/10; 7/4; 33/20; 9/5; ; 7/4; 17/10; ; 13/8; 17/10; ; ; 5/3; 17/10; ; 13/8; ; 
Draw; 9/4; 23/10; 41/20; 11/5; 9/4; ; 9/4; 21/10; 23/10; ; 2; 21/10; 11/5; 21/10; ; 9/4; 11/5; ; 9/4; 11/5; ; ; 9/4; 11/5; ; 21/10; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-12 12:22:13 GMT+2; 2017-02-14 19:45; e70300-dr003
Fleetwood; 31/20; 17/10; 7/4; 8/5; 17/10; 31/20; 17/10; 13/8; 13/8; 17/10; 17/10; 17/10; 17/10; 17/10; ; 8/5; 28/17; ; 13/8; 28/17; 87/50; ; 28/17; 13/8; ; 13/8; ; 
Bradford; 7/4; 17/10; 7/4; 6/4; 7/4; 33/20; 17/10; 17/10; 9/5; 7/4; 17/10; 17/10; 17/10; 17/10; ; 7/4; 17/10; ; 13/8; 17/10; 9/5; ; 5/3; 7/4; ; 13/8; ; 
Draw; 9/4; 21/10; 2; 11/5; 11/5; 41/20; 11/5; 11/5; 11/5; 2; 19/10; 21/10; 21/10; 11/5; ; 11/5; 11/5; ; 9/4; 11/5; 23/10; ; 9/4; 21/10; ; 21/10; ; 
META; english/league-1/fleetwood-v-bradford; 2017-02-12 16:22:49 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 17/10; 8/5; 7/4; 13/8; 6/4; 31/20; 8/5; 8/5; 6/4; 31/20; 31/20; 31/20; 8/5; 6/4; 8/5; 8/5; ; 13/8; 8/5; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 7/4; 17/10; 39/20; 7/4; 15/8; 7/4; 19/10; 9/5; 15/8; 19/10; 15/8; 2; 37/20; 19/10; 15/8; 15/8; 9/5; ; 13/8; 9/5; 46/25; 20/11; 5/3; 15/8; ; 9/5; 9/5; 
Draw; 9/4; 21/10; 39/20; 2; 11/5; 41/20; 11/5; 21/10; 85/40; 2; 19/10; 2; 21/10; 21/10; 11/5; 11/5; 21/10; ; 21/10; 21/10; 47/20; 28/13; 28/13; 21/10; ; 21/10; 19/10; 
META; english/league-1/fleetwood-v-bradford; 2017-02-12 20:22:27 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 17/10; 8/5; 7/4; 8/5; 6/4; 31/20; 7/5; 8/5; 6/4; 31/20; 31/20; 31/20; 8/5; 6/4; 8/5; 8/5; ; 13/8; 8/5; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 7/4; 17/10; 39/20; 7/4; 15/8; 7/4; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 37/20; 19/10; 15/8; 15/8; 9/5; ; 13/8; 9/5; 46/25; 20/11; 5/3; 9/5; ; 9/5; 15/8; 
Draw; 9/4; 21/10; 39/20; 2; 11/5; 41/20; 11/5; 2; 85/40; 2; 15/8; 2; 21/10; 21/10; 11/5; 11/5; 28/13; ; 21/10; 28/13; 47/20; 28/13; 28/13; 21/10; ; 21/10; 19/10; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 00:21:08 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 6/4; 8/5; 8/5; 8/5; 6/4; 31/20; 7/5; 8/5; 6/4; 31/20; 31/20; 31/20; 8/5; 6/4; 17/11; 8/5; 17/11; 13/8; 8/5; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 7/4; 19/10; 39/20; 9/5; 19/10; 7/4; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 37/20; 2; 15/8; 15/8; 9/5; 7/4; 13/8; 9/5; 46/25; 20/11; 5/3; 9/5; ; 15/8; 9/5; 
Draw; 9/4; 11/5; 39/20; 21/10; 11/5; 41/20; 11/5; 2; 85/40; 2; 15/8; 2; 21/10; 9/4; 11/5; 11/5; 28/13; 11/5; 21/10; 28/13; 58/25; 28/13; 28/13; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 00:47:02 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 6/4; 8/5; 8/5; 8/5; 6/4; 31/20; 7/5; 8/5; 6/4; 31/20; 31/20; 31/20; 8/5; 6/4; 8/5; 8/5; 17/11; 13/8; 8/5; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 7/4; 19/10; 39/20; 9/5; 19/10; 7/4; 2; 17/10; 15/8; 19/10; 15/8; 2; 15/8; 2; 15/8; 15/8; 9/5; 7/4; 13/8; 9/5; 46/25; 20/11; 5/3; 9/5; ; 15/8; 9/5; 
Draw; 9/4; 11/5; 39/20; 21/10; 11/5; 41/20; 85/40; 2; 85/40; 2; 15/8; 2; 21/10; 9/4; 11/5; 11/5; 28/13; 11/5; 21/10; 28/13; 58/25; 28/13; 28/13; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 01:45:54 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 6/4; 8/5; 8/5; 8/5; 6/4; 31/20; 7/5; 8/5; 6/4; 31/20; 31/20; 31/20; 13/8; 6/4; 17/11; 17/11; 17/11; 13/8; 17/11; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 7/4; 19/10; 39/20; 9/5; 19/10; 7/4; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 19/10; 7/4; 13/8; 19/10; 46/25; 20/11; 5/3; 15/8; ; 19/10; 9/5; 
Draw; 9/4; 11/5; 39/20; 21/10; 11/5; 41/20; 11/5; 2; 85/40; 2; 15/8; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 39/19; 58/25; 28/13; 28/13; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 03:45:51 GMT+2; 2017-02-14 19:45; e70300-dr003
Bradford; 31/20; 6/4; 8/5; 8/5; 8/5; 6/4; 31/20; 7/5; 8/5; 6/4; 6/4; 31/20; 31/20; 13/8; 6/4; 17/11; 17/11; 17/11; 13/8; 17/11; 167/100; 19/13; 5/3; 6/4; ; 6/4; 6/4; 
Fleetwood; 7/4; 19/10; 39/20; 9/5; 19/10; 7/4; 19/10; 17/10; 15/8; 19/10; 15/8; 2; 19/10; 2; 15/8; 15/8; 19/10; 7/4; 13/8; 19/10; 46/25; 20/11; 5/3; 15/8; ; 19/10; 9/5; 
Draw; 9/4; 11/5; 2; 21/10; 11/5; 41/20; 11/5; 2; 85/40; 2; 19/10; 2; 2; 11/5; 11/5; 11/5; 39/19; 11/5; 21/10; 39/19; 58/25; 28/13; 28/13; 21/10; ; 11/5; 2; 
META; english/league-1/fleetwood-v-bradford; 2017-02-13 04:20:32 GMT+2; 2017-02-14 19:45; e70300-dr003
