META; english/league-1/fleetwood-v-chesterfield; 2016-11-13 00:22:19 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-13 04:22:26 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; ; 10/11; ; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 13/5; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-13 08:22:36 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; ; 10/11; ; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 13/5; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-13 12:23:54 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; 10/11; 10/11; ; ; 9/10; ; 9/10; ; 9/10; ; 5/6; ; ; ; ; 10/11; ; ; ; ; ; 19/20; ; ; ; ; ; ; 
Draw; 13/5; 13/5; ; ; 13/5; ; 13/5; ; 13/5; ; 5/2; ; ; ; ; 13/5; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Chesterfield; 14/5; 13/5; ; ; 3; ; 31/10; ; 3; ; 10/3; ; ; ; ; 3; ; ; ; ; ; 33/10; ; ; ; ; ; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-13 16:24:19 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; 3/4; 5/6; ; 4/5; 9/10; 8/11; 4/5; ; 4/5; 4/5; 5/6; 4/5; 10/13; ; 3/4; 4/5; 14/19; 3/4; ; ; 14/19; 5/6; 3/4; 3/4; ; ; ; ; 
Draw; 11/4; 5/2; ; 5/2; 13/5; 13/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 11/4; 13/5; 28/11; 27/10; ; ; 28/11; 13/5; 11/4; 27/10; ; ; ; ; 
Chesterfield; 7/2; 10/3; ; 16/5; 3; 16/5; 17/5; ; 7/2; 10/3; 10/3; 17/5; 10/3; ; 7/2; 7/2; 33/10; 7/2; ; ; 33/10; 50/13; 41/13; 7/2; ; ; ; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-13 20:23:35 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; 3/4; 5/6; 4/5; 4/5; 9/10; 8/11; 4/5; ; 4/5; 4/5; 4/5; 4/5; 10/13; ; 3/4; 4/5; 10/13; 3/4; ; 8/11; 10/13; 5/6; 3/4; 3/4; 4/5; ; 8/11; ; 
Draw; 11/4; 5/2; 13/5; 5/2; 13/5; 13/5; 11/4; ; 11/4; 13/5; 13/5; 13/5; 27/10; ; 11/4; 13/5; 13/5; 27/10; ; 27/10; 13/5; 13/5; 11/4; 27/10; 5/2; ; 5/2; ; 
Chesterfield; 7/2; 10/3; 7/2; 16/5; 3; 16/5; 17/5; ; 7/2; 10/3; 10/3; 17/5; 10/3; ; 7/2; 7/2; 57/17; 7/2; ; 7/2; 57/17; 50/13; 41/13; 7/2; 10/3; ; 3; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-14 00:22:06 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; 3/4; 4/5; 4/5; 4/5; 4/5; 8/11; 4/5; ; 4/5; 4/5; 4/5; 4/5; 10/13; ; 3/4; 4/5; 10/13; 3/4; ; 8/11; 10/13; 5/6; 3/4; 3/4; 4/5; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; ; 11/4; 13/5; 13/5; 13/5; 27/10; ; 11/4; 13/5; 13/5; 27/10; ; 27/10; 13/5; 13/5; 11/4; 27/10; 5/2; ; 12/5; ; 
Chesterfield; 7/2; 7/2; 7/2; 16/5; 7/2; 16/5; 17/5; ; 7/2; 10/3; 7/2; 17/5; 10/3; ; 7/2; 7/2; 57/17; 7/2; ; 7/2; 57/17; 50/13; 41/13; 7/2; 10/3; ; 3; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-14 04:22:00 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; 3/4; 4/5; 4/5; 4/5; 4/5; 8/11; 4/5; ; 4/5; 4/5; 4/5; 4/5; 10/13; ; 3/4; 4/5; 10/13; 4/5; ; 4/5; 10/13; 5/6; 3/4; 4/5; 4/5; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; ; 11/4; 13/5; 13/5; 13/5; 53/20; ; 11/4; 13/5; 5/2; 5/2; ; 5/2; 5/2; 13/5; 11/4; 5/2; 5/2; ; 5/2; ; 
Chesterfield; 7/2; 7/2; 7/2; 16/5; 7/2; 16/5; 17/5; ; 7/2; 10/3; 7/2; 17/5; 7/2; ; 7/2; 7/2; 57/17; 7/2; ; 7/2; 57/17; 50/13; 41/13; 7/2; 10/3; ; 10/3; ; 
META; english/league-1/fleetwood-v-chesterfield; 2016-11-14 08:21:58 GMT+2; 2016-11-19 15:00; e70300-dr003
Fleetwood; 3/4; 4/5; 4/5; 4/5; 4/5; 8/11; 4/5; ; 4/5; 4/5; 4/5; 4/5; 10/13; ; 3/4; 4/5; 10/13; 4/5; ; 4/5; 10/13; 5/6; 3/4; 4/5; 4/5; ; 8/11; ; 
