META; english/league-1/fleetwood-v-mk-dons; 2016-09-18 00:21:12 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
MK Dons; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-18 08:19:29 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
MK Dons; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-18 12:22:06 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; ; 3/2; ; ; 8/5; ; 13/8; ; ; ; ; 13/8; ; ; ; ; 8/5; ; ; ; ; ; 33/19; ; ; ; ; ; 
MK Dons; ; 13/8; ; ; 13/8; ; 7/4; ; ; ; ; 13/8; ; ; ; ; 8/5; ; ; ; ; ; 30/17; ; ; ; ; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; 9/4; ; ; ; ; 12/5; ; ; ; ; ; 40/17; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-18 16:21:51 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; 6/4; 3/2; 6/4; ; 8/5; 6/4; 31/20; ; ; ; ; 13/8; ; ; ; ; 17/11; 16/11; ; ; ; 16/11; 33/19; ; ; ; ; ; 
MK Dons; 9/5; 13/8; 9/5; ; 13/8; 7/4; 9/5; ; ; ; ; 13/8; ; ; ; ; 9/5; 7/4; ; ; ; 7/4; 30/17; ; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; 9/4; 23/10; ; ; ; ; 9/4; ; ; ; ; 12/5; 11/5; ; ; ; 11/5; 40/17; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-18 20:22:21 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; 6/4; 3/2; 6/4; ; 8/5; 6/4; 31/20; ; 8/5; ; ; 13/8; ; 6/4; ; ; 8/5; 6/4; ; ; ; 6/4; 33/19; ; ; ; ; ; 
MK Dons; 9/5; 13/8; 9/5; ; 13/8; 7/4; 9/5; ; 9/5; ; ; 13/8; ; 9/5; ; ; 7/4; 7/4; ; ; ; 7/4; 30/17; ; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; 9/4; 23/10; ; 23/10; ; ; 9/4; ; 9/4; ; ; 9/4; 11/5; ; ; ; 11/5; 40/17; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-19 00:20:57 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; 6/4; 3/2; 6/4; ; 8/5; 6/4; 31/20; ; 8/5; ; ; 13/8; ; 6/4; ; ; 8/5; 6/4; ; ; ; 6/4; 33/19; ; ; ; ; ; 
MK Dons; 9/5; 13/8; 9/5; ; 13/8; 7/4; 9/5; ; 9/5; ; ; 13/8; ; 9/5; ; ; 7/4; 7/4; ; ; ; 7/4; 30/17; ; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; 9/4; 23/10; ; 23/10; ; ; 9/4; ; 9/4; ; ; 9/4; 11/5; ; ; ; 11/5; 40/17; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-19 04:20:43 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; 6/4; 3/2; 6/4; ; 8/5; 6/4; 31/20; ; 8/5; ; ; 13/8; ; 6/4; ; ; 8/5; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
MK Dons; 9/5; 13/8; 9/5; ; 13/8; 7/4; 9/5; ; 9/5; ; ; 13/8; ; 9/5; ; ; 7/4; 7/4; ; ; ; 7/4; ; ; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; 9/4; 23/10; ; 23/10; ; ; 9/4; ; 9/4; ; ; 9/4; 11/5; ; ; ; 11/5; ; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-19 08:21:02 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; 6/4; 3/2; 6/4; ; 8/5; 6/4; 31/20; ; 8/5; 6/4; ; 13/8; ; 6/4; ; ; 8/5; 6/4; 6/4; ; 6/4; 6/4; 33/19; ; ; ; ; ; 
MK Dons; 9/5; 13/8; 9/5; ; 13/8; 7/4; 9/5; ; 9/5; 9/5; ; 13/8; ; 9/5; ; ; 7/4; 7/4; 9/5; ; 9/5; 7/4; 30/17; ; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; 9/4; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; ; ; 9/4; 9/4; 9/4; ; 9/4; 9/4; 40/17; ; ; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2016-09-19 12:20:50 GMT+3; 2016-09-24 15:00; e70300-dr003
Fleetwood; 6/4; 3/2; 6/4; ; 8/5; ; 31/20; ; 8/5; 6/4; ; 13/8; ; 6/4; ; ; 8/5; 6/4; 6/4; ; 6/4; 6/4; 33/19; ; ; ; ; ; 
MK Dons; 9/5; 13/8; 9/5; ; 7/4; ; 9/5; ; 9/5; 9/5; ; 13/8; ; 9/5; ; ; 7/4; 7/4; 9/5; ; 9/5; 7/4; 30/17; ; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 9/4; ; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; ; ; 9/4; 9/4; 9/4; ; 9/4; 9/4; 40/17; ; ; ; ; ; 
