META; english/league-1/gillingham-v-bristol-rovers; 2017-04-10 16:41:38 GMT+3; 2017-04-14 15:00; e70300-dr003
Bristol Rovers; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; ; 11/10; 21/20; 1; 1; 1; 1; 6/5; 13/12; 42/41; 21/20; 42/41; ; 20/21; 1; 
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 23/10; 13/5; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; ; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 123/50; 40/17; 27/11; 12/5; 27/11; ; 11/5; 12/5; 
Gillingham; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 49/20; ; 12/5; 5/2; 27/11; 13/5; 5/2; 27/11; 127/50; 23/10; 28/11; 12/5; 28/11; ; 11/5; 11/5; 
META; english/league-1/gillingham-v-bristol-rovers; 2017-04-11 12:56:19 GMT+3; 2017-04-14 15:00; e70300-dr003
Bristol Rovers; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 1; 1; 1; 1; 23/20; 13/12; 42/41; 21/20; 42/41; ; 20/21; 21/20; 21/20
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 23/10; 5/2; 9/4; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 27/11; 12/5; 12/5; 27/11; 123/50; 40/17; 27/11; 12/5; 27/11; ; 23/10; 12/5; 13/5
Gillingham; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 9/4; 5/2; 5/2; 12/5; 5/2; 49/20; 5/2; 12/5; 12/5; 27/11; 13/5; 5/2; 27/11; 67/25; 23/10; 28/11; 12/5; 28/11; ; 9/4; 23/10; 13/5
META; english/league-1/gillingham-v-bristol-rovers; 2017-04-12 12:27:37 GMT+3; 2017-04-14 15:00; e70300-dr003
Bristol Rovers; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 1; 21/20; 11/10; 13/12; 42/41; 21/20; 42/41; ; 1; 21/20; 21/20
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 23/10; 5/2; 9/4; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 27/11; 27/11; 12/5; 27/11; ; 13/5; 12/5; 13/5
Gillingham; 12/5; 5/2; 5/2; 12/5; 13/5; 23/10; 5/2; 9/4; 5/2; 5/2; 12/5; 5/2; 49/20; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 67/25; 40/17; 28/11; 12/5; 28/11; ; 23/10; 23/10; 13/5
META; english/league-1/gillingham-v-bristol-rovers; 2017-04-13 12:05:31 GMT+3; 2017-04-14 15:00; e70300-dr003
Bristol Rovers; 11/10; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 1; 11/10; 1; 21/20; 1; 21/20; 11/10; 1; 21/20; 1; 21/20; 1; 1; 53/50; 68/67; 42/41; 21/20; 42/41; ; 21/20; 1; 21/20
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 23/10; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 27/10; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 12/5; 27/11; 5/2; 27/11; ; 12/5; 12/5; 13/5
Gillingham; 11/4; 12/5; 5/2; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 23/10; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 141/50; 13/5; 28/11; 13/5; 28/11; ; 5/2; 12/5; 11/4
