META; english/league-1/gillingham-v-bury; 2016-08-07 00:19:15 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; ; 6/5; ; ; ; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bury; ; 21/10; ; ; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/gillingham-v-bury; 2016-08-07 04:19:04 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; ; 6/5; ; ; ; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bury; ; 21/10; ; ; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/gillingham-v-bury; 2016-08-07 08:19:23 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; ; 6/5; ; ; ; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bury; ; 21/10; ; ; ; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/gillingham-v-bury; 2016-08-07 12:19:27 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; 6/5; 6/5; 6/5; ; 6/5; 6/5; 5/4; ; ; ; ; 6/5; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 
Bury; 9/4; 21/10; 11/5; ; 21/10; 9/4; 23/10; ; ; ; ; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; ; 23/10; 9/4; 12/5; ; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 
META; english/league-1/gillingham-v-bury; 2016-08-07 16:19:34 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; ; 5/4; ; ; 6/5; ; 6/5; ; 6/5; 6/5; ; ; ; ; 5/4; ; ; ; ; 
Draw; 9/4; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; ; 23/10; ; ; 12/5; ; 23/10; ; 23/10; 12/5; ; ; ; ; 12/5; ; ; ; ; 
Bury; 9/4; 21/10; 11/5; 12/5; 21/10; 9/4; 23/10; ; 23/10; ; ; 11/5; ; 9/4; ; 23/10; 11/5; ; ; ; ; 52/21; ; ; ; ; 
META; english/league-1/gillingham-v-bury; 2016-08-07 20:19:33 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; ; 5/4; 6/5; ; 6/5; ; 6/5; ; 6/5; 6/5; 6/5; ; 6/5; 6/5; 5/4; ; ; 5/6; ; 
Draw; 9/4; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; ; 23/10; 9/4; ; 12/5; ; 23/10; ; 23/10; 12/5; 9/4; ; 9/4; 11/5; 12/5; ; ; 13/8; ; 
Bury; 9/4; 21/10; 11/5; 12/5; 21/10; 9/4; 23/10; ; 23/10; 23/10; ; 11/5; ; 9/4; ; 23/10; 11/5; 23/10; ; 23/10; 9/4; 52/21; ; ; 13/8; ; 
META; english/league-1/gillingham-v-bury; 2016-08-08 00:19:27 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; 21/20; 6/5; 11/10; 11/10; 6/5; 21/20; 23/20; ; 11/10; 6/5; 11/10; 6/5; ; 11/10; ; 6/5; 15/13; 6/5; ; 6/5; 15/13; 5/4; ; ; 8/11; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; ; 12/5; 9/4; 12/5; 12/5; ; 47/20; ; 23/10; 12/5; 9/4; ; 9/4; 9/4; 12/5; ; ; 19/10; ; 
Bury; 13/5; 21/10; 47/20; 5/2; 21/10; 23/10; 5/2; ; 5/2; 23/10; 12/5; 11/5; ; 49/20; ; 23/10; 12/5; 23/10; ; 23/10; 40/17; 52/21; ; ; 2; ; 
META; english/league-1/gillingham-v-bury; 2016-08-08 04:19:02 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; 21/20; 6/5; 11/10; 11/10; 6/5; 21/20; 23/20; 10/11; 11/10; 6/5; 11/10; 6/5; ; 11/10; ; 6/5; 11/10; 6/5; ; 6/5; 11/10; 5/4; ; ; 23/20; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; ; 47/20; ; 23/10; 12/5; 9/4; ; 9/4; 9/4; 12/5; ; ; 11/5; ; 
Bury; 13/5; 21/10; 47/20; 12/5; 21/10; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; 11/5; ; 49/20; ; 23/10; 12/5; 23/10; ; 23/10; 12/5; 52/21; ; ; 19/10; ; 
META; english/league-1/gillingham-v-bury; 2016-08-08 08:19:06 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; 21/20; 6/5; 11/10; 11/10; 6/5; 21/20; 23/20; 10/11; 11/10; 11/10; 11/10; 6/5; ; 11/10; ; 6/5; 11/10; 11/10; ; 11/10; 11/10; 5/4; ; ; 5/6; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; ; 47/20; ; 23/10; 12/5; 23/10; ; 23/10; 9/4; 12/5; ; ; 9/4; ; 
Bury; 13/5; 21/10; 47/20; 12/5; 21/10; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 11/5; ; 49/20; ; 23/10; 12/5; 5/2; ; 5/2; 27/11; 52/21; ; ; 12/5; ; 
META; english/league-1/gillingham-v-bury; 2016-08-08 12:19:17 GMT+3; 2016-08-13 15:00; e70300-dr003
Gillingham; 21/20; 23/20; 11/10; 11/10; 6/5; 21/20; 23/20; 10/11; 11/10; 11/10; 11/10; 6/5; 11/10; 11/10; 11/10; 6/5; 11/10; 11/10; ; 11/10; 21/20; 11/9; ; ; 21/20; ; 
Draw; 23/10; 12/5; 9/4; 12/5; 23/10; 11/5; 5/2; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; ; 23/10; 40/17; 12/5; ; ; 12/5; ; 
Bury; 13/5; 23/10; 47/20; 12/5; 21/10; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 11/5; 9/4; 12/5; 5/2; 23/10; 12/5; 5/2; ; 5/2; 12/5; 28/11; ; ; 5/2; ; 
