META; english/league-1/port-vale-v-coventry; 2016-09-25 00:22:30 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Coventry; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-25 04:21:43 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Coventry; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-25 08:22:08 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Coventry; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-25 12:23:25 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Coventry; 2; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-25 16:23:29 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; ; 7/5; ; ; 13/10; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; ; 2; ; ; 19/10; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-25 20:24:16 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; ; 7/5; ; ; 13/10; ; 11/8; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; ; 2; ; ; 19/10; ; 39/20; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; 11/5; ; 9/4; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-26 00:21:53 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; ; 7/5; ; ; 13/10; ; 11/8; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; ; 2; ; ; 19/10; ; 39/20; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; 11/5; ; 9/4; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-26 04:21:35 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; ; 7/5; ; ; 13/10; ; 11/8; ; ; 11/8; ; ; ; ; ; ; ; ; ; 8/11; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; ; 2; ; ; 19/10; ; 39/20; ; ; 2; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; 11/5; ; 9/4; ; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-26 08:22:00 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; ; 7/5; 23/17; ; 13/10; ; 27/20; ; ; 11/8; ; 23/17; ; 27/20; ; ; ; ; ; 5/6; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; ; 2; 2; ; 19/10; ; 2; ; ; 2; ; 2; ; 2; ; ; ; ; ; 6/5; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; 23/10; ; 11/5; ; 9/4; ; ; 9/4; ; 23/10; ; 23/10; ; ; ; ; ; 11/5; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-26 12:22:35 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; ; 7/5; 23/17; ; 13/10; ; 27/20; ; ; 11/8; 23/17; 23/17; ; 27/20; 23/17; ; ; ; ; 1; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; ; 2; 2; ; 19/10; ; 2; ; ; 2; 37/19; 2; ; 2; 37/19; ; ; ; ; 6/4; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; 23/10; ; 11/5; ; 9/4; ; ; 9/4; 9/4; 23/10; ; 23/10; 9/4; ; ; ; ; 11/5; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-26 16:22:38 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; 5/4; 7/5; 23/17; ; 13/10; ; 27/20; ; ; 11/8; 23/17; 23/17; ; 27/20; 23/17; ; ; ; ; 20/21; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; 7/4; 2; 2; ; 19/10; ; 2; ; ; 2; 37/19; 2; ; 2; 37/19; ; ; ; ; 7/5; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 11/5; 23/10; 23/10; ; 11/5; ; 9/4; ; ; 9/4; 9/4; 23/10; ; 23/10; 9/4; ; ; ; ; 11/5; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-26 20:23:11 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; 5/4; 7/5; 23/17; ; 13/10; ; 27/20; ; ; 7/5; 23/17; 23/17; ; 27/20; 23/17; ; ; ; ; 21/20; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; 7/4; 2; 2; ; 19/10; ; 2; ; ; 2; 37/19; 2; ; 2; 37/19; ; ; ; ; 6/4; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 11/5; 23/10; 23/10; ; 11/5; ; 9/4; ; ; 12/5; 9/4; 23/10; ; 23/10; 9/4; ; ; ; ; 11/5; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-27 00:22:36 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; 5/4; 7/5; 23/17; ; 13/10; ; 27/20; ; ; 7/5; 23/17; 23/17; ; 27/20; 23/17; ; ; ; ; 21/20; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; 7/4; 2; 2; ; 19/10; ; 2; ; ; 2; 19/10; 2; ; 2; 19/10; ; ; ; ; 7/5; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 11/5; 23/10; 23/10; ; 11/5; ; 9/4; ; ; 12/5; 9/4; 23/10; ; 23/10; 9/4; ; ; ; ; 11/5; ; 
META; english/league-1/port-vale-v-coventry; 2016-09-27 04:22:22 GMT+3; 2016-10-01 15:00; e70300-dr003
Port Vale; 11/8; 11/8; ; ; 7/5; ; 7/5; 5/4; 7/5; 23/17; ; 13/10; ; 27/20; ; ; 7/5; 23/17; 23/17; ; 27/20; 23/17; ; ; ; ; 21/20; ; 
Coventry; 2; 9/5; ; ; 2; ; 2; 7/4; 2; 2; ; 19/10; ; 2; ; ; 2; 19/10; 2; ; 2; 19/10; ; ; ; ; 6/4; ; 
