META; english/league-1/sheffield-utd-v-coventry; 2017-04-05 10:20:30 GMT+3; 2017-04-05 19:45; e70300-dr003
Sheffield Utd; 3/10; 3/10; 3/10; 2/7; 2/7; 4/15; 2/7; 3/10; 3/10; 2/7; 1/4; 3/10; 2/7; 3/10; 2/7; 2/7; 5/19; 5/18; 2/9; 5/19; 3/10; 5/18; 4/17; 2/7; 4/17; ; 2/7; 2/7; 3/10
Draw; 19/4; 17/4; 9/2; 4; 9/2; 4; 19/4; 4; 19/4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 24/5; 9/2; 24/5; 23/5; 24/5; 9/2; 24/5; ; 23/5; 21/5; 24/5
Coventry; 11; 9; 11; 11; 11; 17/2; 21/2; 9; 9; 10; 11; 9; 10; 12; 9; 10; 10; 9; 11; 10; 21/2; 39/5; 11; 10; 11; ; 54/5; 51/5; 54/5
META; english/league-1/sheffield-utd-v-coventry; 2017-04-05 11:28:03 GMT+3; 2017-04-05 19:45; e70300-dr003
Sheffield Utd; 3/10; 3/10; 3/10; 2/7; 2/7; 4/15; 2/7; 3/10; 3/10; 2/7; 1/4; 3/10; 2/7; 3/10; 2/7; 2/7; 5/19; 5/18; 2/9; 5/19; 3/10; 5/18; 4/17; 2/7; 4/17; ; 2/7; 2/7; 3/10
Draw; 19/4; 17/4; 9/2; 4; 9/2; 4; 19/4; 4; 19/4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 4; 9/2; 17/4; 24/5; 9/2; 24/5; 23/5; 24/5; 9/2; 24/5; ; 23/5; 21/5; 24/5
Coventry; 11; 9; 11; 11; 11; 17/2; 21/2; 9; 9; 10; 11; 9; 10; 12; 9; 10; 10; 9; 11; 10; 21/2; 39/5; 11; 10; 11; ; 54/5; 51/5; 54/5
META; english/league-1/sheffield-utd-v-coventry; 2017-04-05 13:00:43 GMT+3; 2017-04-05 19:45; e70300-dr003
Sheffield Utd; 3/10; 3/10; 2/7; 2/7; 2/7; 1/4; 2/7; 3/10; 3/10; 1/4; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 4/17; 5/18; 2/9; 4/17; 3/10; 5/18; 4/17; 2/7; 4/17; ; 1/4; 1/4; 3/10
Draw; 19/4; 17/4; 19/4; 4; 9/2; 17/4; 19/4; 4; 19/4; 9/2; 9/2; 9/2; 9/2; 24/5; 9/2; 9/2; 47/10; 17/4; 24/5; 47/10; 24/5; 23/5; 24/5; 9/2; 24/5; ; 23/5; 9/2; 24/5
Coventry; 11; 9; 11; 11; 12; 9; 11; 9; 10; 11; 11; 11; 11; 12; 9; 10; 43/4; 9; 11; 43/4; 21/2; 39/5; 11; 10; 11; ; 59/5; 12; 54/5
META; english/league-1/sheffield-utd-v-coventry; 2017-04-05 15:00:38 GMT+3; 2017-04-05 19:45; e70300-dr003
Sheffield Utd; 3/10; 2/7; 2/7; 2/7; 2/7; 2/9; 2/7; 3/10; 1/4; 1/4; 1/4; 1/4; 2/7; 2/7; 1/4; 2/7; 3/13; 5/18; 2/9; 3/13; 3/10; 5/19; 4/17; 2/7; 4/17; ; 1/4; 1/4; 3/10
Draw; 19/4; 9/2; 19/4; 4; 9/2; 17/4; 19/4; 4; 5; 19/4; 19/4; 9/2; 9/2; 24/5; 19/4; 9/2; 24/5; 17/4; 24/5; 24/5; 24/5; 24/5; 24/5; 9/2; 24/5; ; 24/5; 23/5; 24/5
Coventry; 11; 9; 12; 11; 12; 19/2; 11; 9; 10; 11; 11; 10; 11; 14; 10; 10; 45/4; 9; 11; 45/4; 21/2; 9; 11; 10; 11; ; 57/5; 56/5; 54/5
META; english/league-1/sheffield-utd-v-coventry; 2017-04-05 16:21:26 GMT+3; 2017-04-05 19:45; e70300-dr003
Sheffield Utd; 2/7; 2/7; 2/7; 2/7; 1/4; 2/9; 1/4; 3/10; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 3/13; 5/18; 2/9; 3/13; 3/10; 5/19; 4/17; 1/4; 4/17; ; 1/4; 1/4; 1/4
Draw; 5; 9/2; 19/4; 4; 5; 17/4; 5; 4; 5; 19/4; 5; 9/2; 19/4; 24/5; 19/4; 9/2; 24/5; 17/4; 24/5; 24/5; 24/5; 24/5; 24/5; 9/2; 24/5; ; 26/5; 23/5; 26/5
Coventry; 11; 9; 12; 11; 12; 19/2; 12; 9; 10; 12; 11; 11; 12; 14; 10; 10; 45/4; 9; 11; 45/4; 21/2; 9; 11; 11; 11; ; 59/5; 56/5; 64/5
META; english/league-1/sheffield-utd-v-coventry; 2017-04-05 17:00:41 GMT+3; 2017-04-05 18:45; e70300-dr003
Groningen; 8/15; 8/15; 6/10; 11/20; 8/15; 8/15; 11/20; 8/15; 8/15; 11/20; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 8/15; 4/7; 8/15; 8/15; 4/7; 5/9; 8/15; 8/15; 5/9; ; 8/15; 8/15; 4/7
Draw; 14/5; 16/5; 16/5; 14/5; 16/5; 3; 16/5; 3; 3; 3; 3; 3; 3; 16/5; 14/5; 3; 58/19; 3; 14/5; 58/19; 13/4; 16/5; 29/10; 16/5; 56/19; ; 3; 3; 3
NEC Nijmegen; 11/2; 5; 5; 9/2; 5; 17/4; 5; 9/2; 19/4; 5; 5; 9/2; 21/4; 9/2; 19/4; 5; 94/19; 9/2; 26/5; 94/19; 11/2; 47/10; 53/10; 5; 27/5; ; 26/5; 27/5; 26/5
META; english/league-1/sheffield-utd-v-coventry; 2017-04-05 19:00:33 GMT+3; 2017-04-05 19:45; e70300-dr003
Sheffield Utd; 2/7; 1/4; 2/7; 2/7; 1/4; 2/9; 1/4; 2/7; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 3/13; 5/18; 2/9; 3/13; 7/25; 1/4; 4/17; 1/4; 4/17; ; 1/4; 1/4; 1/4
Draw; 5; 19/4; 5; 4; 9/2; 17/4; 5; 4; 5; 19/4; 5; 9/2; 19/4; 5; 19/4; 9/2; 63/13; 17/4; 24/5; 63/13; 5; 24/5; 24/5; 5; 24/5; ; 5; 5; 26/5
Coventry; 11; 10; 13; 11; 14; 10; 12; 10; 11; 12; 11; 11; 12; 14; 10; 11; 23/2; 9; 11; 23/2; 12; 9; 11; 11; 11; ; 64/5; 12; 64/5
