META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 04:21:17 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; ; 5/4; ; ; 11/8; ; 11/8; ; ; ; ; 11/8; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 2; ; ; 2; ; 21/10; ; ; ; ; 2; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 08:21:29 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; ; 5/4; ; ; 11/8; ; 11/8; ; ; ; ; 11/8; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 2; ; ; 2; ; 21/10; ; ; ; ; 2; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 12:23:23 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; ; ; 11/8; ; 11/8; ; 13/10; 13/10; ; 11/8; ; ; ; ; 11/8; ; 13/10; ; 13/10; ; 16/11; ; ; ; ; ; 
Shrewsbury; 21/10; 2; ; ; 2; ; 21/10; ; 85/40; 21/10; ; 2; ; ; ; ; 11/5; ; 21/10; ; 21/10; ; 15/7; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; 9/4; ; 9/4; ; ; ; ; 9/4; ; 9/4; ; 9/4; ; 40/17; ; ; ; ; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 16:21:36 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; ; ; 11/8; 13/10; 13/10; ; 13/10; 13/10; ; 11/8; ; 13/10; ; ; 13/10; 5/4; 13/10; ; 13/10; 5/4; 16/11; ; ; ; 10/11; ; 
Shrewsbury; 21/10; 2; ; ; 2; 2; 85/40; ; 85/40; 21/10; ; 2; ; 21/10; ; ; 11/5; 2; 21/10; ; 21/10; 2; 15/7; ; ; ; 6/4; ; 
Draw; 9/4; 23/10; ; ; 23/10; 11/5; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; ; ; 12/5; 11/5; 9/4; ; 9/4; 11/5; 40/17; ; ; ; 13/8; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-11 20:22:24 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; ; 13/10; 11/8; 13/10; 13/10; ; 13/10; 13/10; ; 11/8; ; 13/10; 5/4; ; 13/10; 5/4; 13/10; ; 13/10; 5/4; 16/11; ; 13/10; ; 23/20; ; 
Shrewsbury; 21/10; 2; ; 21/10; 2; 2; 85/40; ; 85/40; 21/10; ; 2; ; 21/10; 2; ; 11/5; 39/19; 21/10; ; 21/10; 39/19; 15/7; ; 21/10; ; 9/5; ; 
Draw; 9/4; 23/10; ; 23/10; 23/10; 11/5; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; 12/5; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; 40/17; ; 9/4; ; 21/10; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-12 00:21:06 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; ; 13/10; 11/8; 13/10; 13/10; ; 13/10; 13/10; ; 11/8; ; 13/10; 5/4; ; 13/10; 5/4; 13/10; ; 13/10; 5/4; 16/11; ; 13/10; ; 23/20; ; 
Shrewsbury; 21/10; 2; ; 21/10; 2; 2; 85/40; ; 85/40; 21/10; ; 2; ; 21/10; 2; ; 11/5; 39/19; 21/10; ; 21/10; 39/19; 15/7; ; 21/10; ; 9/5; ; 
Draw; 9/4; 23/10; ; 23/10; 23/10; 11/5; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; 12/5; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; 40/17; ; 9/4; ; 21/10; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-12 04:21:45 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; ; 13/10; 11/8; 13/10; 13/10; ; 13/10; 13/10; ; 11/8; ; 13/10; 5/4; ; 13/10; 5/4; 13/10; ; 13/10; 5/4; 16/11; ; 13/10; ; 23/20; ; 
Shrewsbury; 21/10; 2; ; 21/10; 2; 2; 85/40; ; 85/40; 21/10; ; 2; ; 21/10; 2; ; 11/5; 39/19; 21/10; ; 21/10; 39/19; 15/7; ; 21/10; ; 9/5; ; 
Draw; 9/4; 23/10; ; 23/10; 23/10; 11/5; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; 12/5; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; 40/17; ; 9/4; ; 11/5; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-12 08:21:39 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; ; 13/10; 11/8; 13/10; 13/10; ; 13/10; 13/10; ; 11/8; ; 13/10; 5/4; ; 13/10; 5/4; 13/10; ; 13/10; 5/4; ; ; 13/10; ; 23/20; ; 
Shrewsbury; 21/10; 2; ; 21/10; 2; 2; 85/40; ; 85/40; 21/10; ; 2; ; 21/10; 2; ; 11/5; 39/19; 21/10; ; 21/10; 39/19; ; ; 21/10; ; 9/5; ; 
Draw; 9/4; 23/10; ; 23/10; 23/10; 11/5; 23/10; ; 23/10; 9/4; ; 9/4; ; 9/4; 12/5; ; 12/5; 9/4; 9/4; ; 9/4; 9/4; ; ; 9/4; ; 11/5; ; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-12 16:22:08 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 5/4; 27/20; 5/4; 11/8; 5/4; 7/5; 6/5; 13/10; 23/17; 13/10; 27/20; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 23/17; 13/10; 27/20; 13/10; 16/11; ; 11/8; ; 13/10; 13/10; 
Shrewsbury; 21/10; 2; 19/10; 2; 2; 19/10; 2; 9/5; 2; 2; 19/10; 21/10; 15/8; 2; 2; 21/10; 11/5; 37/19; 2; 9/5; 2; 37/19; 15/7; ; 2; ; 19/10; 15/8; 
Draw; 9/4; 23/10; 49/20; 5/2; 23/10; 11/5; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 9/4; 47/20; 23/10; 23/10; 12/5; 9/4; 23/10; 11/5; 23/10; 9/4; 40/17; ; 9/4; ; 23/10; 11/5; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-12 20:22:48 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 11/8; 27/20; 13/10; 11/8; 5/4; 11/8; 6/5; 13/10; 23/17; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 23/17; 13/10; 27/20; 13/10; 16/11; ; 11/8; ; 13/10; 13/10; 
Shrewsbury; 21/10; 9/5; 39/20; 21/10; 2; 19/10; 2; 9/5; 2; 2; 19/10; 2; 15/8; 2; 2; 21/10; 2; 2; 2; 9/5; 2; 2; 15/7; ; 2; ; 19/10; 15/8; 
Draw; 9/4; 12/5; 49/20; 23/10; 23/10; 11/5; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 9/4; 23/10; 11/5; 23/10; 9/4; 40/17; ; 9/4; ; 23/10; 11/5; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-13 00:22:13 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 11/8; 27/20; 13/10; 11/8; 5/4; 11/8; 6/5; 13/10; 23/17; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 23/17; 13/10; 27/20; 5/4; 16/11; ; 11/8; ; 13/10; 13/10; 
Shrewsbury; 21/10; 9/5; 39/20; 2; 2; 19/10; 2; 9/5; 2; 2; 2; 2; 15/8; 2; 2; 21/10; 2; 39/19; 2; 9/5; 2; 39/19; 15/7; ; 2; ; 2; 7/4; 
Draw; 9/4; 12/5; 12/5; 5/2; 23/10; 11/5; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 40/17; ; 23/10; ; 9/4; 2; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-13 04:22:05 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 11/8; 27/20; 13/10; 11/8; 5/4; 11/8; 6/5; 13/10; 23/17; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 23/17; 13/10; 27/20; 5/4; 16/11; ; 11/8; ; 6/5; 13/10; 
Shrewsbury; 21/10; 9/5; 39/20; 2; 2; 19/10; 2; 9/5; 2; 2; 2; 2; 15/8; 2; 2; 21/10; 2; 39/19; 2; 9/5; 2; 39/19; 15/7; ; 2; ; 2; 7/4; 
Draw; 9/4; 12/5; 12/5; 5/2; 23/10; 11/5; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 40/17; ; 23/10; ; 11/5; 2; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-13 08:22:09 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 11/8; 27/20; 13/10; 11/8; 5/4; 11/8; 6/5; 13/10; 23/17; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 23/17; 13/10; 27/20; 5/4; 16/11; ; 11/8; ; 13/10; 13/10; 
Shrewsbury; 21/10; 9/5; 39/20; 2; 2; 19/10; 2; 9/5; 2; 2; 2; 2; 15/8; 2; 2; 21/10; 2; 39/19; 2; 9/5; 2; 39/19; 15/7; ; 2; ; 2; 15/8; 
Draw; 9/4; 12/5; 12/5; 5/2; 23/10; 11/5; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 40/17; ; 23/10; ; 9/4; 11/5; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-13 12:23:08 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 11/8; 27/20; 13/10; 11/8; 5/4; 11/8; 6/5; 13/10; 23/17; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 23/17; 13/10; 27/20; 5/4; 16/11; ; 11/8; ; 13/10; 13/10; 
Shrewsbury; 21/10; 9/5; 39/20; 2; 2; 19/10; 2; 9/5; 2; 2; 2; 2; 15/8; 2; 2; 21/10; 2; 39/19; 2; 9/5; 2; 39/19; 15/7; ; 2; ; 2; 15/8; 
Draw; 9/4; 12/5; 12/5; 5/2; 23/10; 11/5; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 47/20; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 40/17; ; 23/10; ; 9/4; 11/5; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-13 16:23:43 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 13/10; 27/20; 13/10; 11/8; 5/4; 11/8; 6/5; 13/10; 23/17; 13/10; 13/10; 13/10; ; 13/10; 13/10; 11/8; 5/4; 23/17; 13/10; 27/20; 5/4; 16/11; 21/17; 11/8; ; 5/4; 13/10; 
Shrewsbury; 21/10; 15/8; 39/20; 2; 2; 19/10; 2; 9/5; 2; 2; 2; 2; 15/8; ; 2; 21/10; 2; 39/19; 2; 9/5; 2; 39/19; 15/7; 45/23; 2; ; 2; 15/8; 
Draw; 9/4; 12/5; 12/5; 5/2; 23/10; 11/5; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 40/17; 12/5; 23/10; ; 9/4; 11/5; 
META; english/league-1/shrewsbury-v-scunthorpe; 2016-09-13 20:23:19 GMT+3; 2016-09-17 15:00; e70300-dr003
Scunthorpe; 13/10; 13/10; 27/20; 13/10; 11/8; 5/4; 11/8; 13/10; 13/10; 23/17; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 23/17; 13/10; 27/20; 5/4; 16/11; 21/17; 11/8; ; 5/4; 13/10; 
Shrewsbury; 21/10; 15/8; 39/20; 2; 2; 19/10; 2; 21/10; 2; 2; 2; 2; 15/8; 2; 2; 21/10; 2; 39/19; 2; 9/5; 2; 39/19; 15/7; 45/23; 2; ; 2; 15/8; 
