META; english/league-2/accrington-v-stevenage; 2016-11-13 00:23:06 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/accrington-v-stevenage; 2016-11-13 04:22:49 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; ; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/accrington-v-stevenage; 2016-11-13 08:23:01 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; ; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/accrington-v-stevenage; 2016-11-13 12:24:23 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; 10/11; 10/11; ; ; 19/20; ; 37/40; ; ; ; 10/11; ; ; ; ; 19/20; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; 12/5; 13/5; ; ; 5/2; ; 5/2; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; 12/5; ; ; ; ; ; ; 
Stevenage; 3; 13/5; ; ; 11/4; ; 31/10; ; ; ; 3; ; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; ; ; 
META; english/league-2/accrington-v-stevenage; 2016-11-13 16:24:56 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; 17/20; 10/11; ; 10/11; 19/20; ; 20/21; ; 10/11; 10/11; 10/11; ; 9/10; ; 10/11; 10/11; 13/15; 9/10; ; 9/10; 13/15; 1; ; 9/10; ; ; ; ; 
Draw; 5/2; 13/5; ; 23/10; 5/2; ; 13/5; ; 13/5; 5/2; 12/5; ; 5/2; ; 5/2; 13/5; 40/17; 12/5; ; 12/5; 40/17; 12/5; ; 12/5; ; ; ; ; 
Stevenage; 16/5; 13/5; ; 16/5; 11/4; ; 14/5; ; 3; 14/5; 3; ; 3; ; 3; 3; 29/10; 3; ; 3; 29/10; 13/4; ; 3; ; ; ; ; 
META; english/league-2/accrington-v-stevenage; 2016-11-13 20:24:08 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; 17/20; 10/11; 10/11; 10/11; 19/20; 17/20; 20/21; ; 10/11; 10/11; 10/11; ; 9/10; ; 10/11; 10/11; 10/11; 9/10; ; 9/10; 10/11; 1; ; 9/10; 17/20; ; 4/7; ; 
Draw; 5/2; 13/5; 12/5; 23/10; 5/2; 23/10; 13/5; ; 13/5; 5/2; 13/5; ; 5/2; ; 5/2; 13/5; 40/17; 12/5; ; 12/5; 40/17; 12/5; ; 12/5; 5/2; ; 7/4; ; 
Stevenage; 16/5; 13/5; 11/4; 16/5; 11/4; 14/5; 14/5; ; 3; 14/5; 14/5; ; 3; ; 3; 3; 56/19; 3; ; 3; 56/19; 13/4; ; 3; 16/5; ; 7/4; ; 
META; english/league-2/accrington-v-stevenage; 2016-11-14 00:22:32 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; 17/20; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; ; 10/11; 10/11; 20/23; ; 9/10; ; 10/11; 10/11; 10/11; 9/10; ; 9/10; 10/11; 1; ; 9/10; 17/20; ; 4/7; ; 
Draw; 5/2; 13/5; 12/5; 23/10; 5/2; 23/10; 13/5; ; 13/5; 5/2; 13/5; ; 5/2; ; 5/2; 13/5; 40/17; 12/5; ; 12/5; 40/17; 12/5; ; 12/5; 5/2; ; 19/10; ; 
Stevenage; 16/5; 13/5; 11/4; 16/5; 3; 14/5; 29/10; ; 3; 14/5; 3; ; 3; ; 3; 3; 56/19; 3; ; 3; 56/19; 13/4; ; 3; 16/5; ; 23/10; ; 
META; english/league-2/accrington-v-stevenage; 2016-11-14 04:22:20 GMT+2; 2016-11-19 15:00; e70300-dr003
Accrington; 10/11; 10/11; 19/20; 20/21; 19/20; 17/20; 20/21; ; 10/11; 20/21; 10/11; ; 10/11; ; 19/20; 19/20; 19/20; 19/20; ; 20/21; 19/20; 1; ; 19/20; 19/20; ; 10/11; ; 
Draw; 12/5; 13/5; 47/20; 5/2; 5/2; 23/10; 13/5; ; 13/5; 5/2; 13/5; ; 51/20; ; 5/2; 13/5; 40/17; 5/2; ; 5/2; 40/17; 12/5; ; 5/2; 23/10; ; 12/5; ; 
