META; english/league-2/barnet-v-yeovil; 2017-03-11 20:23:02 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 6/5; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 1/50; ; 
Yeovil; 11/5; ; ; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/barnet-v-yeovil; 2017-03-12 00:22:07 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 6/5; 11/10; ; 6/5; 6/5; ; 6/5; 11/10; 5/4; ; 23/20; ; 6/5; 6/5; ; 6/5; 15/13; ; ; 15/13; ; ; ; ; ; 11/10; ; 
Yeovil; 11/5; 11/5; ; 2; 9/4; ; 9/4; 21/10; 23/10; ; 21/10; ; 11/5; 11/5; ; 9/4; 28/13; ; ; 28/13; ; ; ; ; ; 19/10; ; 
Draw; 12/5; 12/5; ; 23/10; 5/2; ; 5/2; 23/10; 5/2; ; 23/10; ; 12/5; 5/2; ; 5/2; 40/17; ; ; 40/17; ; ; ; ; ; 9/4; ; 
META; english/league-2/barnet-v-yeovil; 2017-03-12 04:22:22 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 6/5; 11/10; ; 6/5; 6/5; ; 6/5; 11/10; 5/4; ; 23/20; ; 6/5; 6/5; ; 6/5; 15/13; ; ; 15/13; ; ; ; ; ; 11/10; ; 
Yeovil; 11/5; 11/5; ; 2; 9/4; ; 9/4; 21/10; 23/10; ; 21/10; ; 11/5; 11/5; ; 9/4; 28/13; ; ; 28/13; ; ; ; ; ; 19/10; ; 
Draw; 12/5; 12/5; ; 23/10; 5/2; ; 5/2; 23/10; 5/2; ; 23/10; ; 12/5; 5/2; ; 5/2; 40/17; ; ; 40/17; ; ; ; ; ; 9/4; ; 
META; english/league-2/barnet-v-yeovil; 2017-03-12 08:22:54 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 6/5; 11/10; ; 6/5; 6/5; ; 6/5; 11/10; 5/4; ; 23/20; 6/5; 6/5; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; 11/10; ; 
Yeovil; 11/5; 11/5; ; 2; 9/4; ; 9/4; 21/10; 23/10; ; 21/10; 11/5; 11/5; 11/5; ; 9/4; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; 19/10; ; 
Draw; 12/5; 12/5; ; 23/10; 5/2; ; 5/2; 23/10; 5/2; ; 23/10; 12/5; 12/5; 5/2; ; 5/2; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; 9/4; ; 
META; english/league-2/barnet-v-yeovil; 2017-03-12 12:21:58 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 23/20; 11/10; ; 6/5; 11/10; ; 21/20; 11/10; 11/10; 21/20; 21/20; 6/5; 11/10; 21/20; ; 15/13; 15/13; ; 6/5; 15/13; ; ; 6/5; ; ; 20/21; ; 
Draw; 12/5; 12/5; ; 23/10; 5/2; ; 5/2; 23/10; 5/2; 12/5; 9/4; 9/4; 49/20; 5/2; ; 5/2; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; 9/4; ; 
Yeovil; 9/4; 11/5; ; 2; 5/2; ; 13/5; 21/10; 12/5; 5/2; 5/2; 12/5; 23/10; 12/5; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; 21/10; ; 
META; english/league-2/barnet-v-yeovil; 2017-03-12 16:21:58 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 21/20; 11/10; 21/20; 6/5; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 15/13; 21/20; ; 11/10; 21/20; ; 13/12; 11/10; 21/20; ; ; ; 
Draw; 12/5; 12/5; 9/4; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 49/20; 12/5; 12/5; 5/2; 40/17; ; 12/5; 40/17; ; 12/5; 12/5; 12/5; ; ; ; 
Yeovil; 5/2; 11/5; 5/2; 2; 5/2; 9/4; 5/2; 21/10; 5/2; 5/2; 5/2; 12/5; 49/20; 5/2; 12/5; 12/5; 12/5; ; 12/5; 12/5; ; 21/10; 12/5; 5/2; ; ; ; 
META; english/league-2/barnet-v-yeovil; 2017-03-12 20:23:25 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 19/20; 11/10; 19/20; 6/5; 21/20; 1; 1; 11/10; 21/20; 20/21; 1; 1; 19/20; 21/20; 1; 21/20; 1; ; 11/10; 1; ; 13/12; 11/10; 19/20; ; ; ; 
Draw; 5/2; 12/5; 9/4; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 49/20; 12/5; 12/5; 5/2; 40/17; ; 12/5; 40/17; ; 12/5; 12/5; 12/5; ; ; ; 
Yeovil; 14/5; 11/5; 11/4; 2; 11/4; 9/4; 14/5; 21/10; 13/5; 14/5; 27/10; 14/5; 14/5; 5/2; 11/4; 13/5; 28/11; ; 12/5; 28/11; ; 21/10; 12/5; 11/4; ; ; ; 
META; english/league-2/barnet-v-yeovil; 2017-03-13 00:21:29 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 19/20; 11/10; 19/20; 1; 21/20; 1; 1; 11/10; 1; 20/21; 19/20; 1; 19/20; 11/10; 1; 1; 1; ; 11/10; 1; ; 13/12; 11/10; 19/20; ; ; 10/11; 
Draw; 5/2; 23/10; 9/4; 12/5; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 5/2; 23/10; 49/20; 13/5; 12/5; 12/5; 12/5; ; 12/5; 12/5; ; 12/5; 12/5; 12/5; ; ; 21/10; 
Yeovil; 14/5; 13/5; 11/4; 14/5; 11/4; 9/4; 14/5; 21/10; 14/5; 14/5; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 45/17; ; 12/5; 45/17; ; 21/10; 12/5; 11/4; ; ; 5/2; 
META; english/league-2/barnet-v-yeovil; 2017-03-13 04:21:09 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 19/20; 11/10; 19/20; 1; 1; 10/11; 20/21; 11/10; 1; 20/21; 19/20; 1; 19/20; 11/10; 1; 1; 1; ; 11/10; 1; ; 1; 11/10; 19/20; ; ; 10/11; 
Draw; 5/2; 23/10; 11/5; 12/5; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 5/2; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; ; 12/5; 40/17; ; 12/5; 12/5; 23/10; ; ; 2; 
Yeovil; 14/5; 13/5; 14/5; 14/5; 11/4; 5/2; 29/10; 21/10; 14/5; 14/5; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 45/17; ; 12/5; 45/17; ; 9/4; 12/5; 14/5; ; ; 5/2; 
META; english/league-2/barnet-v-yeovil; 2017-03-13 05:47:15 GMT+2; 2017-03-14 20:00; e70300-dr003
Barnet; 19/20; 11/10; 19/20; 1; 1; 10/11; 20/21; 11/10; 1; 20/21; 19/20; 1; 19/20; 11/10; 1; 1; 1; ; 11/10; 1; ; 1; 11/10; 19/20; ; ; 10/11; 
Draw; 5/2; 23/10; 11/5; 12/5; 5/2; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; ; 12/5; 40/17; ; 12/5; 12/5; 23/10; ; ; 2; 
Yeovil; 14/5; 13/5; 14/5; 14/5; 11/4; 5/2; 29/10; 21/10; 14/5; 14/5; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 45/17; ; 12/5; 45/17; ; 9/4; 12/5; 14/5; ; ; 5/2; 
META; english/league-2/barnet-v-yeovil; 2017-03-13 08:21:33 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 19/20; 11/10; 19/20; 1; 1; 10/11; 20/21; 11/10; 1; 20/21; 19/20; 1; 19/20; 11/10; 1; 1; 1; ; 11/10; 1; ; 1; 11/10; 19/20; ; 1; 10/11; 
Draw; 5/2; 23/10; 11/5; 12/5; 5/2; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; ; 12/5; 40/17; ; 12/5; 12/5; 23/10; ; 23/10; 2; 
Yeovil; 14/5; 13/5; 14/5; 14/5; 11/4; 5/2; 29/10; 21/10; 14/5; 14/5; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 45/17; ; 12/5; 45/17; ; 9/4; 12/5; 14/5; ; 13/5; 5/2; 
META; english/league-2/barnet-v-yeovil; 2017-03-13 12:22:47 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 19/20; 11/10; 19/20; 11/10; 1; 10/11; 20/21; 11/10; 1; 20/21; 19/20; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; ; 10/11; 10/11; 
Draw; 5/2; 23/10; 11/5; 12/5; 5/2; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 9/4; 40/17; ; 12/5; 9/4; 23/10; ; 12/5; 21/10; 
Yeovil; 14/5; 13/5; 14/5; 12/5; 11/4; 13/5; 29/10; 21/10; 14/5; 14/5; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 14/5; ; 14/5; 5/2; 
META; english/league-2/barnet-v-yeovil; 2017-03-13 16:25:50 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 19/20; 1; 21/20; 11/10; 1; 10/11; 20/21; 1; 1; 20/21; 19/20; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 23/10; 5/2; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 9/4; 40/17; ; 12/5; 9/4; 12/5; 9/4; ; 12/5; 21/10; 12/5
Yeovil; 14/5; 29/10; 31/10; 12/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 14/5; 27/10; 11/4; 11/4; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 14/5; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-13 20:23:26 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 19/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 9/4; 40/17; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 14/5; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 14/5; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 00:21:41 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 19/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 20/21; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 9/4; 40/17; ; 12/5; 9/4; 12/5; 9/4; ; 12/5; 2; 12/5
Yeovil; 14/5; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 14/5; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 00:48:33 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 19/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 9/4; 40/17; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 14/5; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 14/5; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 01:46:14 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 19/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 20/21; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 9/4; 40/17; ; 12/5; 9/4; 12/5; 9/4; ; 9/4; 2; 12/5
Yeovil; 14/5; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 14/5; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 03:46:19 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 9/4; 40/17; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 3; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 04:21:38 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 05:46:23 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 06:29:19 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 07:46:14 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 21/20; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 08:21:38 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 5/6; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 19/10; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 09:46:18 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
