META; english/league-2/blackpool-v-carlisle; 2016-09-11 04:21:33 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; ; 3/2; ; ; 8/5; ; 8/5; ; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Carlisle; ; 17/10; ; ; 7/4; ; 9/5; ; ; ; ; 7/4; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; 9/4; ; 9/4; ; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-11 08:21:46 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; ; 3/2; ; ; 8/5; ; 8/5; ; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Carlisle; ; 17/10; ; ; 7/4; ; 9/5; ; ; ; ; 7/4; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; 9/4; ; 9/4; ; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-11 12:23:50 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 6/4; 3/2; ; ; 8/5; ; 8/5; ; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; 28/17; ; ; ; ; ; 
Carlisle; 9/5; 17/10; ; ; 7/4; ; 9/5; ; ; ; ; 7/4; ; ; ; ; 9/5; ; ; ; ; ; 19/10; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; 23/10; ; ; ; ; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-11 16:21:55 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 6/4; 3/2; ; ; 8/5; ; 8/5; ; 8/5; 6/4; ; 8/5; ; ; ; ; 17/11; 16/11; 6/4; ; 6/4; 16/11; 28/17; ; ; ; 9/10; ; 
Carlisle; 9/5; 17/10; ; ; 7/4; ; 9/5; ; 9/5; 9/5; ; 7/4; ; ; ; ; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10; ; ; ; 1; ; 
Draw; 9/4; 9/4; ; ; 9/4; ; 9/4; ; 23/10; 9/4; ; 11/5; ; ; ; ; 9/4; 11/5; 9/4; ; 9/4; 11/5; 23/10; ; ; ; 6/4; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-11 20:22:49 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 6/4; 3/2; ; 8/5; 8/5; ; 31/20; ; 8/5; 6/4; ; 8/5; ; 6/4; 29/20; ; 17/11; 16/11; 6/4; ; 6/4; 16/11; 28/17; ; 6/4; ; 27/20; ; 
Carlisle; 9/5; 17/10; ; 9/5; 7/4; ; 9/5; ; 9/5; 9/5; ; 7/4; ; 9/5; 7/4; ; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10; ; 9/5; ; 13/8; ; 
Draw; 9/4; 9/4; ; 21/10; 9/4; ; 9/4; ; 23/10; 9/4; ; 11/5; ; 9/4; 23/10; ; 9/4; 11/5; 9/4; ; 9/4; 11/5; 23/10; ; 9/4; ; 2; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-12 00:21:23 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 6/4; 3/2; ; 8/5; 8/5; ; 31/20; ; 8/5; 6/4; ; 8/5; ; 6/4; 29/20; ; 17/11; 16/11; 6/4; ; 6/4; 16/11; 28/17; ; 6/4; ; 27/20; ; 
Carlisle; 9/5; 17/10; ; 9/5; 7/4; ; 9/5; ; 9/5; 9/5; ; 7/4; ; 9/5; 7/4; ; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10; ; 9/5; ; 13/8; ; 
Draw; 9/4; 9/4; ; 21/10; 9/4; ; 9/4; ; 23/10; 9/4; ; 11/5; ; 9/4; 23/10; ; 9/4; 11/5; 9/4; ; 9/4; 11/5; 23/10; ; 9/4; ; 2; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-12 04:22:01 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 6/4; 3/2; ; 8/5; 8/5; ; 31/20; ; 8/5; 6/4; ; 8/5; ; 6/4; 29/20; ; 17/11; 16/11; 6/4; ; 6/4; 16/11; 28/17; ; 6/4; ; 27/20; ; 
Carlisle; 9/5; 17/10; ; 9/5; 7/4; ; 9/5; ; 9/5; 9/5; ; 7/4; ; 9/5; 7/4; ; 9/5; 7/4; 9/5; ; 9/5; 7/4; 19/10; ; 9/5; ; 13/8; ; 
Draw; 9/4; 9/4; ; 21/10; 9/4; ; 9/4; ; 23/10; 9/4; ; 11/5; ; 9/4; 23/10; ; 9/4; 11/5; 9/4; ; 9/4; 11/5; 23/10; ; 9/4; ; 11/5; ; 
META; english/league-2/blackpool-v-carlisle; 2016-09-12 08:21:55 GMT+3; 2016-09-17 15:00; e70300-dr003
Blackpool; 6/4; 3/2; ; 8/5; 8/5; ; 31/20; ; 8/5; 6/4; ; 8/5; ; 6/4; 29/20; ; 17/11; 16/11; 6/4; ; 6/4; 16/11; ; ; 6/4; ; 27/20; ; 
