META; english/league-2/blackpool-v-doncaster; 2016-10-16 00:25:03 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-doncaster; 2016-10-16 04:22:02 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-doncaster; 2016-10-16 08:22:41 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-doncaster; 2016-10-16 12:23:50 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; ; 11/8; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-doncaster; 2016-10-16 16:23:04 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; 11/8; 11/8; 27/20; ; 13/10; ; 11/8; ; ; ; 5/4; ; ; ; ; 11/8; ; ; ; ; ; 23/17; ; ; ; ; ; ; 
Blackpool; 15/8; 9/5; 37/20; ; 2; ; 2; ; ; ; 21/10; ; ; ; ; 15/8; ; ; ; ; ; 24/11; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 12/5; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/league-2/blackpool-v-doncaster; 2016-10-16 20:23:36 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; 11/8; 11/8; 27/20; ; 13/10; ; 11/8; 5/4; ; ; 5/4; ; ; ; ; 11/8; 23/17; ; ; ; 23/17; 23/17; ; ; 11/8; ; ; ; 
Blackpool; 15/8; 9/5; 37/20; ; 2; ; 2; 7/4; ; ; 21/10; ; ; ; ; 15/8; 24/13; ; ; ; 24/13; 24/11; ; ; 15/8; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 12/5; 11/5; ; ; 12/5; ; ; ; ; 12/5; 40/17; ; ; ; 40/17; 5/2; ; ; 12/5; ; ; ; 
META; english/league-2/blackpool-v-doncaster; 2016-10-17 00:22:50 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; 11/8; 11/8; 27/20; ; 13/10; ; 11/8; 5/4; ; ; 5/4; ; ; ; ; 11/8; 23/17; ; ; ; 23/17; 23/17; ; ; 11/8; ; 1; ; 
Blackpool; 15/8; 9/5; 37/20; ; 2; ; 2; 7/4; ; ; 21/10; ; ; ; ; 15/8; 24/13; ; ; ; 24/13; 24/11; ; ; 15/8; ; 5/4; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 12/5; 11/5; ; ; 12/5; ; ; ; ; 12/5; 40/17; ; ; ; 40/17; 5/2; ; ; 12/5; ; 7/4; ; 
META; english/league-2/blackpool-v-doncaster; 2016-10-17 04:22:44 GMT+3; 2016-10-22 15:00; e70300-dr003
Doncaster; 11/8; 11/8; 27/20; ; 13/10; ; 11/8; 5/4; ; ; 5/4; ; 27/20; ; ; 11/8; 23/17; 11/8; ; 11/8; 23/17; 23/17; ; 11/8; 11/8; ; 4/5; ; 
Blackpool; 15/8; 9/5; 37/20; ; 2; ; 2; 7/4; ; ; 21/10; ; 19/10; ; ; 15/8; 24/13; 24/13; ; 9/5; 24/13; 24/11; ; 24/13; 15/8; ; 21/20; ; 
