META; english/league-2/cambridge-v-colchester; 2017-02-26 00:22:24 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-26 04:22:51 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-26 08:22:54 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-26 12:25:55 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Colchester; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-26 16:26:40 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; 6/5; 13/10; ; ; 5/4; ; 5/4; ; 5/4; ; ; ; ; ; ; 5/4; ; ; 6/5; ; ; ; 6/5; ; ; ; ; 
Colchester; 9/4; 19/10; ; ; 9/4; ; 11/5; ; 23/10; ; ; ; ; ; ; 11/5; ; ; 9/4; ; ; ; 9/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 12/5; ; ; 23/10; ; ; ; 23/10; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-26 20:24:08 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; 6/5; 13/10; ; ; 5/4; ; 5/4; ; 5/4; ; ; 6/5; ; ; ; 5/4; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Colchester; 9/4; 19/10; ; ; 23/10; ; 9/4; ; 23/10; ; ; 21/10; ; ; ; 11/5; 11/5; ; 9/4; 11/5; ; ; 9/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 5/2; ; ; ; 12/5; 9/4; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-27 00:22:00 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; 6/5; 13/10; ; ; 5/4; ; 5/4; ; 5/4; ; ; 6/5; ; ; ; 5/4; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Colchester; 9/4; 19/10; ; ; 23/10; ; 9/4; ; 23/10; ; ; 21/10; ; ; ; 11/5; 11/5; ; 9/4; 11/5; ; ; 9/4; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 5/2; ; ; ; 12/5; 9/4; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-27 04:21:41 GMT+2; 2017-03-04 15:00; e70300-dr003
Cambridge; 6/5; 13/10; ; ; 5/4; ; 5/4; ; 5/4; ; ; 6/5; 6/5; ; ; 5/4; 6/5; ; 6/5; 6/5; ; ; 16/13; ; ; ; ; 
Colchester; 9/4; 19/10; ; ; 23/10; ; 9/4; ; 23/10; ; ; 21/10; 9/4; ; ; 11/5; 11/5; ; 11/5; 11/5; ; ; 11/5; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 5/2; 23/10; ; ; 12/5; 9/4; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; 
META; english/league-2/cambridge-v-colchester; 2017-02-27 08:21:51 GMT+2; 2017-03-04 15:00; e70300-dr003
