META; english/league-2/carlisle-v-newport-county; 2017-04-26 19:45:14 GMT+3; 2017-04-29 15:00; e70300-dr003
Carlisle; 11/10; 6/5; 23/20; 6/5; 6/5; 11/10; 5/4; 1; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 5/4; 15/13; 6/5; 13/10; 21/20; 6/5; 119/100; 13/12; 13/12; 6/5; 13/12; ; 11/10; 23/20; 5/4
Newport County; 12/5; 21/10; 43/20; 21/10; 11/5; 21/10; 85/40; 9/4; 23/10; 2; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; 11/5; 21/10; 23/10; 11/5; 59/25; 39/19; 40/17; 11/5; 40/17; ; 19/10; 19/10; 9/4
Draw; 12/5; 5/2; 23/10; 5/2; 12/5; 9/4; 5/2; 23/10; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 11/5; 12/5; 12/5; 51/20; 12/5; 27/11; 23/10; 27/11; ; 9/4; 2; 5/2
META; english/league-2/carlisle-v-newport-county; 2017-04-28 10:11:44 GMT+3; 2017-04-29 15:00; e70300-dr003
Carlisle; 23/20; 6/5; 23/20; 6/5; 11/10; 21/20; 21/20; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 5/4; 23/20; 15/13; 11/10; 6/5; 11/10; 11/10; 119/100; 13/12; 11/10; 23/20; 11/10; ; 23/20; 10/9; 23/20
Newport County; 12/5; 11/5; 43/20; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 21/10; 11/5; 9/4; 9/4; 23/10; 23/10; 9/4; 40/17; 9/4; 23/10; 40/17; 59/25; 39/19; 40/17; 9/4; 40/17; ; 11/5; 2; 12/5
Draw; 11/4; 12/5; 23/10; 11/5; 5/2; 23/10; 11/4; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 13/5; 12/5; 5/2; 27/11; 11/5; 12/5; 27/11; 51/20; 12/5; 27/11; 12/5; 27/11; ; 23/10; 2; 13/5
META; english/league-2/carlisle-v-newport-county; 2017-04-28 11:05:54 GMT+3; 2017-04-29 15:00; e70300-dr003
Carlisle; 23/20; 6/5; 23/20; 6/5; 23/20; 21/20; 21/20; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 5/4; 23/20; 11/10; 11/10; 6/5; 11/10; ; 119/100; 13/12; 11/10; 23/20; 11/10; ; 23/20; 10/9; 23/20
Newport County; 12/5; 11/5; 43/20; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 11/5; 9/4; 9/4; 9/4; 12/5; 23/10; 23/10; 40/17; 9/4; 23/10; ; 59/25; 39/19; 40/17; 9/4; 40/17; ; 11/5; 2; 12/5
Draw; 11/4; 12/5; 23/10; 11/5; 12/5; 23/10; 11/4; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 11/5; 12/5; ; 51/20; 12/5; 27/11; 12/5; 27/11; ; 12/5; 2; 13/5
META; english/league-2/carlisle-v-newport-county; 2017-04-28 16:11:04 GMT+3; 2017-04-29 15:00; e70300-dr003
Carlisle; 23/20; 6/5; 23/20; 6/5; 23/20; 11/10; 21/20; 11/10; 6/5; 23/20; 23/20; 23/20; 23/20; 5/4; 23/20; 11/10; 15/13; 6/5; 10/9; 15/13; 119/100; 6/5; 8/7; 23/20; 8/7; ; 23/20; 10/9; 23/20
Newport County; 12/5; 11/5; 43/20; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 9/4; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 9/4; 9/4; 23/10; 59/25; 39/19; 9/4; 11/5; 9/4; ; 21/10; 2; 12/5
Draw; 11/4; 12/5; 23/10; 11/5; 12/5; 23/10; 11/4; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 11/5; 12/5; 27/11; 51/20; 5/2; 27/11; 12/5; 27/11; ; 11/5; 9/4; 5/2
