META; english/league-2/crawley-v-leyton-orient; 2017-03-19 00:22:10 GMT+2; 2017-03-25 15:00; e70300-dr003
Crawley; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/crawley-v-leyton-orient; 2017-03-19 04:22:54 GMT+2; 2017-03-25 15:00; e70300-dr003
Crawley; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/crawley-v-leyton-orient; 2017-03-19 08:22:08 GMT+2; 2017-03-25 15:00; e70300-dr003
Crawley; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/crawley-v-leyton-orient; 2017-03-19 12:24:50 GMT+2; 2017-03-25 15:00; e70300-dr003
Crawley; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/crawley-v-leyton-orient; 2017-03-19 16:25:07 GMT+2; 2017-03-25 15:00; e70300-dr003
Crawley; 1; 1; 1; ; 21/20; ; 21/20; ; 21/20; ; 1; ; ; ; ; 21/20; 19/20; ; ; 19/20; 21/20; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 47/20; ; 12/5; ; 12/5; ; 5/2; ; 23/10; ; ; ; ; 5/2; 40/17; ; ; 40/17; 53/20; ; ; ; ; ; ; ; 
Leyton Orient; 11/4; 13/5; 13/5; ; 11/4; ; 27/10; ; 13/5; ; 5/2; ; ; ; ; 11/4; 13/5; ; ; 13/5; 139/50; ; ; ; ; ; ; ; 
META; english/league-2/crawley-v-leyton-orient; 2017-03-19 20:24:00 GMT+2; 2017-03-25 15:00; e70300-dr003
Crawley; 1; 1; 1; ; 21/20; ; 21/20; ; 21/20; 21/20; 1; ; 1; ; 1; 21/20; 1; ; ; 1; 21/20; ; ; ; ; ; 4/6; ; 
