META; english/league-2/exeter-v-cambridge; 2016-10-16 00:25:12 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-16 04:22:11 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-16 08:22:53 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-16 12:24:00 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; ; 13/10; ; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge; ; 19/10; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-16 16:23:13 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 13/10; 13/10; 13/10; ; 13/10; ; 13/10; ; ; ; 11/8; ; ; ; ; 13/10; ; ; ; ; ; 16/11; ; ; ; ; ; ; 
Cambridge; 2; 19/10; 41/20; ; 2; ; 21/10; ; ; ; 15/8; ; ; ; ; 2; ; ; ; ; ; 39/19; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 41/20; ; 12/5; ; 12/5; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; 27/11; ; ; ; ; ; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-16 20:23:45 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 13/10; 13/10; 13/10; ; 13/10; ; 13/10; 11/10; ; ; 11/8; ; ; ; ; 13/10; 5/4; ; ; ; 5/4; 16/11; ; ; 13/10; ; ; ; 
Cambridge; 2; 19/10; 41/20; ; 2; ; 21/10; 2; ; ; 15/8; ; ; ; ; 2; 37/19; ; ; ; 37/19; 39/19; ; ; 2; ; ; ; 
Draw; 12/5; 23/10; 41/20; ; 12/5; ; 12/5; 9/4; ; ; 12/5; ; ; ; ; 12/5; 40/17; ; ; ; 40/17; 27/11; ; ; 12/5; ; ; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-17 00:23:01 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 13/10; 13/10; ; 13/10; ; 13/10; 11/10; ; ; 11/8; ; ; ; ; 5/4; 15/13; ; ; ; 15/13; 11/8; ; ; 23/20; ; 4/5; ; 
Cambridge; 11/5; 19/10; 41/20; ; 2; ; 21/10; 2; ; ; 15/8; ; ; ; ; 11/5; 28/13; ; ; ; 28/13; 28/13; ; ; 11/5; ; 7/4; ; 
Draw; 5/2; 23/10; 41/20; ; 12/5; ; 12/5; 9/4; ; ; 12/5; ; ; ; ; 12/5; 12/5; ; ; ; 12/5; 5/2; ; ; 5/2; ; 8/11; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-17 04:22:53 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 13/10; 6/5; ; 13/10; ; 5/4; 11/10; ; ; 11/8; ; 23/20; ; ; 5/4; 15/13; 15/13; ; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 8/11; ; 
Cambridge; 11/5; 19/10; 47/20; ; 2; ; 11/5; 2; ; ; 15/8; ; 11/5; ; ; 11/5; 28/13; 11/5; ; 11/5; 28/13; 41/18; ; 11/5; 11/5; ; 7/4; ; 
Draw; 5/2; 23/10; 41/20; ; 12/5; ; 12/5; 9/4; ; ; 12/5; ; 49/20; ; ; 12/5; 12/5; 5/2; ; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 11/5; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-17 08:22:48 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 13/10; 6/5; ; 13/10; ; 5/4; 11/10; ; ; 11/8; ; 23/20; ; ; 5/4; 15/13; 15/13; ; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 4/5; ; 
Cambridge; 11/5; 19/10; 47/20; ; 2; ; 11/5; 2; ; ; 15/8; ; 11/5; ; ; 11/5; 28/13; 11/5; ; 11/5; 28/13; 41/18; ; 11/5; 11/5; ; 15/8; ; 
Draw; 5/2; 23/10; 41/20; ; 12/5; ; 12/5; 9/4; ; ; 12/5; ; 49/20; ; ; 12/5; 27/11; 5/2; ; 5/2; 27/11; 5/2; ; 5/2; 5/2; ; 11/5; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-17 12:24:08 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 6/5; 6/5; 5/4; 13/10; 11/10; 5/4; 11/10; ; ; 11/8; ; 23/20; ; ; 6/5; 15/13; 15/13; ; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 21/20; ; 
Cambridge; 11/5; 2; 47/20; 9/4; 2; 2; 11/5; 2; ; ; 15/8; ; 11/5; ; ; 11/5; 28/13; 11/5; ; 11/5; 28/13; 41/18; ; 11/5; 11/5; ; 19/10; ; 
Draw; 5/2; 12/5; 41/20; 9/4; 12/5; 5/2; 12/5; 9/4; ; ; 12/5; ; 49/20; ; ; 5/2; 27/11; 5/2; ; 5/2; 27/11; 5/2; ; 5/2; 5/2; ; 11/5; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-17 16:24:31 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 6/5; 6/5; 6/5; 6/5; 11/10; 6/5; 11/10; ; ; 6/5; ; 23/20; ; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 21/20; ; 
Cambridge; 11/5; 2; 47/20; 23/10; 12/5; 2; 23/10; 2; ; ; 23/10; ; 9/4; ; ; 11/5; 28/13; 11/5; 11/5; 11/5; 28/13; 41/18; ; 11/5; 11/5; ; 19/10; ; 
Draw; 5/2; 12/5; 41/20; 23/10; 12/5; 5/2; 12/5; 9/4; ; ; 2; ; 49/20; ; ; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 11/5; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-17 20:24:16 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 6/5; 6/5; 6/5; 6/5; 11/10; 6/5; 11/10; ; ; 6/5; ; 23/20; 6/5; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 23/20; ; 
Cambridge; 11/5; 12/5; 47/20; 23/10; 12/5; 2; 23/10; 2; ; ; 23/10; ; 9/4; 12/5; ; 9/4; 28/13; 11/5; 11/5; 11/5; 28/13; 41/18; ; 11/5; 11/5; ; 2; ; 
Draw; 5/2; 9/4; 41/20; 23/10; 12/5; 5/2; 12/5; 9/4; ; ; 2; ; 49/20; 21/10; ; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 11/5; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-18 00:23:09 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 6/5; 6/5; 6/5; 6/5; 11/10; 6/5; 11/10; ; ; 6/5; ; 23/20; 6/5; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 23/20; ; 
Cambridge; 11/5; 12/5; 47/20; 23/10; 12/5; 2; 23/10; 2; ; ; 23/10; ; 9/4; 12/5; ; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 41/18; ; 11/5; 11/5; ; 21/10; ; 
Draw; 5/2; 9/4; 41/20; 23/10; 12/5; 5/2; 12/5; 9/4; ; ; 2; ; 49/20; 21/10; ; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 11/5; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-18 04:23:10 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 6/5; 6/5; 6/5; 6/5; 11/10; 6/5; 11/10; ; ; 6/5; ; 23/20; 6/5; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 23/20; ; 
Cambridge; 11/5; 12/5; 47/20; 23/10; 12/5; 2; 23/10; 2; ; ; 23/10; ; 9/4; 12/5; ; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 41/18; ; 11/5; 11/5; ; 21/10; ; 
Draw; 5/2; 9/4; 41/20; 23/10; 12/5; 5/2; 12/5; 9/4; ; ; 2; ; 49/20; 21/10; ; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; ; 5/2; 5/2; ; 11/5; ; 
META; english/league-2/exeter-v-cambridge; 2016-10-18 08:23:46 GMT+3; 2016-10-22 15:00; e70300-dr003
Exeter; 23/20; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 15/13; 15/13; 11/10; 23/20; 15/13; 13/10; ; 15/13; 23/20; ; 23/20; ; 
Cambridge; 11/5; 12/5; 47/20; 23/10; 12/5; 2; 23/10; 2; ; ; 23/10; ; ; 12/5; ; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 41/18; ; 11/5; 11/5; ; 21/10; ; 
