META; english/league-2/grimsby-v-barnet; 2016-11-05 20:23:15 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-06 00:22:04 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-06 04:20:46 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-06 08:21:02 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-06 12:22:11 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-06 16:22:30 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; 11/10; 1; ; ; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; ; ; 12/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; 5/2; 13/5; ; ; ; ; ; ; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-06 20:21:22 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; 11/10; 1; ; 11/10; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; 
Draw; 23/10; 23/10; ; 12/5; ; ; ; ; 12/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 
Barnet; 5/2; 13/5; ; 5/2; ; ; ; ; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-07 00:20:35 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; 11/10; 1; ; 11/10; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 1/50; ; 
Draw; 23/10; 23/10; ; 12/5; ; ; ; ; 12/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 1/50; ; 
Barnet; 5/2; 13/5; ; 5/2; ; ; ; ; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 1/50; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-07 04:20:31 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; 11/10; 1; ; 11/10; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 5/6; ; 
Draw; 23/10; 23/10; ; 12/5; ; ; ; ; 12/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 7/4; ; 
Barnet; 5/2; 13/5; ; 5/2; ; ; ; ; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 19/10; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-07 08:20:30 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; 11/10; 1; ; 11/10; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 5/6; ; 
Draw; 23/10; 23/10; ; 12/5; ; ; ; ; 12/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 7/4; ; 
Barnet; 5/2; 13/5; ; 5/2; ; ; ; ; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 19/10; ; 
META; english/league-2/grimsby-v-barnet; 2016-11-07 12:20:51 GMT+2; 2016-11-12 15:00; e70300-dr003
Grimsby; 11/10; 1; ; 11/10; ; 1; ; 11/10; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; 11/10; ; 5/6; ; 
