META; english/league-2/grimsby-v-crawley; 2017-03-12 00:22:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 04:22:29 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 08:23:04 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 12:22:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 20/21; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; 14/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 16:22:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 20/21; 1; ; ; 1; ; 1; ; 1; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; 14/5; 5/2; ; ; 11/4; ; 14/5; ; 14/5; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-12 20:23:35 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 20/21; 1; ; ; 19/20; ; 20/21; ; 1; ; 10/11; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 23/10; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; 14/5; 5/2; ; ; 3; ; 3; ; 14/5; ; 11/4; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-13 00:21:36 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 20/21; 1; ; ; 19/20; ; 20/21; ; 1; ; 10/11; ; ; ; ; 19/20; 19/20; ; ; 19/20; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 23/10; ; ; ; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; ; ; 
Crawley; 14/5; 5/2; ; ; 3; ; 29/10; ; 14/5; ; 11/4; ; ; ; ; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-13 04:21:16 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 20/21; 1; ; ; 19/20; ; 20/21; ; 1; ; 10/11; ; ; ; ; 19/20; 19/20; ; ; 19/20; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 23/10; ; ; ; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; ; ; 
Crawley; 14/5; 5/2; ; ; 3; ; 29/10; ; 14/5; ; 11/4; ; ; ; ; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-13 08:21:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 20/21; 1; ; ; 19/20; ; 20/21; ; 1; ; 10/11; ; 10/11; ; ; 19/20; 19/20; ; 10/11; 19/20; ; ; 13/14; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 5/2; ; 23/10; ; 5/2; ; ; 5/2; 27/11; ; 5/2; 27/11; ; ; 5/2; ; ; ; ; 
Crawley; 14/5; 5/2; ; ; 3; ; 29/10; ; 14/5; ; 11/4; ; 29/10; ; ; 14/5; 11/4; ; 14/5; 11/4; ; ; 37/13; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-13 12:22:54 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 20/21; 1; ; ; 19/20; ; 20/21; 10/11; 1; ; 10/11; 20/21; 10/11; ; ; 19/20; 19/20; ; 10/11; 19/20; ; ; 13/14; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 5/2; 5/2; ; 23/10; 5/2; 5/2; ; ; 12/5; 12/5; ; 5/2; 12/5; ; ; 5/2; ; ; ; ; 
Crawley; 14/5; 5/2; ; ; 3; ; 3; 3; 14/5; ; 11/4; 14/5; 29/10; ; ; 3; 14/5; ; 14/5; 14/5; ; ; 37/13; ; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-13 16:26:03 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 10/11; ; 19/20; ; 19/20; 10/11; 1; 20/21; 10/11; 20/21; 10/11; ; ; 19/20; 10/11; ; 10/11; 10/11; ; ; 13/14; ; 13/14; ; ; ; 
Draw; 12/5; 23/10; 23/10; ; 5/2; ; 5/2; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; ; ; 12/5; 12/5; ; 5/2; 12/5; ; ; 5/2; ; 5/2; ; ; ; 
Crawley; 3; 5/2; 14/5; ; 3; ; 3; 3; 14/5; 14/5; 14/5; 14/5; 59/20; ; ; 3; 37/13; ; 14/5; 37/13; ; ; 37/13; ; 37/13; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-13 20:23:35 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; ; 19/20; 9/10; 1; 5/6; 1; 20/21; 1; 20/21; 10/11; ; 1; 19/20; 10/11; 10/11; 10/11; 10/11; ; ; 13/14; 10/11; 13/14; ; ; ; 
Draw; 12/5; 23/10; 23/10; ; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 5/2; 5/2; ; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; ; ; 5/2; 12/5; 5/2; ; ; ; 
Crawley; 3; 5/2; 13/5; ; 3; 13/5; 14/5; 11/4; 3; 14/5; 13/5; 14/5; 29/10; ; 11/4; 3; 14/5; 29/10; 14/5; 14/5; ; ; 37/13; 3; 37/13; ; ; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-14 00:21:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; ; 19/20; 9/10; 1; 5/6; 1; 20/21; 1; 1; 19/20; ; 1; 19/20; 10/11; 10/11; 10/11; 10/11; ; ; 13/14; 10/11; 13/14; ; 8/13; ; 
Draw; 12/5; 23/10; 23/10; ; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 5/2; ; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; ; ; 5/2; 12/5; 5/2; ; 17/10; ; 
Crawley; 3; 5/2; 13/5; ; 3; 13/5; 14/5; 11/4; 3; 14/5; 13/5; 14/5; 29/10; ; 11/4; 3; 14/5; 29/10; 14/5; 14/5; ; ; 37/13; 3; 37/13; ; 19/10; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-14 04:21:46 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; ; 19/20; 9/10; 1; 5/6; 1; 20/21; 1; 1; 19/20; ; 1; 19/20; 10/11; 10/11; 10/11; 10/11; ; ; 13/14; 10/11; 13/14; ; 8/13; ; 
Draw; 12/5; 23/10; 23/10; ; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; ; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; ; ; 5/2; 12/5; 5/2; ; 19/10; ; 
Crawley; 3; 5/2; 13/5; ; 3; 13/5; 14/5; 11/4; 3; 14/5; 13/5; 14/5; 29/10; ; 11/4; 3; 14/5; 29/10; 14/5; 14/5; ; ; 37/13; 3; 37/13; ; 19/10; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-14 08:21:46 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; ; 19/20; 9/10; 1; 5/6; 1; 20/21; 1; 1; 19/20; ; 1; 19/20; 10/11; 10/11; 10/11; 10/11; ; ; 13/14; 10/11; 13/14; ; 4/6; ; 
Draw; 12/5; 23/10; 23/10; ; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; ; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; ; ; 5/2; 12/5; 5/2; ; 7/4; ; 
Crawley; 3; 5/2; 13/5; ; 3; 13/5; 14/5; 11/4; 3; 14/5; 13/5; 14/5; 29/10; ; 11/4; 3; 14/5; 29/10; 14/5; 14/5; ; ; 37/13; 3; 37/13; ; 21/10; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-14 12:23:16 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; 10/11; 19/20; 9/10; 1; 5/6; 1; 20/21; 1; 1; 19/20; ; 1; 1; 10/11; 10/11; 10/11; 10/11; ; ; 13/14; 10/11; 13/14; ; 4/7; ; 
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; ; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; ; ; 5/2; 12/5; 5/2; ; 13/8; ; 
Crawley; 3; 11/4; 13/5; 11/4; 3; 13/5; 14/5; 11/4; 3; 14/5; 13/5; 14/5; 29/10; ; 11/4; 3; 14/5; 29/10; 14/5; 14/5; ; ; 37/13; 3; 37/13; ; 8/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-14 16:22:25 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; 10/11; 19/20; 10/11; 19/20; 5/6; 1; 20/21; 1; 1; 19/20; ; 1; 1; 19/20; 10/11; 10/11; 19/20; ; 19/20; 13/14; 10/11; 13/14; ; 4/7; ; 
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; ; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; ; 40/17; 5/2; 12/5; 5/2; ; 19/10; ; 
Crawley; 3; 11/4; 13/5; 11/4; 3; 5/2; 3; 11/4; 3; 14/5; 13/5; 14/5; 57/20; ; 11/4; 3; 14/5; 29/10; 14/5; 14/5; ; 27/11; 37/13; 3; 37/13; ; 19/10; ; 
META; english/league-2/grimsby-v-crawley; 2017-03-14 20:23:00 GMT+2; 2017-03-18 15:00; e70300-dr003
Grimsby; 10/11; 1; 1; 10/11; ; 10/11; 19/20; 5/6; 1; 20/21; 19/20; 1; 19/20; ; 1; 1; 19/20; 10/11; 10/11; 19/20; 49/50; 19/20; 13/14; 10/11; 13/14; ; 2/9; ; 
Draw; 12/5; 12/5; 23/10; 23/10; ; 23/10; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; ; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; 40/17; 5/2; 12/5; 5/2; ; 2/9; ; 
