META; english/league-2/hartlepool-v-barnet; 2017-04-18 14:22:57 GMT+3; 2017-04-22 15:00; e70300-dr003
Hartlepool; 11/10; 23/20; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 6/5; 6/5; 15/13; 11/10; 23/20; 15/13; 5/4; ; 13/11; 23/20; 13/11; ; 10/9; ; 
Barnet; 12/5; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 2; 23/10; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 119/50; ; 9/4; 23/10; 9/4; ; 21/10; ; 
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 43/20; 12/5; 11/5; 5/2; 12/5; 11/5; 23/10; 12/5; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 5/2; ; 40/17; 23/10; 40/17; ; 9/4; ; 
META; english/league-2/hartlepool-v-barnet; 2017-04-19 16:50:41 GMT+3; 2017-04-22 15:00; e70300-dr003
Hartlepool; 13/10; 7/5; 11/8; 29/20; 7/5; 13/10; 29/20; 13/10; 7/5; 7/5; 11/8; 11/8; 7/5; 7/5; 7/5; 11/8; 23/17; 23/17; 11/8; 23/17; 139/100; 9/7; 11/8; 11/8; 11/8; ; 13/10; 11/8; 7/5
Barnet; 2; 19/10; 37/20; 15/8; 19/10; 20/11; 19/10; 21/10; 2; 19/10; 19/10; 19/10; 19/10; 19/10; 19/10; 2; 19/10; 2; 19/10; 19/10; 21/10; 24/13; 19/10; 15/8; 19/10; ; 19/10; 19/10; 2
Draw; 12/5; 12/5; 11/5; 23/10; 23/10; 11/5; 12/5; 9/4; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 40/17; 9/4; 40/17; ; 21/10; 21/10; 12/5
META; english/league-2/hartlepool-v-barnet; 2017-04-21 14:01:34 GMT+3; 2017-04-22 15:00; e70300-dr003
Hartlepool; 17/10; 8/5; 31/20; 17/10; 8/5; 29/20; 13/8; 6/4; 13/8; 6/4; 8/5; 31/20; 8/5; 17/10; 8/5; 8/5; 6/4; 8/5; 7/5; 6/4; 17/10; 10/7; 31/21; 8/5; 31/21; ; 6/4; 6/4; 6/4
Barnet; 17/10; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10; 17/10; 7/4; 17/10; 17/10; 17/10; 7/4; 9/5; 13/8; 7/4; 17/10; 17/10; 7/4; 17/10; 17/10; 19/11; 7/4; 17/10; 7/4; ; 13/8; 13/8; 9/5
Draw; 5/2; 23/10; 11/5; 21/10; 23/10; 11/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 40/17; 11/5; 23/10; 40/17; 5/2; 12/5; 40/17; 12/5; 40/17; ; 23/10; 9/4; 5/2
