META; english/league-2/luton-v-cambridge; 2017-01-22 00:22:57 GMT+2; 2017-01-28 15:00; e70300-dr003
Luton; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-cambridge; 2017-01-22 04:21:37 GMT+2; 2017-01-28 15:00; e70300-dr003
Luton; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-cambridge; 2017-01-22 08:21:54 GMT+2; 2017-01-28 15:00; e70300-dr003
Luton; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/luton-v-cambridge; 2017-01-22 12:24:53 GMT+2; 2017-01-28 15:00; e70300-dr003
Luton; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; 
Cambridge; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 
META; english/league-2/luton-v-cambridge; 2017-01-22 16:23:22 GMT+2; 2017-01-28 15:00; e70300-dr003
Luton; 1; 11/10; 1; ; ; ; 21/20; ; ; ; 1; ; ; ; ; 21/20; ; ; ; ; 23/20; ; ; ; ; ; ; 
Draw; 5/2; 23/10; 47/20; ; ; ; 5/2; ; ; ; 23/10; ; ; ; ; 5/2; ; ; ; ; 51/20; ; ; ; ; ; ; 
Cambridge; 13/5; 23/10; 13/5; ; ; ; 13/5; ; ; ; 13/5; ; ; ; ; 13/5; ; ; ; ; 129/50; ; ; ; ; ; ; 
META; english/league-2/luton-v-cambridge; 2017-01-22 20:22:36 GMT+2; 2017-01-28 15:00; e70300-dr003
Luton; 1; 11/10; 1; ; ; ; 21/20; ; 21/20; ; 1; ; ; ; ; 21/20; 1; ; ; 1; 23/20; ; ; ; ; 4/7; ; 
Cambridge; 13/5; 23/10; 13/5; ; ; ; 13/5; ; 13/5; ; 13/5; ; ; ; ; 13/5; 28/11; ; ; 28/11; 129/50; ; ; ; ; 11/8; ; 
Draw; 5/2; 23/10; 47/20; ; ; ; 5/2; ; 13/5; ; 23/10; ; ; ; ; 5/2; 27/11; ; ; 27/11; 51/20; ; ; ; ; 6/4; ; 
META; english/league-2/luton-v-cambridge; 2017-01-23 00:21:37 GMT+2; 2017-01-28 15:00; e70300-dr003
Luton; 1; 11/10; 1; ; 1; ; 1; ; 21/20; ; 1; ; ; 1; ; 21/20; 1; ; ; 1; 23/20; ; ; ; ; 10/11; ; 
Draw; 5/2; 23/10; 47/20; ; 13/5; ; 13/5; ; 13/5; ; 23/10; ; ; 5/2; ; 5/2; 27/11; ; ; 27/11; 51/20; ; ; ; ; 9/4; ; 
