META; english/league-2/mansfield-v-notts-county; 2016-10-02 00:22:02 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-02 04:20:52 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-02 08:21:14 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-02 12:21:28 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 7/5; 7/5; 7/5; ; 7/5; ; 29/20; ; ; ; ; 11/8; ; ; ; ; 16/11; ; ; ; ; ; ; ; ; ; ; ; 
Notts County; 19/10; 19/10; 19/10; ; 2; ; 2; ; ; ; ; 15/8; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; 43/20; ; 9/4; ; 9/4; ; ; ; ; 21/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-02 16:22:26 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 7/5; 7/5; 7/5; ; 7/5; ; 7/5; ; ; ; ; 11/8; ; 7/5; ; ; 16/11; ; ; ; ; ; 27/17; ; ; ; ; ; 
Notts County; 19/10; 19/10; 19/10; ; 2; ; 2; ; ; ; ; 15/8; ; 39/20; ; ; 2; ; ; ; ; ; 83/41; ; ; ; ; ; 
Draw; 9/4; 9/4; 43/20; ; 9/4; ; 23/10; ; ; ; ; 21/10; ; 9/4; ; ; 9/4; ; ; ; ; ; 9/4; ; ; ; ; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-02 20:23:07 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 7/5; 7/5; 7/5; ; 7/5; ; 7/5; ; 6/4; ; ; 11/8; ; 7/5; ; ; 16/11; 7/5; ; ; ; 7/5; 27/17; ; ; ; ; ; 
Notts County; 19/10; 19/10; 19/10; ; 2; ; 2; ; 2; ; ; 15/8; ; 39/20; ; ; 2; 19/10; ; ; ; 19/10; 83/41; ; ; ; ; ; 
Draw; 9/4; 9/4; 43/20; ; 9/4; ; 23/10; ; 23/10; ; ; 21/10; ; 9/4; ; ; 9/4; 11/5; ; ; ; 11/5; 9/4; ; ; ; ; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-03 00:21:19 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 7/5; 7/5; 7/5; 29/20; 7/5; ; 7/5; ; 6/4; ; ; 11/8; ; 7/5; ; ; 16/11; 7/5; ; ; ; 7/5; 27/17; ; 7/5; ; 5/6; ; 
Notts County; 19/10; 19/10; 19/10; 2; 2; ; 2; ; 2; ; ; 15/8; ; 39/20; ; ; 2; 19/10; ; ; ; 19/10; 83/41; ; 15/8; ; 21/20; ; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; ; 23/10; ; 23/10; ; ; 21/10; ; 9/4; ; ; 9/4; 11/5; ; ; ; 11/5; 9/4; ; 9/4; ; 11/5; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-03 04:20:50 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 7/5; 7/5; 7/5; 29/20; 7/5; ; 7/5; ; 6/4; ; ; 11/8; ; 7/5; ; ; 16/11; 7/5; ; ; ; 7/5; 27/17; ; 7/5; ; 11/10; ; 
Notts County; 19/10; 19/10; 19/10; 2; 2; ; 2; ; 2; ; ; 15/8; ; 39/20; ; ; 2; 19/10; ; ; ; 19/10; 83/41; ; 15/8; ; 7/5; ; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; ; 23/10; ; 23/10; ; ; 21/10; ; 9/4; ; ; 9/4; 11/5; ; ; ; 11/5; 9/4; ; 9/4; ; 11/5; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-03 08:21:02 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 7/5; 7/5; 7/5; 29/20; 7/5; ; 7/5; ; 6/4; 7/5; ; 11/8; ; 7/5; ; ; 16/11; 23/17; 7/5; ; 7/5; 23/17; 27/17; ; 7/5; ; 5/6; ; 
Notts County; 19/10; 19/10; 19/10; 2; 2; ; 2; ; 2; 2; ; 15/8; ; 39/20; ; ; 2; 37/19; 2; ; 2; 37/19; 83/41; ; 15/8; ; 21/20; ; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; ; 23/10; ; 23/10; 11/5; ; 21/10; ; 9/4; ; ; 9/4; 11/5; 11/5; ; 11/5; 11/5; 9/4; ; 9/4; ; 11/5; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-03 12:21:14 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 7/5; 7/5; 7/5; 29/20; 7/5; ; 7/5; ; 6/4; 7/5; ; 11/8; ; 7/5; ; ; 16/11; 7/5; 7/5; 7/5; 7/5; 7/5; 27/17; ; 7/5; ; 5/6; ; 
Notts County; 19/10; 19/10; 19/10; 2; 2; ; 2; ; 2; 2; ; 15/8; ; 39/20; ; ; 2; 19/10; 2; 9/5; 2; 19/10; 83/41; ; 15/8; ; 23/20; ; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; ; 23/10; ; 23/10; 11/5; ; 21/10; ; 9/4; ; ; 9/4; 11/5; 11/5; 21/10; 11/5; 11/5; 9/4; ; 9/4; ; 11/5; ; 
META; english/league-2/mansfield-v-notts-county; 2016-10-03 16:22:16 GMT+3; 2016-10-08 12:15; e70300-dr003
Mansfield; 6/4; 6/4; 29/20; 31/20; 6/4; 7/5; 31/20; 13/10; 6/4; 16/11; 7/5; 29/20; 6/4; 29/20; ; 6/4; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 11/7; ; 6/4; ; 6/4; 6/4; 
Notts County; 9/5; 15/8; 37/20; 19/10; 15/8; 7/4; 9/5; 7/4; 15/8; 19/10; 19/10; 9/5; 15/8; 15/8; ; 15/8; 15/8; 24/13; 19/10; 9/5; 19/10; 24/13; 2; ; 7/4; ; 9/5; 9/5; 
