META; english/league-2/newport-county-v-crewe; 2016-08-14 00:21:44 GMT+3; 2016-08-20 15:00; e70300-dr003
Crewe; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-14 04:21:16 GMT+3; 2016-08-20 15:00; e70300-dr003
Crewe; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-14 08:21:21 GMT+3; 2016-08-20 15:00; e70300-dr003
Crewe; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-14 12:21:45 GMT+3; 2016-08-20 15:00; e70300-dr003
Crewe; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-14 16:22:11 GMT+3; 2016-08-20 15:00; e70300-dr003
Crewe; 8/5; 3/2; ; ; 8/5; ; 17/10; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; 8/5; 13/8; ; ; 13/8; ; 17/10; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 12/5; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-14 20:22:51 GMT+3; 2016-08-20 15:00; e70300-dr003
Crewe; 8/5; 3/2; ; ; 8/5; ; 17/10; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; 8/5; 13/8; ; ; 13/8; ; 17/10; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 12/5; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-crewe; 2016-08-15 00:21:11 GMT+3; 2016-08-20 15:00; e70300-dr003
Crewe; 8/5; 3/2; ; ; 8/5; ; 17/10; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
