META; english/league-2/newport-county-v-hartlepool; 2017-01-22 00:23:02 GMT+2; 2017-01-28 15:00; e70300-dr003
Newport County; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-hartlepool; 2017-01-22 04:21:45 GMT+2; 2017-01-28 15:00; e70300-dr003
Newport County; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-hartlepool; 2017-01-22 08:22:00 GMT+2; 2017-01-28 15:00; e70300-dr003
Newport County; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-hartlepool; 2017-01-22 12:25:01 GMT+2; 2017-01-28 15:00; e70300-dr003
Newport County; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-hartlepool; 2017-01-22 16:23:29 GMT+2; 2017-01-28 15:00; e70300-dr003
Newport County; 11/8; 6/5; 27/20; ; ; ; 11/8; ; ; ; 27/20; ; ; ; ; 11/8; ; ; ; ; 11/8; ; ; ; ; ; ; 
Hartlepool; 15/8; 21/10; 37/20; ; ; ; 2; ; ; ; 9/5; ; ; ; ; 2; ; ; ; ; 107/50; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; ; ; 12/5; ; ; ; 9/4; ; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-hartlepool; 2017-01-22 20:22:42 GMT+2; 2017-01-28 15:00; e70300-dr003
Newport County; 11/8; 6/5; 27/20; ; ; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; 23/17; ; ; 23/17; 11/8; ; ; ; ; 20/21; ; 
Hartlepool; 15/8; 21/10; 37/20; ; ; ; 2; ; 2; ; 9/5; ; ; ; ; 2; 24/13; ; ; 24/13; 107/50; ; ; ; ; 27/20; ; 
Draw; 12/5; 23/10; 9/4; ; ; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; 12/5; 40/17; ; ; 40/17; 5/2; ; ; ; ; 17/10; ; 
META; english/league-2/newport-county-v-hartlepool; 2017-01-23 00:21:42 GMT+2; 2017-01-28 15:00; e70300-dr003
Newport County; 11/8; 6/5; 27/20; ; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; 11/8; ; 11/8; 23/17; ; ; 23/17; 11/8; ; ; ; ; 5/4; ; 
Hartlepool; 15/8; 21/10; 37/20; ; 2; ; 2; ; 2; ; 9/5; ; ; 19/10; ; 2; 24/13; ; ; 24/13; 107/50; ; ; ; ; 7/4; ; 
