META; english/league-2/newport-county-v-morecambe; 2016-12-04 04:22:37 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Morecambe; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-04 08:22:35 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Morecambe; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-04 12:23:58 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; ; 10/11; ; ; 10/11; ; 37/40; ; ; ; 10/11; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 13/5; ; ; 13/5; ; 13/5; ; ; ; 12/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Morecambe; ; 13/5; ; ; 11/4; ; 3; ; ; ; 3; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-04 16:24:14 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 9/10; ; 10/11; ; 9/10; ; 10/11; ; 10/11; ; ; 10/11; ; 19/20; 13/15; ; ; ; 13/15; 19/20; ; ; ; ; 5/6; ; 
Draw; 12/5; 13/5; 12/5; ; 13/5; ; 13/5; ; 5/2; ; 12/5; ; ; 13/5; ; 13/5; 40/17; ; ; ; 40/17; 13/5; ; ; ; ; 23/10; ; 
Morecambe; 3; 13/5; 29/10; ; 11/4; ; 31/10; ; 3; ; 3; ; ; 3; ; 3; 29/10; ; ; ; 29/10; 13/4; ; ; ; ; 11/4; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-04 20:24:40 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 10/11; ; 10/11; ; 19/20; ; 10/11; ; 10/11; ; 10/11; 10/11; 10/11; 19/20; 10/11; ; ; ; 10/11; 19/20; ; ; ; ; 5/6; ; 
Draw; 12/5; 13/5; 12/5; ; 13/5; ; 13/5; ; 13/5; ; 12/5; ; 5/2; 13/5; 5/2; 13/5; 12/5; ; ; ; 12/5; 13/5; ; ; ; ; 23/10; ; 
Morecambe; 3; 13/5; 11/4; ; 11/4; ; 29/10; ; 3; ; 3; ; 29/10; 3; 3; 3; 56/19; ; ; ; 56/19; 13/4; ; ; ; ; 11/4; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-05 00:21:56 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 19/20; ; 10/11; ; 1; ; 10/11; 20/21; 10/11; ; 10/11; 19/20; 10/11; 19/20; 19/20; ; ; ; 19/20; 19/20; ; ; 19/20; ; 20/21; ; 
Draw; 12/5; 13/5; 47/20; ; 13/5; ; 13/5; ; 13/5; 5/2; 12/5; ; 5/2; 12/5; 5/2; 13/5; 40/17; ; ; ; 40/17; 13/5; ; ; 12/5; ; 23/10; ; 
Morecambe; 3; 13/5; 27/10; ; 11/4; ; 27/10; ; 14/5; 11/4; 3; ; 57/20; 3; 3; 3; 11/4; ; ; ; 11/4; 13/4; ; ; 14/5; ; 11/4; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-05 04:21:52 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 19/20; 1; 10/11; ; 1; ; 10/11; 20/21; 10/11; ; 10/11; 19/20; 10/11; 19/20; 19/20; 19/20; ; 20/21; 19/20; 19/20; ; 19/20; 19/20; ; 20/21; ; 
Draw; 12/5; 13/5; 47/20; 5/2; 13/5; ; 13/5; ; 13/5; 5/2; 12/5; ; 5/2; 12/5; 5/2; 13/5; 12/5; 5/2; ; 5/2; 12/5; 13/5; ; 5/2; 12/5; ; 23/10; ; 
Morecambe; 3; 13/5; 27/10; 13/5; 11/4; ; 27/10; ; 14/5; 11/4; 3; ; 57/20; 3; 3; 3; 11/4; 11/4; ; 11/4; 27/10; 13/4; ; 11/4; 14/5; ; 11/4; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-05 08:22:10 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 10/11; 10/11; 10/11; ; 20/21; ; 10/11; 10/11; 10/11; ; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; ; 20/21; 19/20; 19/20; ; 19/20; 19/20; ; 10/11; ; 
Draw; 12/5; 13/5; 12/5; 5/2; 13/5; ; 13/5; ; 13/5; 13/5; 12/5; ; 51/20; 12/5; 5/2; 13/5; 12/5; 5/2; ; 5/2; 12/5; 13/5; ; 5/2; 12/5; ; 12/5; ; 
Morecambe; 3; 13/5; 11/4; 14/5; 11/4; ; 14/5; ; 14/5; 14/5; 3; ; 57/20; 3; 14/5; 3; 11/4; 11/4; ; 11/4; 11/4; 13/4; ; 11/4; 14/5; ; 11/4; ; 
META; english/league-2/newport-county-v-morecambe; 2016-12-05 12:23:03 GMT+2; 2016-12-10 15:00; e70300-dr003
Newport County; 10/11; 10/11; 10/11; 20/21; 10/11; 17/20; 19/20; 4/5; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; ; 20/21; 19/20; 19/20; 10/11; 19/20; 19/20; ; 10/11; 20/21; 
Draw; 12/5; 13/5; 12/5; 12/5; 13/5; 23/10; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; 51/20; 12/5; 5/2; 13/5; 12/5; 5/2; ; 5/2; 12/5; 13/5; 12/5; 5/2; 12/5; ; 12/5; 5/2; 
