META; english/league-2/plymouth-v-exeter; 2017-02-05 04:23:14 GMT+2; 2017-02-11 15:00; e70300-dr003
Plymouth; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-exeter; 2017-02-05 08:22:04 GMT+2; 2017-02-11 15:00; e70300-dr003
Plymouth; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-exeter; 2017-02-05 12:24:08 GMT+2; 2017-02-11 15:00; e70300-dr003
Plymouth; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Exeter; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-exeter; 2017-02-05 16:24:40 GMT+2; 2017-02-11 15:00; e70300-dr003
Plymouth; 11/8; 13/10; 11/8; ; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; 29/20; ; ; ; ; ; ; 
Exeter; 15/8; 19/10; 15/8; ; 2; ; 2; ; 15/8; ; 15/8; ; ; ; ; 2; ; ; ; ; 101/50; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 11/5; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; 
