META; english/league-2/plymouth-v-stevenage; 2017-01-08 00:23:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-08 04:21:52 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-08 08:22:00 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-08 12:22:44 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stevenage; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-08 16:22:51 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 10/11; 10/11; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; 19/20; ; ; ; ; ; ; 
Draw; 13/5; 13/5; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; 27/10; ; ; ; ; ; ; 
Stevenage; 14/5; 13/5; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 63/20; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-08 20:23:01 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 17/20; 10/11; 17/20; ; ; ; 10/11; ; 9/10; 17/20; 17/20; ; 17/20; ; ; 10/11; 13/15; ; ; ; 13/15; 19/20; ; ; ; ; ; ; 
Draw; 13/5; 13/5; 49/20; ; ; ; 13/5; ; 13/5; 13/5; 12/5; ; 13/5; ; ; 13/5; 28/11; ; ; ; 28/11; 27/10; ; ; ; ; ; ; 
Stevenage; 3; 13/5; 29/10; ; ; ; 3; ; 3; 14/5; 29/10; ; 3; ; ; 3; 29/10; ; ; ; 29/10; 63/20; ; ; ; ; ; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-09 00:21:50 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 10/11; 1; ; 11/10; ; 21/20; ; 1; 1; 1; ; 1; ; ; 1; 1; ; ; ; 1; 19/20; ; ; ; ; 10/11; ; 
Draw; 5/2; 13/5; 47/20; ; 5/2; ; 13/5; ; 13/5; 5/2; 23/10; ; 51/20; ; ; 13/5; 23/10; ; ; ; 23/10; 27/10; ; ; ; ; 23/10; ; 
Stevenage; 13/5; 13/5; 5/2; ; 13/5; ; 5/2; ; 11/4; 13/5; 5/2; ; 51/20; ; ; 13/5; 13/5; ; ; ; 13/5; 63/20; ; ; ; ; 27/10; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-09 04:21:33 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 10/11; 1; 21/20; 11/10; ; 21/20; ; 1; 1; 1; ; 1; ; ; 1; 1; 42/41; ; 1; 1; 19/20; ; 42/41; ; ; 10/11; ; 
Draw; 5/2; 13/5; 47/20; 23/10; 5/2; ; 13/5; ; 13/5; 5/2; 23/10; ; 51/20; ; ; 13/5; 12/5; 28/11; ; 5/2; 12/5; 27/10; ; 28/11; ; ; 23/10; ; 
Stevenage; 13/5; 13/5; 5/2; 13/5; 13/5; ; 5/2; ; 11/4; 13/5; 5/2; ; 51/20; ; ; 13/5; 5/2; 27/11; ; 12/5; 5/2; 63/20; ; 27/11; ; ; 27/10; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-09 08:21:42 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 10/11; 1; 21/20; 11/10; ; 21/20; ; 1; 1; 1; ; 1; ; ; 1; 1; 42/41; ; 1; 1; 19/20; ; 42/41; ; ; 10/11; ; 
Draw; 5/2; 13/5; 47/20; 23/10; 5/2; ; 13/5; ; 13/5; 5/2; 23/10; ; 51/20; ; ; 13/5; 12/5; 28/11; ; 5/2; 12/5; 27/10; ; 28/11; ; ; 23/10; ; 
Stevenage; 13/5; 13/5; 5/2; 13/5; 13/5; ; 5/2; ; 11/4; 13/5; 5/2; ; 51/20; ; ; 13/5; 5/2; 27/11; ; 12/5; 5/2; 63/20; ; 27/11; ; ; 27/10; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-09 12:22:03 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 21/20; 21/20; 19/20; 21/20; 10/11; 1; 1; 1; ; 1; ; 1; 21/20; 1; 42/41; 1; 1; 1; 19/20; 19/20; 42/41; ; ; 20/21; 20/21; 
Draw; 5/2; 5/2; 47/20; 23/10; 5/2; 23/10; 5/2; 23/10; 13/5; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 28/11; 12/5; 5/2; 12/5; 27/10; 5/2; 28/11; ; ; 23/10; 23/10; 
Stevenage; 13/5; 13/5; 5/2; 11/4; 11/4; 12/5; 13/5; 12/5; 11/4; 13/5; 12/5; ; 13/5; ; 13/5; 13/5; 5/2; 27/11; 13/5; 12/5; 5/2; 63/20; 5/2; 27/11; ; ; 13/5; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-09 16:22:41 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 21/20; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 1; ; 1; 1; 19/20; 42/41; 1; 1; 19/20; 1; 1; 42/41; 1; ; 20/21; 20/21; 
Draw; 5/2; 5/2; 47/20; 5/2; 5/2; 9/4; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; ; 5/2; 13/5; 12/5; 28/11; 12/5; 5/2; 12/5; 27/10; 5/2; 28/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 5/2; 53/20; ; 13/5; 13/5; 45/17; 27/11; 13/5; 12/5; 45/17; 73/25; 23/10; 27/11; 13/5; ; 11/4; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-09 20:22:25 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 21/20; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 1; 1; 1; 1; 19/20; 1; 1; 19/20; 1; 1; 42/41; 1; ; 20/21; 20/21; 
Draw; 5/2; 5/2; 47/20; 5/2; 5/2; 9/4; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 12/5; 5/2; 12/5; 27/10; 5/2; 28/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 12/5; 11/4; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 13/5; 45/17; 13/5; 12/5; 45/17; 73/25; 23/10; 27/11; 13/5; ; 27/10; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-10 00:22:07 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 21/20; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 1; 1; 1; 1; 19/20; 1; 1; 19/20; 1; 1; 42/41; 1; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 5/2; 5/2; 9/4; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 12/5; 5/2; 12/5; 27/10; 5/2; 28/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 12/5; 11/4; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 13/5; 45/17; 13/5; 12/5; 45/17; 73/25; 23/10; 27/11; 13/5; ; 11/4; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-10 04:22:05 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 21/20; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 1; 1; 1; 1; 19/20; 1; 1; 19/20; 1; 1; 42/41; 1; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 5/2; 5/2; 9/4; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 12/5; 5/2; 12/5; 27/10; 5/2; 28/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 12/5; 11/4; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 13/5; 45/17; 13/5; 12/5; 45/17; 73/25; 23/10; 27/11; 13/5; ; 11/4; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-10 08:22:18 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 21/20; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 1; 1; 1; 1; 19/20; 1; 1; 19/20; 1; 1; 42/41; 1; ; 1; ; 
Draw; 5/2; 5/2; 47/20; 5/2; 5/2; 9/4; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 12/5; 5/2; 12/5; 27/10; 5/2; 28/11; 12/5; ; 12/5; ; 
Stevenage; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 12/5; 11/4; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 13/5; 45/17; 13/5; 12/5; 45/17; 73/25; 23/10; 27/11; 13/5; ; 11/4; ; 
META; english/league-2/plymouth-v-stevenage; 2017-01-10 12:22:32 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 1; 21/20; 20/21; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 1; 1; 1; 1; 19/20; 1; 20/21; 19/20; 1; 1; 39/40; 1; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 5/2; 5/2; 9/4; 5/2; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 27/10; 5/2; 27/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 12/5; 11/4; 13/5; 5/2; 5/2; 53/20; 13/5; 13/5; 11/4; 45/17; 13/5; 13/5; 45/17; 73/25; 23/10; 45/17; 13/5; ; 11/4; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-10 16:22:54 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 1; 19/20; 20/21; 1; 10/11; 1; 10/11; 21/20; 20/21; 19/20; 5/6; 19/20; 1; 1; 1; 19/20; 1; 20/21; 19/20; 103/100; 19/20; 39/40; 1; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 13/5; 13/5; 23/10; 13/5; 23/10; 5/2; 5/2; 23/10; 12/5; 51/20; 13/5; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 133/50; 5/2; 27/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 13/5; 27/10; 13/5; 11/4; 13/5; 27/10; 12/5; 11/4; 13/5; 13/5; 5/2; 27/10; 27/10; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 57/20; 12/5; 45/17; 13/5; ; 13/5; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-10 20:22:48 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 19/20; 19/20; 20/21; 1; 10/11; 1; 10/11; 21/20; 20/21; 19/20; 5/6; 19/20; 1; 1; 1; 19/20; 1; 20/21; 19/20; 103/100; 19/20; 39/40; 1; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 13/5; 13/5; 23/10; 13/5; 23/10; 5/2; 5/2; 23/10; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 12/5; 12/5; 27/11; 133/50; 5/2; 27/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 14/5; 27/10; 13/5; 11/4; 13/5; 27/10; 12/5; 11/4; 13/5; 13/5; 5/2; 27/10; 27/10; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 57/20; 12/5; 45/17; 13/5; ; 11/4; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-11 00:22:06 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 19/20; 19/20; 20/21; 1; 10/11; 1; 10/11; 21/20; 20/21; 19/20; 5/6; 19/20; 1; 1; 19/20; 19/20; 1; 20/21; 19/20; 103/100; 19/20; 39/40; 1; ; 1; 5/6; 
Draw; 5/2; 5/2; 47/20; 13/5; 13/5; 23/10; 13/5; 12/5; 5/2; 5/2; 23/10; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; 12/5; 12/5; 27/11; 133/50; 5/2; 27/11; 12/5; ; 12/5; 23/10; 
Stevenage; 13/5; 14/5; 27/10; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 13/5; 13/5; 5/2; 27/10; 27/10; 13/5; 14/5; 13/5; 13/5; 13/5; 13/5; 57/20; 12/5; 45/17; 13/5; ; 14/5; 27/10; 
META; english/league-2/plymouth-v-stevenage; 2017-01-11 04:22:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Plymouth; 1; 19/20; 1; 20/21; 21/20; 10/11; 21/20; 10/11; 21/20; 1; 1; 5/6; 19/20; 1; 1; 1; 19/20; 1; 20/21; 19/20; 103/100; 19/20; 39/40; 1; ; 1; 20/21; 
Draw; 5/2; 5/2; 47/20; 13/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 133/50; 5/2; 27/11; 12/5; ; 12/5; 23/10; 
