META; english/league-2/portsmouth-v-doncaster; 2016-09-25 00:23:36 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Doncaster; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-25 04:22:47 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Doncaster; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-25 08:23:11 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Doncaster; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-25 12:24:51 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Doncaster; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-25 16:24:51 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 23/20; ; 11/10; ; ; 21/20; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; ; 5/2; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-25 20:25:51 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; ; ; 21/20; ; 21/20; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; ; 5/2; ; ; 23/10; ; 5/2; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-26 00:22:54 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; ; ; 21/20; ; 21/20; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; ; 5/2; ; ; 23/10; ; 5/2; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-26 04:22:36 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; ; ; 21/20; ; 21/20; ; ; 11/10; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; 11/5; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; ; 5/2; ; ; 23/10; ; 5/2; ; ; 5/2; ; ; ; ; ; ; ; ; ; 13/10; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-26 08:23:02 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 23/20; ; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; ; 11/10; ; 11/10; ; ; ; ; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; 12/5; ; 23/10; ; 47/20; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; 11/5; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; ; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; 13/10; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-26 12:23:39 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 21/20; 11/10; ; 11/10; 21/20; ; ; ; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; 12/5; ; 23/10; ; 12/5; ; ; 12/5; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; ; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 13/8; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-26 16:23:40 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 21/20; 11/10; ; 11/10; 21/20; ; ; ; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 11/5; 12/5; 12/5; ; 23/10; ; 12/5; ; ; 12/5; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/8; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-26 20:24:29 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 15/13; 21/20; 11/10; ; 11/10; 21/20; ; ; ; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 11/5; 12/5; 12/5; ; 23/10; ; 12/5; ; ; 12/5; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 7/4; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-27 00:23:37 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 21/20; 11/10; ; 11/10; 21/20; ; ; ; ; 4/6; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/8; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 11/5; 12/5; 12/5; ; 23/10; ; 12/5; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-27 04:23:22 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 21/20; 11/10; ; 11/10; 21/20; ; ; ; ; 4/6; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 17/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 11/5; 12/5; 12/5; ; 23/10; ; 47/20; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-27 08:23:39 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 21/20; 11/10; ; 11/10; 21/20; ; ; ; ; 4/6; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 11/5; 12/5; 12/5; ; 23/10; ; 12/5; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-27 12:24:27 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; ; ; ; ; 4/6; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; ; ; 13/8; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 11/5; 12/5; 12/5; ; 23/10; ; 12/5; ; ; 5/2; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; ; ; 11/5; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-27 16:27:22 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; ; ; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; ; ; 11/10; ; 4/6; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; ; ; 5/2; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; 12/5; ; 7/5; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 11/5; 12/5; 12/5; ; 23/10; ; 12/5; ; ; 5/2; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; 12/5; ; 11/5; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-27 20:24:05 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 11/10; 11/10; 11/10; ; 21/20; ; ; ; ; 15/13; 21/20; 11/10; 21/20; 11/10; 21/20; ; ; 11/10; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 12/5; 12/5; 12/5; ; 23/10; ; ; ; ; 12/5; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; 12/5; ; 11/5; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 12/5; 5/2; 12/5; ; 23/10; ; ; ; ; 5/2; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; 12/5; ; 15/8; ; 
META; english/league-2/portsmouth-v-doncaster; 2016-09-28 00:23:12 GMT+3; 2016-10-01 15:00; e70300-dr003
Portsmouth; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 11/10; ; 21/20; ; 11/10; 21/20; ; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; ; ; 11/10; ; 20/21; ; 
Doncaster; 12/5; 23/10; ; ; 12/5; ; 5/2; 23/10; 5/2; 12/5; ; 23/10; ; 49/20; 12/5; ; 5/2; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; 12/5; ; 21/10; ; 
