META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-23 16:23:17 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-23 20:23:52 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 6; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-24 00:22:58 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 6; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-24 04:23:01 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 6; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-24 08:23:29 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 6; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-24 12:23:53 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 1/2; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; 14/5; 31/10; ; 31/10; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 6; ; ; 11/2; 11/2; ; 6; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-24 16:23:57 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 1/2; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; 14/5; 31/10; ; 31/10; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 6; ; ; 11/2; 11/2; ; 6; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-24 20:24:46 GMT+3; 2016-10-29 15:00; e70300-dr003
Aldershot; 1/2; ; ; 4/9; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 12/25; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 3; ; ; 14/5; 3; ; 3; ; 3; ; 3; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Guiseley; 6; ; ; 11/2; 6; ; 6; ; 6; ; 11/2; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/aldershot-v-guiseley; 2016-10-25 00:23:23 GMT+3; 2016-10-29 15:00; e70300-dr003
