META; english/non-league/national-league/chester-v-barrow; 2017-03-25 20:22:54 GMT+2; 2017-03-28 19:45; e70300-dr003
Barrow; 6/4; ; ; ; 6/4; ; 6/4; ; ; ; ; ; 29/20; ; ; 16/11; 16/11; ; ; 16/11; ; ; ; ; ; ; ; ; 
Chester; 17/10; ; ; ; 7/4; ; 7/4; ; ; ; ; ; 17/10; ; ; 7/4; 28/17; ; ; 28/17; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 23/10; ; 12/5; ; ; ; ; ; 12/5; ; ; 12/5; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-barrow; 2017-03-26 04:22:17 GMT+2; ; e70300-dr003
Serbia; 6/4; 11/8; ; 11/8; ; ; 6/4; 6/4; ; ; ; 15/8; 6/4; 6/4; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; 11/8; ; 
Rep of Ireland; 2; 2; ; 2; ; ; 9/4; 17/10; ; ; ; 13/8; 2; 15/8; ; ; ; ; ; ; 85/40; ; ; ; 2; ; 19/10; ; 
Wales; 10/3; 10/3; ; 10/3; ; ; 3; 10/3; ; ; ; 5/2; 16/5; 10/3; ; ; ; ; ; ; 16/5; ; ; ; 13/4; ; 3; ; 
Austria; 6; 6; ; 6; ; ; 6; 13/2; ; ; ; 8; 6; 13/2; ; ; ; ; ; ; 13/2; ; ; ; 13/2; ; 28/5; ; 
Georgia; 4500; ; ; ; ; ; ; 500; ; ; ; 500; ; 500; ; ; ; ; ; ; 750; ; ; ; 2000; ; 47; ; 
Moldova; 4500; ; ; ; ; ; ; 500; ; ; ; 1500; ; 1000; ; ; ; ; ; ; 2000; ; ; ; 2000; ; 47; ; 
META; english/non-league/national-league/chester-v-barrow; 2017-03-27 04:19:00 GMT+2; 2017-03-25 19:00; e70300-dr003
Atletico GO; 4/7; 4/7; 6/10; 4/7; 4/7; 4/7; ; 8/15; 4/7; ; ; ; 4/7; ; ; 4/7; 4/7; 4/7; 4/7; 4/7; ; ; 4/7; ; ; ; 1/2; ; 
Draw; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; ; 13/5; 11/4; ; ; ; 53/20; ; ; 11/4; 13/5; 27/10; 13/5; 13/5; ; ; 13/5; ; ; ; 12/5; ; 
Rio Verde GO; 4; 4; 17/4; 4; 4; 15/4; ; 9/2; 17/4; ; ; ; 17/4; ; ; 9/2; 4; 17/4; 4; 4; ; ; 4; ; ; ; 7/2; ; 
META; english/non-league/national-league/chester-v-barrow; 2017-03-27 12:08:22 GMT+3; 2017-03-28 19:45; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 5/4; 6/5; 11/10; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 6/5; 5/4; 6/5; 6/5; 15/13; 15/13; 6/5; 15/13; 13/10; 6/5; 6/5; ; 6/5; ; ; ; 
Chester; 23/10; 2; 21/10; 21/10; 11/5; 2; 85/40; 11/5; 11/5; 11/5; 11/5; 2; 21/10; 11/5; 11/5; 11/5; 11/5; 2; 21/10; 11/5; 57/25; 2; 28/13; ; 28/13; ; ; ; 
Draw; 9/4; 12/5; 23/10; 12/5; 12/5; 43/20; 5/2; 9/4; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 23/10; 12/5; 23/10; 11/5; 11/5; 23/10; 5/2; 5/2; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/chester-v-barrow; 2017-03-28 00:20:14 GMT+3; 2017-03-28 19:45; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 5/4; 6/5; 11/10; 23/20; 11/10; 6/5; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5; 15/13; 15/13; 15/13; 6/5; 15/13; 13/10; 5/4; 6/5; ; 6/5; ; ; 21/20; 
Chester; 23/10; 2; 43/20; 21/10; 9/4; 41/20; 9/4; 11/5; 11/5; 11/5; 11/5; 21/10; 21/10; 23/10; 11/5; 11/5; 9/4; 2; 21/10; 9/4; 57/25; 2; 28/13; ; 28/13; ; ; 21/10; 
Draw; 9/4; 12/5; 23/10; 12/5; 12/5; 43/20; 12/5; 9/4; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 23/10; 11/5; 11/5; 23/10; 5/2; 12/5; 11/5; ; 11/5; ; ; 21/10; 
META; english/non-league/national-league/chester-v-barrow; 2017-03-28 12:38:30 GMT+3; 2017-03-28 19:45; e70300-dr003
Barrow; 6/5; 23/20; 23/20; 5/4; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 6/5; 11/10; 23/20; 23/20; 6/5; 15/13; 15/13; 15/13; 23/20; 15/13; 123/100; 5/4; 7/6; ; 7/6; ; ; 10/9; 
Chester; 23/10; 21/10; 11/5; 21/10; 9/4; 41/20; 23/10; 11/5; 23/10; 9/4; 9/4; 21/10; 11/5; 12/5; 11/5; 11/5; 11/5; 2; 21/10; 11/5; 47/20; 2; 28/13; ; 28/13; ; ; 23/10; 
Draw; 9/4; 12/5; 23/10; 12/5; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 47/20; 11/5; 23/10; 12/5; 40/17; 11/5; 9/4; 40/17; 51/20; 12/5; 9/4; ; 9/4; ; ; 23/10; 
META; english/non-league/national-league/chester-v-barrow; 2017-03-28 16:24:57 GMT+3; 2017-03-28 19:45; e70300-dr003
Barrow; 6/5; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 6/5; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 15/13; 15/13; 15/13; 23/20; 15/13; 31/25; 22/19; 7/6; ; 7/6; ; ; 10/9; 
Chester; 23/10; 11/5; 9/4; 23/10; 23/10; 41/20; 5/2; 11/5; 23/10; 23/10; 23/10; 21/10; 11/5; 23/10; 23/10; 23/10; 9/4; 2; 21/10; 9/4; 58/25; 40/17; 28/13; ; 28/13; ; ; 9/4; 
Draw; 9/4; 12/5; 23/10; 12/5; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 12/5; 9/4; 47/20; 9/4; 12/5; 23/10; 40/17; 11/5; 9/4; 40/17; 13/5; 9/4; 9/4; ; 9/4; ; ; 12/5; 
