META; english/non-league/national-league/chester-v-bromley; 2016-11-13 00:24:20 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-13 04:23:35 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-13 08:23:49 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-13 12:25:10 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 11/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-13 16:25:57 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 11/10; ; ; 1; ; 1; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 11/4; 21/10; ; ; 13/5; ; 13/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-13 20:25:05 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 11/10; 19/20; 20/21; 1; ; 1; ; ; ; 19/20; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 47/20; 23/10; 5/2; ; 5/2; ; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 11/4; 21/10; 13/5; 12/5; 13/5; ; 13/5; ; ; ; 13/5; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-14 00:23:14 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 11/10; 19/20; 20/21; 1; ; 1; ; ; ; 19/20; ; 19/20; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 47/20; 23/10; 5/2; ; 5/2; ; ; ; 12/5; ; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; 11/4; 21/10; 13/5; 12/5; 13/5; ; 13/5; ; ; ; 13/5; ; 11/4; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-14 04:23:03 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 11/10; 19/20; 20/21; 1; ; 1; ; ; ; 19/20; ; 19/20; ; ; 21/20; ; 1; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 23/10; 5/2; ; 5/2; ; ; ; 12/5; ; 12/5; ; ; 12/5; ; 23/10; ; ; ; ; ; ; ; ; ; ; 
Bromley; 11/4; 21/10; 13/5; 12/5; 13/5; ; 13/5; ; ; ; 13/5; ; 11/4; ; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-14 08:23:03 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 11/10; 19/20; 20/21; 1; ; 1; ; ; ; 19/20; ; 19/20; ; ; 21/20; 1; 1; ; 1; 1; ; ; 1; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 23/10; 5/2; ; 5/2; ; ; ; 12/5; ; 12/5; ; ; 12/5; 9/4; 23/10; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; 
Bromley; 11/4; 21/10; 13/5; 12/5; 13/5; ; 13/5; ; ; ; 13/5; ; 11/4; ; ; 5/2; 27/11; 5/2; ; 5/2; 27/11; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-14 12:23:25 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 11/10; 19/20; 20/21; 1; ; 1; ; 1; ; 19/20; ; 19/20; ; ; 21/20; 1; 1; 11/10; ; ; ; ; 1; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 23/10; 5/2; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 9/4; 23/10; 11/5; ; ; ; ; 23/10; ; ; ; ; 
Bromley; 11/4; 21/10; 13/5; 12/5; 13/5; ; 13/5; ; 11/4; ; 13/5; ; 11/4; ; ; 5/2; 5/2; 5/2; 21/10; ; ; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-14 20:23:56 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 19/20; 1; 20/21; 1; 10/11; 1; ; 1; 1; 1; 1; 1; ; 1; 1; 1; 1; 19/20; 1; 1; 21/20; 1; 1; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; 21/10; 5/2; 9/4; 5/2; ; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; ; ; ; ; 
Bromley; 11/4; 5/2; 49/20; 23/10; 13/5; 5/2; 13/5; ; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 56/19; 9/4; 5/2; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-15 00:23:44 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 19/20; 1; 20/21; 1; 10/11; 1; ; 1; 1; 1; 1; 1; ; 1; 1; 19/20; 1; 19/20; 1; 19/20; 21/20; 1; 1; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; 21/10; 5/2; 9/4; 13/5; ; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 23/10; ; ; ; ; 
Bromley; 11/4; 5/2; 49/20; 23/10; 13/5; 5/2; 5/2; ; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 56/19; 9/4; 5/2; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-15 04:23:38 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 19/20; 1; 20/21; 1; 10/11; 1; ; 1; 1; 1; 1; 1; ; 1; 1; 19/20; 1; 19/20; 1; 19/20; 21/20; 1; 1; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; 21/10; 5/2; 9/4; 13/5; ; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 23/10; ; ; ; ; 
Bromley; 11/4; 5/2; 49/20; 23/10; 13/5; 5/2; 5/2; ; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 56/19; 9/4; 5/2; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-15 08:23:39 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 19/20; 1; 20/21; 1; 10/11; 1; ; 1; 1; 1; 1; 1; ; 1; 1; 19/20; 1; 19/20; 1; 19/20; 21/20; 1; 1; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; 21/10; 5/2; 9/4; 13/5; ; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 12/5; 23/10; ; ; ; ; 
Bromley; 11/4; 5/2; 49/20; 23/10; 13/5; 5/2; 5/2; ; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 56/19; 9/4; 5/2; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-15 12:24:26 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 1; 1; 20/21; 1; 10/11; 1; ; 1; 1; 1; 1; 1; ; 1; 1; 19/20; 1; 19/20; 1; 19/20; 21/20; 1; 1; ; ; ; ; 
Draw; 12/5; 5/2; 12/5; 21/10; 5/2; 9/4; 13/5; ; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 5/2; 27/11; 23/10; 23/10; 23/10; 27/11; 5/2; 12/5; 23/10; ; ; ; ; 
Bromley; 11/4; 12/5; 49/20; 23/10; 13/5; 5/2; 5/2; ; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 56/19; 9/4; 5/2; ; ; ; ; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-15 16:25:09 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 1; 1; 20/21; 1; 10/11; 1; 10/11; 1; 1; 1; 1; 1; ; 1; 1; 1; 1; 19/20; 1; 1; 21/20; 30/29; 1; ; ; ; 1; 
Draw; 12/5; 5/2; 12/5; 21/10; 5/2; 9/4; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 27/11; 23/10; ; ; ; 23/10; 
Bromley; 11/4; 12/5; 49/20; 23/10; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 56/19; 40/17; 5/2; ; ; ; 23/10; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-15 20:24:25 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 1; 1; 20/21; 1; 10/11; 1; 10/11; 1; 1; 1; 1; 1; ; 1; 1; 1; 1; 19/20; 1; 1; 21/20; 30/29; 1; ; ; ; 1; 
Draw; 12/5; 5/2; 12/5; 21/10; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 27/11; 23/10; ; ; ; 23/10; 
Bromley; 11/4; 12/5; 49/20; 23/10; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 56/19; 40/17; 5/2; ; ; ; 23/10; 
META; english/non-league/national-league/chester-v-bromley; 2016-11-16 00:23:20 GMT+2; 2016-11-19 15:00; e70300-dr003
Chester; 1; 1; 1; 20/21; 1; 10/11; 21/20; 10/11; 1; 1; 1; 1; 1; ; 1; 1; 1; 1; 19/20; 1; 1; 21/20; 30/29; 1; ; ; ; 1; 
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 9/4; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 49/20; ; 5/2; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 27/11; 23/10; ; ; ; 23/10; 
Bromley; 11/4; 12/5; 12/5; 9/4; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 23/10; 51/20; ; 5/2; 5/2; 27/11; 5/2; 12/5; 5/2; 27/11; 56/19; 40/17; 5/2; ; ; ; 23/10; 
