META; english/non-league/national-league/chester-v-lincoln; 2016-10-23 16:23:24 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; ; 7/5; ; 7/5; ; ; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 19/10; ; ; ; 19/10; ; 19/10; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 23/10; ; 23/10; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-23 20:24:02 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 19/10; ; ; ; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-24 00:23:07 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 19/10; ; ; ; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-24 04:23:09 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 19/10; ; ; ; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-24 08:23:36 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 19/10; ; ; ; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/chester-v-lincoln; 2016-10-24 12:24:01 GMT+3; 2016-10-29 15:00; e70300-dr003
Lincoln; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 9/5; ; 15/8; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 
