META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-26 20:25:32 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-27 00:23:12 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 4/9; 2/5; ; 2/5; ; 2/5; ; ; ; 2/5; 1/2; 2/5; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Draw; 7/2; 10/3; 10/3; ; 7/2; ; 7/2; ; ; ; 10/3; 3; 10/3; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
North Ferriby Utd; 7; 11/2; 13/2; ; 13/2; ; 7; ; ; ; 9/2; 9/2; 13/2; ; ; 6; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-27 04:22:02 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 4/9; 2/5; 2/5; 2/5; ; 2/5; 2/5; ; ; 2/5; 1/2; 2/5; ; ; 2/5; 3/8; 2/5; ; 2/5; 3/8; ; ; 2/5; ; ; 4/11; ; 
Draw; 7/2; 10/3; 10/3; 16/5; 18/5; ; 7/2; 10/3; ; ; 10/3; 3; 10/3; ; ; 7/2; 38/11; 33/10; ; 3; 38/11; ; ; 33/10; ; ; 13/5; ; 
North Ferriby Utd; 7; 11/2; 13/2; 11/2; 7; ; 7; 6; ; ; 9/2; 9/2; 13/2; ; ; 6; 27/4; 13/2; ; 13/2; 27/4; ; ; 13/2; ; ; 2/11; ; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-27 08:22:10 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 4/9; 2/5; 2/5; 2/5; ; 2/5; 2/5; 2/5; ; 2/5; 1/2; 2/5; ; ; 2/5; 3/8; 2/5; ; 2/5; 3/8; ; ; 2/5; ; ; 4/11; ; 
Draw; 7/2; 10/3; 10/3; 16/5; 7/2; ; 7/2; 10/3; 10/3; ; 10/3; 3; 10/3; ; ; 7/2; 38/11; 33/10; ; 3; 38/11; ; ; 33/10; ; ; 27/10; ; 
North Ferriby Utd; 7; 11/2; 13/2; 11/2; 13/2; ; 7; 6; 13/2; ; 9/2; 9/2; 13/2; ; ; 6; 27/4; 13/2; ; 13/2; 27/4; ; ; 13/2; ; ; 2/11; ; 
META; english/non-league/national-league/chester-v-north-ferriby-utd; 2016-11-27 12:23:06 GMT+2; 2016-11-29 19:45; e70300-dr003
Chester; 2/5; 4/9; 2/5; 2/5; 2/5; ; 2/5; 2/5; 2/5; ; 2/5; 1/2; 4/11; ; ; 2/5; 3/8; 2/5; 2/5; 2/5; 3/8; 11/25; ; 2/5; ; ; 4/11; ; 
