META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-13 20:24:04 GMT+3; 2016-08-16 19:45; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Dagenham & Redbridge; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Lincoln; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-14 00:22:01 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; ; 5/4; ; ; ; ; ; ; ; ; ; 7/5; 11/10; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Lincoln; ; 9/5; ; ; ; ; ; ; ; ; ; 7/4; 15/8; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-14 04:21:37 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; ; 5/4; ; ; ; ; ; ; ; ; ; 7/5; 11/10; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Lincoln; ; 9/5; ; ; ; ; ; ; ; ; ; 7/4; 15/8; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/dagenham-redbridge-v-lincoln; 2016-08-14 08:21:39 GMT+3; 2016-08-16 19:45; e70300-dr003
Dagenham & Redbridge; ; 5/4; ; ; ; ; ; ; ; ; ; 7/5; 11/10; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Lincoln; ; 9/5; ; ; ; ; ; ; ; ; ; 7/4; 15/8; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
