META; english/non-league/national-league/dover-v-aldershot; 2016-08-28 00:22:44 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; ; 4/5; ; ; 8/11; ; 4/5; ; ; ; ; ; 8/13; ; ; ; 8/11; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; ; 11/4; ; ; ; 11/4; ; ; ; ; ; ; ; ; 21/20; ; 
Aldershot; ; 3; ; ; 16/5; ; 10/3; ; ; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; 23/20; ; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-28 04:20:40 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; ; 4/5; ; ; 8/11; ; 3/4; ; ; ; ; 8/13; 8/13; ; ; ; 8/11; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; ; 11/4; ; 11/4; ; ; ; ; 13/5; 11/4; ; ; ; 11/4; ; ; ; ; ; ; ; ; 11/5; ; 
Aldershot; ; 3; ; ; 10/3; ; 7/2; ; ; ; ; 10/3; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-28 08:20:50 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; ; 4/5; ; ; 8/11; ; 3/4; ; ; ; ; 8/13; 8/13; ; ; ; 8/11; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 5/2; ; ; 14/5; ; 14/5; ; ; ; ; 13/5; 11/4; ; ; ; 11/4; ; ; ; ; ; ; ; ; 11/5; ; 
Aldershot; ; 3; ; ; 10/3; ; 7/2; ; ; ; ; 10/3; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; 6/4; ; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-28 12:21:08 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 7/10; 4/5; ; ; 8/11; ; 7/10; ; 4/6; ; ; 8/13; 8/13; ; ; 4/6; 8/11; ; ; ; 5/7; 3/4; ; ; ; 1/5; ; 
Draw; 11/4; 5/2; ; ; 14/5; ; 29/10; ; 14/5; ; ; 13/5; 11/4; ; ; 11/4; 14/5; ; ; ; 14/5; 37/13; ; ; ; 21/10; ; 
Aldershot; 16/5; 3; ; ; 10/3; ; 18/5; ; 10/3; ; ; 10/3; 16/5; ; ; 7/2; 10/3; ; ; ; 33/10; 21/5; ; ; ; 13/8; ; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-28 16:21:25 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 8/13; 8/13; ; 4/6; 4/6; 3/5; 13/20; 8/13; 4/6; 8/13; 7/10; 8/13; 4/6; 13/20; ; 13/20; 8/13; 8/13; 7/10; 4/7; 11/17; 8/11; 11/17; ; ; 8/13; ; 
Draw; 14/5; 11/4; ; 13/5; 11/4; 13/5; 29/10; 11/4; 14/5; 11/4; 14/5; 13/5; 13/5; 14/5; ; 11/4; 11/4; 11/4; 13/5; 11/4; 27/10; 29/10; 3; ; ; 14/5; ; 
Aldershot; 9/2; 4; ; 7/2; 19/5; 7/2; 4; 7/2; 19/5; 4; 15/4; 10/3; 15/4; 4; ; 4; 4; 4; 31/10; 4; 4; 43/10; 37/10; ; ; 7/2; ; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-28 20:21:30 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 8/13; 8/13; 13/20; 4/6; 4/6; 3/5; 13/20; 8/13; 4/6; 8/13; 7/10; 7/10; 4/6; 13/20; 13/20; 13/20; 8/13; 8/13; 7/10; 4/7; 11/17; 8/11; 11/17; ; ; 4/6; 8/13; 
Draw; 14/5; 14/5; 27/10; 13/5; 11/4; 13/5; 29/10; 11/4; 14/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 11/4; 11/4; 11/4; 13/5; 11/4; 27/10; 29/10; 3; ; ; 14/5; 13/5; 
Aldershot; 9/2; 4; 19/5; 7/2; 19/5; 7/2; 4; 7/2; 19/5; 4; 15/4; 4; 15/4; 4; 15/4; 4; 4; 4; 31/10; 4; 75/19; 43/10; 37/10; ; ; 7/2; 7/2; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-29 00:21:10 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 8/13; 4/6; 13/20; 8/13; 4/6; 8/13; 4/6; 8/13; 4/6; 8/13; 7/10; 7/10; 4/6; 13/20; 13/20; 4/6; 4/6; 8/13; 7/10; 4/7; 11/17; 3/4; 11/17; 4/6; ; 4/6; 8/13; 
Draw; 14/5; 11/4; 11/4; 14/5; 11/4; 13/5; 3; 11/4; 14/5; 11/4; 14/5; 14/5; 13/5; 57/20; 27/10; 3; 11/4; 11/4; 13/5; 11/4; 11/4; 3; 3; 11/4; ; 14/5; 11/4; 
Aldershot; 9/2; 18/5; 37/10; 10/3; 18/5; 10/3; 19/5; 7/2; 19/5; 4; 15/4; 4; 15/4; 15/4; 18/5; 18/5; 7/2; 4; 31/10; 4; 50/13; 75/19; 37/10; 7/2; ; 7/2; 7/2; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-29 04:20:30 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 4/6; 8/13; 4/6; 8/13; 7/10; 7/10; 4/6; 13/20; 13/20; 4/6; 4/6; 8/13; 7/10; 4/7; 4/6; 8/11; 11/17; 4/6; ; 4/6; 8/13; 
Draw; 5/2; 11/4; 11/4; 14/5; 11/4; 13/5; 3; 11/4; 14/5; 11/4; 14/5; 11/4; 13/5; 57/20; 27/10; 3; 11/4; 11/4; 13/5; 11/4; 14/5; 58/19; 56/19; 11/4; ; 14/5; 27/10; 
Aldershot; 9/2; 18/5; 37/10; 10/3; 18/5; 10/3; 19/5; 7/2; 19/5; 4; 15/4; 4; 15/4; 15/4; 18/5; 18/5; 7/2; 4; 31/10; 4; 19/5; 4; 37/10; 7/2; ; 7/2; 7/2; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-29 08:20:37 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 4/6; 11/17; 7/10; 7/10; 4/6; 4/6; 13/20; 4/6; 4/6; 11/17; 7/10; 8/13; 4/6; 8/11; 19/29; 4/6; ; 4/6; 8/13; 
Draw; 5/2; 14/5; 27/10; 5/2; 11/4; 13/5; 3; 11/4; 14/5; 27/10; 14/5; 14/5; 13/5; 14/5; 27/10; 3; 11/4; 27/10; 13/5; 27/10; 11/4; 58/19; 29/10; 14/5; ; 14/5; 27/10; 
Aldershot; 9/2; 18/5; 37/10; 7/2; 18/5; 10/3; 19/5; 7/2; 7/2; 15/4; 15/4; 4; 15/4; 15/4; 15/4; 18/5; 7/2; 15/4; 31/10; 7/2; 19/5; 4; 37/10; 7/2; ; 4; 7/2; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-29 12:20:54 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; 4/6; 11/17; 7/10; 7/10; 8/11; 4/6; 4/6; 4/6; 4/6; 11/17; 7/10; 8/13; 4/6; 5/7; 13/19; 4/6; ; 4/6; 8/13; 
Draw; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 3; 11/4; 14/5; 27/10; 14/5; 14/5; 14/5; 14/5; 11/4; 3; 11/4; 27/10; 13/5; 27/10; 14/5; 31/10; 14/5; 14/5; ; 14/5; 13/5; 
Aldershot; 17/4; 18/5; 18/5; 7/2; 18/5; 10/3; 19/5; 7/2; 7/2; 15/4; 15/4; 15/4; 18/5; 15/4; 19/5; 18/5; 7/2; 15/4; 31/10; 7/2; 15/4; 41/10; 37/10; 10/3; ; 4; 7/2; 
META; english/non-league/national-league/dover-v-aldershot; 2016-08-29 16:20:56 GMT+3; 2016-08-29 15:00; e70300-dr003
Dover; 8/13; 4/6; 13/20; 8/13; 4/6; 8/13; 13/20; 8/13; 8/13; 3/5; 13/20; 7/10; 7/10; 8/13; 8/13; 4/6; 4/6; 3/5; 4/6; 8/13; 8/13; 19/29; 19/29; 8/13; ; 4/6; 8/13; 
Draw; 11/4; 14/5; 11/4; 13/5; 14/5; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 3; 14/5; 14/5; 27/10; 27/10; 29/10; 16/5; 56/19; 14/5; ; 3; 14/5; 
Aldershot; 9/2; 18/5; 19/5; 7/2; 19/5; 10/3; 4; 7/2; 19/5; 4; 4; 4; 19/5; 4; 4; 18/5; 4; 4; 16/5; 7/2; 77/19; 22/5; 37/10; 15/4; ; 21/5; 7/2; 
