META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-29 00:19:57 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; ; 8/15; ; 8/15; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 31/10; ; ; ; 3; ; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-29 04:19:06 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; ; 8/15; ; 8/15; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 31/10; ; ; ; 3; ; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-29 08:19:00 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; ; 8/15; ; 8/15; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 31/10; ; ; ; 3; ; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/2; ; ; ; 9/2; ; 5; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-29 12:19:18 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; ; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 31/10; ; ; ; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 9/2; ; ; ; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-29 16:19:58 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-29 20:21:13 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 00:20:12 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 04:20:10 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 08:20:59 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 12:21:18 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 16:21:46 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; 4; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 20:20:50 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
