META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-10 20:25:22 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
North Ferriby Utd; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-11 04:22:04 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 2/5; 4/9; ; ; 4/11; ; 4/11; ; ; 6/17; ; 2/5; 1/3; ; 1/3; ; 2/5; 4/11; 6/17; ; 1/3; 4/11; ; ; ; ; 2/7; ; 
Draw; 18/5; 14/5; ; ; 7/2; ; 18/5; ; ; 7/2; ; 7/2; 10/3; ; 18/5; ; 7/2; 18/5; 7/2; ; 7/2; 18/5; ; ; ; ; 3; ; 
North Ferriby Utd; 13/2; 6; ; ; 7; ; 15/2; ; ; 7; ; 13/2; 6; ; 13/2; ; 7; 7; 7; ; 7; 7; ; ; ; ; 28/5; ; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-11 08:22:18 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 2/5; 4/9; ; ; 4/11; ; 4/11; ; ; 6/17; ; 2/5; 1/3; ; 1/3; ; 2/5; 4/11; 6/17; ; 1/3; 4/11; ; ; ; ; 2/7; ; 
Draw; 18/5; 14/5; ; ; 7/2; ; 18/5; ; ; 7/2; ; 7/2; 10/3; ; 18/5; ; 7/2; 18/5; 7/2; ; 7/2; 18/5; ; ; ; ; 3; ; 
North Ferriby Utd; 13/2; 6; ; ; 7; ; 8; ; ; 7; ; 13/2; 6; ; 13/2; ; 7; 7; 7; ; 7; 7; ; ; ; ; 28/5; ; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-11 12:24:28 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 2/5; 4/9; ; 4/11; 4/11; ; 4/11; ; ; 6/17; ; 2/5; 1/3; ; 1/3; ; 2/5; 4/11; 6/17; ; 1/3; 4/11; 4/9; ; ; ; 3/10; ; 
Draw; 18/5; 14/5; ; 10/3; 7/2; ; 18/5; ; ; 7/2; ; 7/2; 10/3; ; 18/5; ; 7/2; 18/5; 7/2; ; 7/2; 18/5; 15/4; ; ; ; 3; ; 
North Ferriby Utd; 13/2; 6; ; 6; 13/2; ; 15/2; ; ; 7; ; 13/2; 6; ; 13/2; ; 7; 7; 7; ; 7; 7; 73/10; ; ; ; 28/5; ; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-11 16:22:41 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 2/5; 4/9; ; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; 6/17; 4/11; 2/5; 1/3; ; 1/3; 2/5; 2/5; 4/11; 6/17; 4/11; 1/3; 4/11; 4/9; 6/17; ; ; 3/10; ; 
Draw; 18/5; 14/5; ; 10/3; 7/2; 10/3; 18/5; 10/3; 7/2; 7/2; 15/4; 7/2; 10/3; ; 18/5; 18/5; 7/2; 62/17; 7/2; 7/2; 7/2; 62/17; 15/4; 37/10; ; ; 10/3; ; 
North Ferriby Utd; 13/2; 6; ; 6; 13/2; 13/2; 8; 6; 13/2; 7; 13/2; 13/2; 6; ; 13/2; 6; 13/2; 7; 7; 11/2; 7; 7; 73/10; 6; ; ; 29/5; ; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-11 20:23:31 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 4/9; ; 2/7; 1/3; 4/11; 1/3; 3/10; 1/3; 6/17; 7/20; 1/3; 1/3; 3/10; 2/7; 1/3; 1/3; 1/3; 6/17; 4/11; 1/3; 1/3; 7/19; 2/7; ; ; 1/3; ; 
Draw; 17/4; 14/5; ; 15/4; 19/5; 10/3; 17/4; 7/2; 17/4; 7/2; 4; 19/5; 10/3; 4; 18/5; 15/4; 4; 50/13; 7/2; 7/2; 7/2; 50/13; 43/10; 75/19; ; ; 7/2; ; 
North Ferriby Utd; 9; 6; ; 15/2; 15/2; 13/2; 8; 15/2; 15/2; 7; 15/2; 15/2; 6; 17/2; 8; 8; 15/2; 15/2; 7; 11/2; 7; 15/2; 83/10; 7; ; ; 39/5; ; 
META; english/non-league/national-league/gateshead-v-north-ferriby-utd; 2016-09-12 00:21:53 GMT+3; 2016-09-13 19:45; e70300-dr003
Gateshead; 3/10; 4/11; 3/10; 1/3; 1/3; 4/11; 1/3; 3/10; 1/3; 6/17; 7/20; 1/3; 1/3; 3/10; 3/10; 1/3; 1/3; 6/19; 6/17; 4/11; 1/3; 6/19; 7/19; 4/13; 1/3; ; 1/3; ; 
Draw; 17/4; 16/5; 19/5; 7/2; 19/5; 10/3; 17/4; 7/2; 17/4; 7/2; 4; 19/5; 19/5; 4; 19/5; 15/4; 4; 75/19; 7/2; 7/2; 7/2; 75/19; 43/10; 21/5; 4; ; 7/2; ; 
