META; english/non-league/national-league/maidstone-v-barrow; 2017-03-26 04:22:50 GMT+2; 2017-04-01 15:00; e70300-dr003
Barrow; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-27 04:19:28 GMT+2; 2017-04-01 15:00; e70300-dr003
Barrow; 13/10; 7/5; 13/10; ; 7/5; ; 11/8; ; 13/10; ; ; 13/10; 13/10; ; ; 11/8; ; ; 5/4; ; ; ; 5/4; ; 5/4; ; ; ; 
Maidstone; 2; 8/5; 2; ; 2; ; 19/10; ; 2; ; ; 15/8; 39/20; ; ; 9/5; ; ; 2; ; ; ; 2; ; 2; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 23/10; ; 12/5; ; 12/5; ; ; 21/10; 47/20; ; ; 12/5; ; ; 9/4; ; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-27 12:08:51 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 21/20; 13/10; 21/20; ; 6/5; 1; 11/10; ; 11/10; 11/10; ; 21/20; 11/10; ; 11/10; 21/20; 1; 11/10; 1; 1; ; ; 1; ; 1; ; ; ; 
Draw; 12/5; 23/10; 47/20; ; 23/10; 11/5; 5/2; ; 12/5; 5/2; ; 9/4; 47/20; ; 23/10; 5/2; 40/17; 23/10; 12/5; 40/17; ; ; 12/5; ; 12/5; ; ; ; 
Maidstone; 5/2; 19/10; 12/5; ; 23/10; 11/5; 12/5; ; 23/10; 23/10; ; 11/5; 47/20; ; 12/5; 12/5; 40/17; 2; 12/5; 40/17; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-28 00:20:42 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 13/10; 6/5; 6/5; 5/4; 23/20; 5/4; ; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 11/10; 23/20; 6/5; ; 13/11; 13/11; ; 13/11; ; ; ; 
Maidstone; 11/5; 19/10; 41/20; 2; 21/10; 39/20; 21/10; ; 2; 2; 2; 2; 21/10; 21/10; 21/10; 2; 2; 2; 2; 2; ; 37/19; 2; ; 2; ; ; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 43/20; 12/5; ; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; ; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-28 04:21:35 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 13/10; 6/5; 6/5; 5/4; 11/10; 5/4; 11/10; 5/4; 5/4; 23/20; 6/5; 6/5; 23/20; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; ; 13/11; 13/11; ; 13/11; ; ; ; 
Maidstone; 11/5; 19/10; 41/20; 2; 11/5; 2; 21/10; 21/10; 2; 21/10; 21/10; 2; 21/10; 9/4; 21/10; 11/5; 2; 2; 2; 2; ; 37/19; 2; ; 2; ; ; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; ; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-28 12:39:11 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 13/10; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; ; 13/11; 13/11; ; 13/11; ; ; ; 
Maidstone; 11/5; 19/10; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 2; 2; 2; 2; ; 37/19; 2; ; 2; ; ; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; ; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-28 16:25:41 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 13/10; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; 13/10; 13/11; 13/11; ; 13/11; ; ; ; 
Maidstone; 11/5; 19/10; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 2; 2; 2; 2; 11/5; 37/19; 2; ; 2; ; ; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-29 00:20:54 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 13/10; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; 13/10; 13/11; 13/11; ; 13/11; ; ; ; 
Maidstone; 11/5; 19/10; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 2; 2; 2; 2; 11/5; 37/19; 2; ; 2; ; ; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-29 04:21:05 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 13/10; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; 13/10; 13/11; 13/11; ; 13/11; ; ; ; 
Maidstone; 11/5; 19/10; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 2; 2; 2; 2; 11/5; 37/19; 2; ; 2; ; ; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-29 12:22:18 GMT+3; 2017-04-01 15:00; e70300-dr003
