META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-25 00:24:00 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-25 04:23:09 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-25 08:23:35 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-25 12:25:21 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-25 16:25:15 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; ; 10/11; ; 10/11; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; ; 14/5; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-25 20:26:19 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; ; 10/11; ; 10/11; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; ; 29/10; ; 3; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-26 00:23:16 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; ; 10/11; ; 10/11; ; ; ; ; 20/23; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; ; 14/5; ; 3; ; ; ; ; 14/5; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-26 04:22:58 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; ; 10/11; ; 10/11; ; ; ; ; 20/23; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; ; 14/5; ; 3; ; ; ; ; 14/5; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-26 08:23:23 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; ; 10/11; ; 10/11; ; ; 9/10; ; 20/23; ; ; ; ; 10/11; ; 9/10; ; 9/10; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 5/2; ; ; 12/5; ; 5/2; ; ; ; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; ; 14/5; ; 3; ; ; 14/5; ; 14/5; ; ; ; ; 14/5; ; 14/5; ; 14/5; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-26 12:24:01 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 10/11; ; 9/10; ; 10/11; 9/10; ; 20/23; ; ; ; ; 10/11; 13/15; 9/10; ; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 12/5; 12/5; ; 5/2; ; 12/5; 12/5; ; 5/2; ; ; ; ; 5/2; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 11/4; 29/10; ; 3; ; 14/5; 14/5; ; 14/5; ; ; ; ; 14/5; 14/5; 14/5; ; 14/5; 14/5; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-26 16:24:01 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 20/23; 10/11; ; 10/11; ; 10/11; 9/10; 3/4; 20/23; ; 9/10; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 12/5; ; 5/2; ; 12/5; 12/5; 27/10; 5/2; ; 12/5; ; ; 5/2; 40/17; 12/5; 23/10; 12/5; 40/17; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 3; ; 14/5; 14/5; 3; 14/5; ; 59/20; ; ; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-26 20:24:54 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 20/23; 10/11; ; 10/11; ; 10/11; 9/10; 3/4; 20/23; ; 9/10; ; ; 10/11; 10/11; 9/10; 9/10; 9/10; 10/11; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 5/2; ; 12/5; 12/5; 27/10; 5/2; ; 12/5; ; ; 5/2; 40/17; 12/5; 23/10; 12/5; 40/17; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 14/5; ; 3; ; 14/5; 14/5; 3; 14/5; ; 59/20; ; ; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-27 00:23:59 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 20/23; 10/11; ; 20/23; ; 10/11; 9/10; 3/4; 20/23; ; 17/20; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 27/10; ; 12/5; 12/5; 27/10; 5/2; ; 5/2; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 14/5; ; 29/10; ; 14/5; 14/5; 3; 14/5; ; 59/20; ; ; 14/5; 37/13; 14/5; 13/5; 14/5; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-27 04:23:43 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 20/23; 10/11; ; 20/23; ; 10/11; 9/10; 3/4; 20/23; ; 17/20; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 27/10; ; 12/5; 12/5; 27/10; 5/2; ; 5/2; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 14/5; ; 29/10; ; 14/5; 14/5; 3; 14/5; ; 59/20; ; ; 14/5; 37/13; 14/5; 13/5; 14/5; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-27 08:24:01 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 20/23; 17/20; ; 17/20; ; 10/11; 9/10; 3/4; 20/23; ; 17/20; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 27/10; ; 12/5; 12/5; 27/10; 5/2; ; 5/2; ; ; 5/2; 40/17; 12/5; 23/10; 12/5; 40/17; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 3; ; 14/5; 14/5; 3; 14/5; ; 3; ; ; 14/5; 37/13; 14/5; 13/5; 14/5; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-27 12:24:50 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 20/23; 17/20; ; 17/20; ; 10/11; 9/10; 3/4; 20/23; ; 17/20; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 27/10; ; 12/5; 12/5; 27/10; 5/2; ; 5/2; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 3; ; 14/5; 14/5; 3; 14/5; ; 3; ; ; 14/5; 37/13; 14/5; 13/5; 14/5; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-27 16:28:00 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 20/23; 10/11; ; 9/10; ; 10/11; 9/10; 3/4; 20/23; ; 17/20; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 12/5; ; 5/2; ; 12/5; 12/5; 27/10; 5/2; ; 49/20; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 3; ; 14/5; 14/5; 3; 14/5; ; 3; ; ; 14/5; 37/13; 14/5; 13/5; 14/5; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-27 20:24:27 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 10/11; ; 20/23; ; 10/11; 9/10; 3/4; 20/23; ; ; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 12/5; ; 27/10; ; 12/5; 12/5; 27/10; 5/2; ; ; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 29/10; ; 14/5; 14/5; 3; 14/5; ; ; ; ; 14/5; 37/13; 14/5; 13/5; 14/5; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-28 00:24:00 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 20/23; 5/6; 10/11; 9/10; 3/4; 20/23; ; ; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 27/10; 5/2; 12/5; 12/5; 27/10; 5/2; ; ; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 29/10; 11/4; 14/5; 14/5; 3; 14/5; ; ; ; ; 14/5; 37/13; 14/5; 13/5; 14/5; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-28 04:22:12 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 10/11; ; 20/23; 5/6; 10/11; 9/10; 3/4; 20/23; ; 9/10; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 27/10; 5/2; 12/5; 12/5; 27/10; 5/2; ; 12/5; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 14/5; ; 29/10; 11/4; 14/5; 14/5; 3; 14/5; ; 59/20; ; ; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-28 08:22:17 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 9/10; 5/6; 10/11; 9/10; 3/4; 20/23; ; 17/20; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 5/2; 5/2; 12/5; 12/5; 27/10; 5/2; ; 49/20; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; ; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 3; 11/4; 14/5; 14/5; 3; 14/5; ; 3; ; ; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-28 12:23:35 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 9/10; 5/6; 10/11; 9/10; 3/4; 20/23; ; 17/20; ; ; 10/11; 13/15; 9/10; 9/10; 9/10; 13/15; 19/20; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 5/2; 5/2; 12/5; 12/5; 27/10; 5/2; ; 49/20; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 3; 11/4; 14/5; 14/5; 3; 14/5; ; 3; ; ; 14/5; 14/5; 14/5; 13/5; 14/5; 14/5; 17/5; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-28 16:23:08 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 17/20; 5/6; 10/11; 9/10; 3/4; 20/23; 5/6; 17/20; ; ; 11/13; 13/15; 9/10; 9/10; 9/10; 13/15; 19/20; ; ; ; ; ; 
Draw; 12/5; 12/5; ; 9/4; 5/2; ; 27/10; 5/2; 12/5; 12/5; 27/10; 5/2; 13/5; 49/20; ; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; ; ; ; ; ; 
Solihull Moors; 3; 13/5; ; 14/5; 29/10; ; 3; 11/4; 14/5; 14/5; 3; 14/5; 16/5; 3; ; ; 3; 14/5; 14/5; 13/5; 14/5; 14/5; 17/5; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-28 20:23:30 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 9/10; 5/6; 10/11; 9/10; 3/4; 20/23; 5/6; ; ; ; 11/13; 10/11; 9/10; 9/10; 9/10; 10/11; 19/20; ; ; ; 1/100; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; ; 5/2; 5/2; 12/5; 12/5; 27/10; 5/2; 13/5; ; ; ; 5/2; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; ; ; ; ; ; 
Solihull Moors; 3; 11/4; ; 14/5; 29/10; ; 3; 11/4; 14/5; 14/5; 3; 14/5; 16/5; ; ; ; 3; 37/13; 14/5; 13/5; 14/5; 37/13; 17/5; ; ; ; 1/100; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-29 00:22:21 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 17/20; 5/6; 10/11; 9/10; 3/4; 20/23; 5/6; 17/20; 5/6; ; 11/13; 10/11; 9/10; 9/10; 9/10; 10/11; 19/20; ; ; ; 8/11; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; ; 27/10; 5/2; 12/5; 12/5; 27/10; 5/2; 13/5; 5/2; 12/5; ; 5/2; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; ; ; ; 21/10; ; 
Solihull Moors; 3; 11/4; ; 14/5; 29/10; ; 29/10; 11/4; 14/5; 14/5; 3; 14/5; 16/5; 59/20; 27/10; ; 3; 37/13; 14/5; 13/5; 14/5; 37/13; 17/5; ; ; ; 12/5; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-29 04:22:05 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 9/10; 5/6; 10/11; 9/10; 3/4; 20/23; 5/6; 17/20; 5/6; ; 11/13; 10/11; 9/10; 9/10; 9/10; 10/11; 19/20; ; ; ; 8/11; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; ; 5/2; 5/2; 12/5; 12/5; 27/10; 5/2; 13/5; 49/20; 12/5; ; 5/2; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; ; ; ; 11/5; ; 
Solihull Moors; 3; 11/4; ; 14/5; 29/10; ; 3; 11/4; 14/5; 14/5; 3; 14/5; 16/5; 3; 27/10; ; 3; 37/13; 14/5; 13/5; 14/5; 37/13; 17/5; ; ; ; 12/5; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-29 12:22:35 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 10/11; 10/11; ; 5/6; 17/20; ; 20/23; 5/6; 10/11; 9/10; 3/4; 20/23; 5/6; 17/20; 5/6; 17/20; 11/13; 10/11; 9/10; 9/10; 9/10; 10/11; 19/20; ; ; ; 8/11; ; 
Draw; 12/5; 5/2; ; 9/4; 5/2; ; 27/10; 5/2; 12/5; 12/5; 27/10; 5/2; 13/5; 5/2; 12/5; 11/4; 5/2; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; ; ; ; 11/5; ; 
Solihull Moors; 3; 11/4; ; 14/5; 29/10; ; 29/10; 11/4; 14/5; 14/5; 3; 14/5; 16/5; 3; 27/10; 14/5; 3; 29/10; 14/5; 13/5; 14/5; 29/10; 17/5; ; ; ; 12/5; ; 
META; english/non-league/national-league/maidstone-v-solihull-moors; 2016-09-29 20:22:25 GMT+3; 2016-10-01 15:00; e70300-dr003
Maidstone; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 4/5; 5/6; ; 4/5; 17/20; 4/5; 10/13; 3/4; 9/10; 8/11; 10/13; 8/9; 9/11; ; ; 8/11; 4/5; 
