META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-16 00:26:17 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; ; 2/3; ; ; 4/5; ; 3/4; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; 13/5; ; 11/4; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 10/3; ; ; 10/3; ; 7/2; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-16 04:22:46 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; ; 2/3; ; ; 4/5; ; 3/4; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; 13/5; ; 11/4; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 10/3; ; ; 10/3; ; 7/2; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-16 08:23:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; ; 2/3; ; ; 4/5; ; 3/4; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; 13/5; ; 11/4; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 10/3; ; ; 10/3; ; 7/2; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-16 12:24:43 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; ; 2/3; ; ; 4/5; ; 3/4; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; ; ; 13/5; ; 11/4; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
