META; english/premier-league/arsenal-v-man-utd; 2017-03-30 00:26:44 GMT+3; 2017-05-06 15:00; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man Utd; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-utd; 2017-04-02 08:18:22 GMT+3; 2017-04-01 13:00; e70300-dr003
Paderborn; 11/8; ; ; ; 7/5; 13/10; ; ; ; 7/5; ; ; 7/5; ; 7/5; 7/5; ; ; ; ; ; 23/17; ; ; ; ; ; ; 
Sonnenhof Grossaspach; 2; ; ; ; 15/8; 20/11; ; ; ; 19/10; ; ; 39/20; ; 15/8; 15/8; ; ; ; ; ; 16/9; ; ; ; ; ; ; 
Draw; 11/5; ; ; ; 11/5; 43/20; ; ; ; 9/4; ; ; 21/10; ; 21/10; 11/5; ; ; ; ; ; 11/5; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-utd; 2017-04-10 16:35:08 GMT+3; 2017-05-06 15:00; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man Utd; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-utd; 2017-04-11 12:50:00 GMT+3; 2017-05-06 15:00; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man Utd; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-utd; 2017-04-12 12:19:59 GMT+3; 2017-05-06 15:00; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man Utd; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-man-utd; 2017-04-28 11:01:14 GMT+3; 2017-05-07 16:00; e70300-dr003
Arsenal; 6/5; ; ; 23/20; ; ; 6/5; 11/8; 5/4; ; ; ; 23/20; 6/5; 6/5; 6/5; 5/4; 15/13; 13/10; ; 129/100; ; 13/10; ; 13/10; ; ; ; 
Man Utd; 9/4; ; ; 9/4; ; ; 12/5; 7/4; 23/10; ; ; ; 23/10; 12/5; 23/10; 23/10; 28/13; 23/10; 2; ; 119/50; ; 2; ; 2; ; ; ; 
Draw; 23/10; ; ; 5/2; ; ; 12/5; 12/5; 12/5; ; ; ; 49/20; 5/2; 12/5; 5/2; 23/10; 23/10; 12/5; ; 63/25; ; 12/5; ; 12/5; ; ; ; 
META; english/premier-league/arsenal-v-man-utd; 2017-05-02 18:56:20 GMT+3; 2017-05-07 16:00; e70300-dr003
Arsenal; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 1; 19/20; 1; 10/11; 19/20; 10/11; 10/11; 1; 19/20; 19/20; 19/20; 13/15; 20/21; 19/20; 1; 13/14; 19/20; 19/20; 19/20; ; 20/21; 20/21; 20/21
Draw; 5/2; 13/5; 5/2; 13/5; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 12/5; 51/20; 5/2; 13/5; 13/5; 28/11; 13/5; 13/5; 28/11; 27/10; 28/11; 13/5; 12/5; 13/5; ; 5/2; 13/5; 27/10
Man Utd; 11/4; 11/4; 14/5; 11/4; 11/4; 3; 3; 13/5; 14/5; 14/5; 11/4; 14/5; 29/10; 3; 14/5; 29/10; 29/10; 29/10; 14/5; 29/10; 61/20; 56/19; 37/13; 11/4; 37/13; ; 14/5; 14/5; 3
META; english/premier-league/arsenal-v-man-utd; 2017-05-03 10:17:01 GMT+3; 2017-05-07 16:00; e70300-dr003
Arsenal; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 10/11; 19/20; 20/21; 10/11; 1; 19/20; 1; 19/20; 13/15; 20/21; 19/20; 1; 13/14; 19/20; 19/20; 19/20; ; 20/21; 20/21; 1
Draw; 5/2; 13/5; 5/2; 13/5; 12/5; 13/5; 27/10; 27/10; 13/5; 5/2; 13/5; 9/4; 51/20; 5/2; 13/5; 28/11; 28/11; 13/5; 13/5; 28/11; 27/10; 28/11; 13/5; 12/5; 13/5; ; 5/2; 11/5; 27/10
Man Utd; 11/4; 11/4; 14/5; 11/4; 11/4; 3; 3; 13/5; 14/5; 14/5; 11/4; 14/5; 29/10; 3; 14/5; 29/10; 29/10; 29/10; 14/5; 29/10; 61/20; 56/19; 37/13; 11/4; 37/13; ; 14/5; 5/2; 3
