META; english/premier-league/arsenal-v-west-ham; 2017-03-18 20:16:49 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 3/10; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; ; 10/29; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 19/5; ; ; ; ; ; ; ; ; 4; ; ; 21/5; ; ; ; ; ; ; ; 
West Ham; ; ; 9; ; ; ; ; 8; 8; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-19 00:16:09 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 3/10; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; ; 10/29; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 19/5; ; ; ; ; ; ; ; ; 4; ; ; 21/5; ; ; ; ; ; ; ; 
West Ham; ; ; 9; ; ; ; ; 8; 8; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-19 04:16:24 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 3/10; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; ; 10/29; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 19/5; ; ; ; ; ; ; ; ; 4; ; ; 21/5; ; ; ; ; ; ; ; 
West Ham; ; ; 9; ; ; ; ; 8; 8; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-19 08:16:17 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 3/10; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; ; 10/29; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 19/5; ; ; ; ; ; ; ; ; 4; ; ; 21/5; ; ; ; ; ; ; ; 
West Ham; ; ; 9; ; ; ; ; 8; 8; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-19 12:16:44 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 3/10; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; ; 10/29; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 19/5; ; ; ; ; ; ; ; ; 4; ; ; 21/5; ; ; ; ; ; ; ; 
West Ham; ; ; 9; ; ; ; ; 8; 8; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-19 16:16:39 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 3/10; ; ; ; ; 4/11; 2/5; ; ; ; ; ; ; ; ; 10/29; ; ; 2/5; ; ; ; ; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 19/5; ; ; ; ; ; ; ; ; 4; ; ; 21/5; ; ; ; ; ; ; ; 
West Ham; ; ; 9; ; ; ; ; 8; 8; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-19 20:16:28 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 3/10; ; ; ; ; 4/11; 2/5; 2/5; 4/11; ; ; ; 4/9; 2/5; 7/19; 10/29; ; 7/19; 43/100; ; ; ; ; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 4; 15/4; 18/5; ; ; ; 15/4; 4; 77/19; 4; ; 77/19; 4; ; ; ; ; ; ; ; 
West Ham; ; ; 9; ; ; ; ; 8; 13/2; 6; 6; ; ; ; 6; 8; 27/4; 7; ; 27/4; 15/2; ; ; ; ; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-20 00:15:59 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; ; ; 2/5; ; ; ; ; 4/11; 4/9; 2/5; 2/5; ; ; ; 4/9; 4/9; 3/7; 10/29; 2/5; 3/7; 43/100; ; 5/12; ; 5/12; ; ; ; 
Draw; ; ; 15/4; ; ; ; ; 10/3; 4; 15/4; 18/5; ; ; ; 15/4; 4; 15/4; 4; 7/2; 15/4; 4; ; 62/17; ; 62/17; ; ; ; 
West Ham; ; ; 11/2; ; ; ; ; 8; 6; 6; 6; ; ; ; 6; 15/2; 6; 7; 6; 6; 15/2; ; 6; ; 6; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-20 04:15:55 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 1/3; ; 2/5; ; 2/5; ; 2/5; 4/11; 4/9; 2/5; 2/5; ; ; ; 4/9; 2/5; 2/5; 10/29; 2/5; 2/5; 43/100; ; 5/12; ; 5/12; ; ; ; 
Draw; 4; ; 15/4; ; 19/5; ; 4; 10/3; 4; 15/4; 18/5; ; ; ; 15/4; 4; 19/5; 4; 7/2; 19/5; 4; ; 62/17; ; 62/17; ; ; ; 
West Ham; 8; ; 11/2; ; 7; ; 7; 8; 6; 6; 6; ; ; ; 6; 8; 13/2; 7; 6; 13/2; 15/2; ; 6; ; 6; ; ; ; 
META; english/premier-league/arsenal-v-west-ham; 2017-03-20 08:15:54 GMT+2; 2017-04-05 19:45; e70300-dr003
Arsenal; 1/3; ; 2/5; ; 2/5; ; 2/5; 4/11; 4/9; 2/5; 2/5; ; ; ; 4/9; 2/5; 3/8; 10/29; 2/5; 2/5; 43/100; ; 5/12; ; 5/12; ; ; ; 
Draw; 4; ; 15/4; ; 19/5; ; 4; 10/3; 4; 15/4; 18/5; ; ; ; 15/4; 4; 39/10; 4; 7/2; 50/13; 4; ; 62/17; ; 62/17; ; ; ; 
