META; english/premier-league/bournemouth-v-west-ham; 2017-02-20 16:17:04 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; ; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; ; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-20 20:17:40 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; ; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; ; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-21 00:16:56 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; ; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; ; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-21 04:16:58 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; ; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; ; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-21 08:17:12 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; ; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 47/20; ; ; ; ; 19/10; 2; ; ; ; ; ; ; ; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 47/20; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-21 12:17:17 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 6/5; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; 13/10; 5/4; ; 13/10; 7/5; ; ; ; ; ; ; 
