META; english/premier-league/burnley-v-everton; 2016-10-01 20:17:11 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; ; 1; 10/11; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; 11/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-02 00:17:01 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; ; 1; 10/11; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; 11/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-02 04:17:01 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; ; 1; 10/11; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; 11/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-02 08:17:02 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; ; 1; 10/11; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; 11/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-02 12:17:09 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; ; 1; 10/11; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; 11/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-02 16:17:22 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; ; 1; 10/11; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; 11/12; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-02 20:18:13 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; 20/23; 1; 5/6; 9/10; ; ; ; ; ; ; 1; 1; 9/10; 10/11; 9/10; 1; 39/40; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5/2; 11/5; 13/5; 12/5; ; ; ; ; ; ; 5/2; 23/10; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; 16/5; 11/4; 10/3; 41/13; ; ; ; ; ; ; 3; 29/10; 41/13; 3; 3; 29/10; 33/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-03 00:17:25 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; ; ; ; ; ; ; 17/20; 10/11; 4/5; 9/10; 3/4; ; ; ; ; ; 19/20; 10/11; 9/10; 4/5; 9/10; 10/11; 39/40; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/5; 11/5; 13/5; 12/5; 13/5; ; ; ; ; ; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 13/5; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; 15/4; 3; 7/2; 41/13; 7/2; ; ; ; ; ; 10/3; 58/19; 41/13; 57/17; 3; 58/19; 33/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-03 04:17:25 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; ; ; ; ; 4/5; 10/11; 4/5; 9/10; 3/4; ; ; ; ; ; 11/13; 13/15; 9/10; 4/5; 9/10; 13/15; 39/40; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 13/5; 11/5; 13/5; 12/5; 13/5; ; ; ; ; ; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 13/5; ; ; ; ; ; 
Burnley; 15/4; ; ; ; ; ; 4; 3; 7/2; 41/13; 7/2; ; ; ; ; ; 4; 57/17; 41/13; 57/17; 3; 57/17; 33/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-03 08:17:29 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; ; ; ; ; 4/5; 10/11; 4/5; 9/10; 4/5; ; ; ; ; ; 11/13; 5/6; 9/10; 4/5; 9/10; 5/6; 39/40; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 13/5; 11/5; 13/5; 12/5; 13/5; ; ; ; ; ; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 13/5; ; ; ; ; ; 
Burnley; 15/4; ; ; ; ; ; 4; 3; 7/2; 41/13; 7/2; ; ; ; ; ; 4; 57/17; 41/13; 57/17; 3; 57/17; 33/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-03 12:17:29 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 10/11; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 11/13; 5/6; 4/5; 4/5; 4/5; 5/6; 7/8; ; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 13/5; 11/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 5/2; 12/5; 23/10; 5/2; 23/10; 12/5; 13/5; ; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 4; 3; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 57/17; 62/17; 57/17; 7/2; 57/17; 50/13; ; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-03 16:17:41 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 10/11; 4/5; 4/5; 3/4; ; ; ; ; 4/5; 11/13; 4/5; 4/5; 4/5; 4/5; 4/5; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 11/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 28/11; 23/10; 5/2; 23/10; 28/11; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 3; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 7/2; 39/11; 62/17; 57/17; 7/2; 39/11; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-03 20:17:54 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 10/11; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 11/13; 4/5; 4/5; 4/5; 4/5; 4/5; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 11/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 3; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 7/2; 39/11; 62/17; 57/17; 7/2; 39/11; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-04 00:17:22 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 10/11; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 11/13; 4/5; 4/5; 4/5; 4/5; 4/5; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 11/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 3; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 7/2; 39/11; 62/17; 57/17; 7/2; 39/11; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-04 04:17:32 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 10/11; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 11/13; 4/5; 4/5; 4/5; 4/5; 4/5; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 11/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 3; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 7/2; 39/11; 62/17; 57/17; 7/2; 39/11; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-04 08:17:33 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 10/11; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 11/13; 4/5; 4/5; 4/5; 4/5; 4/5; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 11/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 3; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 7/2; 39/11; 62/17; 57/17; 7/2; 39/11; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-04 12:17:36 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; 39/11; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-04 16:17:51 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 28/11; 23/10; 5/2; 23/10; 28/11; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; 39/11; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-04 20:17:43 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; ; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 28/11; 23/10; 5/2; 23/10; ; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; ; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-05 00:17:39 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; ; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 28/11; 23/10; 5/2; 23/10; ; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; ; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-05 04:17:37 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; ; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; ; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; ; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-05 08:17:37 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; ; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; ; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; ; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-05 12:18:04 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; ; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; ; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; ; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-05 16:17:33 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; ; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 5/2; 23/10; 5/2; 23/10; ; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; ; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-05 20:17:39 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 10/13; 4/5; 4/5; 4/5; ; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 28/11; 23/10; 5/2; 23/10; ; 13/5; 28/11; ; ; ; ; 
Burnley; 15/4; ; 18/5; ; ; 4; 19/5; 7/2; 7/2; 62/17; 7/2; ; ; ; ; 18/5; 4; 39/11; 62/17; 57/17; 7/2; ; 50/13; 39/10; ; ; ; ; 
META; english/premier-league/burnley-v-everton; 2016-10-06 00:17:10 GMT+3; 2016-10-22 15:00; e70300-dr003
Everton; 4/5; ; 4/5; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; 4/5; ; ; ; ; 4/5; 5/6; 10/13; 4/5; 4/5; 4/5; 10/13; 7/8; 10/13; ; ; ; ; 
Draw; 12/5; ; 13/5; ; ; 12/5; 27/10; 12/5; 13/5; 23/10; 13/5; ; ; ; ; 13/5; 13/5; 28/11; 23/10; 5/2; 23/10; 28/11; 13/5; 28/11; ; ; ; ; 
