META; english/premier-league/everton-v-man-utd; 2016-11-20 00:17:54 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 11/8; 6/4; ; ; ; ; ; ; ; ; ; 6/4; ; ; 6/4; ; ; ; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/8; 15/8; ; ; ; ; ; ; ; ; ; 9/5; ; ; 39/19; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-20 04:17:35 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 11/8; 6/4; ; ; ; ; ; ; ; ; ; 6/4; ; ; 6/4; ; ; ; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/8; 15/8; ; ; ; ; ; ; ; ; ; 9/5; ; ; 39/19; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-20 08:17:32 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 11/8; 6/4; ; ; ; ; ; ; ; ; ; 6/4; ; ; 6/4; ; ; ; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/8; 15/8; ; ; ; ; ; ; ; ; ; 9/5; ; ; 39/19; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-20 12:17:39 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 11/8; 6/4; ; ; ; ; ; ; ; ; ; 6/4; ; ; 6/4; ; ; ; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/8; 15/8; ; ; ; ; ; ; ; ; ; 9/5; ; ; 39/19; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-20 16:17:59 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 11/8; 6/4; ; ; ; ; ; ; ; ; ; 6/4; ; ; 6/4; ; ; ; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/8; 15/8; ; ; ; ; ; ; ; ; ; 9/5; ; ; 39/19; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-20 20:17:51 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 11/8; 6/4; ; ; ; ; ; ; ; ; 23/17; 6/4; 27/20; ; 6/4; ; 23/17; ; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/8; 15/8; ; ; ; ; ; ; ; ; 37/19; 9/5; 19/10; ; 39/19; ; 37/19; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; 12/5; 11/5; 12/5; ; 5/2; ; 12/5; ; ; ; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-21 00:17:26 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; 13/10; ; ; ; ; ; 11/8; 11/8; 7/5; 13/10; ; ; 13/10; ; ; 11/8; 23/17; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 1; ; 
Everton; 21/10; ; ; ; ; ; 11/5; 15/8; 85/40; 2; ; ; 21/10; ; ; 2; 21/10; 37/19; 2; 19/10; 21/10; 39/19; ; 37/19; ; ; 6/4; ; 
Draw; 23/10; ; ; ; ; ; 12/5; 9/4; 23/10; 23/10; ; ; 47/20; ; ; 12/5; 11/5; 12/5; 11/5; 12/5; 11/5; 5/2; ; 12/5; ; ; 2; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-21 04:17:25 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; 13/10; ; ; ; ; ; 13/10; 11/8; 7/5; 13/10; ; ; 13/10; ; ; 11/8; 23/17; 23/17; 23/17; 27/20; 23/17; 6/4; ; 23/17; ; ; 1; ; 
Everton; 21/10; ; ; ; ; ; 23/10; 15/8; 85/40; 2; ; ; 21/10; ; ; 2; 21/10; 37/19; 2; 19/10; 21/10; 39/19; ; 37/19; ; ; 6/4; ; 
Draw; 23/10; ; ; ; ; ; 12/5; 9/4; 23/10; 23/10; ; ; 47/20; ; ; 12/5; 11/5; 12/5; 11/5; 12/5; 11/5; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-21 08:17:29 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; 13/10; ; ; ; ; ; 13/10; 11/8; 7/5; 13/10; ; ; 13/10; ; ; 11/8; 13/10; 23/17; 23/17; 27/20; 13/10; 6/4; ; 23/17; ; ; 1; ; 
Everton; 21/10; ; ; ; ; ; 23/10; 15/8; 85/40; 2; ; ; 21/10; ; ; 2; 21/10; 37/19; 2; 19/10; 21/10; 39/19; ; 37/19; ; ; 6/4; ; 
Draw; 23/10; ; ; ; ; ; 12/5; 9/4; 23/10; 23/10; ; ; 47/20; ; ; 12/5; 11/5; 12/5; 11/5; 12/5; 11/5; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-21 12:17:36 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; 13/10; ; 5/4; ; ; 11/8; 7/5; 13/10; 7/5; 13/10; 13/10; ; 27/20; ; 13/10; 11/8; 13/10; 23/17; 23/17; 27/20; 13/10; 25/18; 11/8; 23/17; ; ; 21/20; ; 
Everton; 21/10; ; 41/20; ; ; 11/5; 85/40; 2; 85/40; 2; 2; ; 2; ; 11/5; 2; 21/10; 37/19; 2; 19/10; 21/10; 23/10; 39/19; 37/19; ; ; 6/4; ; 
Draw; 23/10; ; 23/10; ; ; 23/10; 12/5; 9/4; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 9/4; 12/5; 23/10; 12/5; ; ; 21/10; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-21 16:17:33 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; 13/10; ; 5/4; ; ; 11/8; 7/5; 13/10; 7/5; 13/10; 13/10; ; 13/10; ; 13/10; 11/8; 5/4; 23/17; 23/17; 27/20; 5/4; 17/12; 23/17; 23/17; ; ; 1; ; 
Everton; 21/10; ; 41/20; ; ; 11/5; 85/40; 2; 85/40; 21/10; 2; ; 21/10; ; 11/5; 2; 28/13; 37/19; 2; 19/10; 28/13; 9/4; 21/10; 37/19; ; ; 6/4; ; 
Draw; 23/10; ; 23/10; ; ; 23/10; 12/5; 9/4; 23/10; 9/4; 11/5; ; 47/20; ; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 9/4; 12/5; 23/10; 12/5; ; ; 2; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-21 20:17:39 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; 13/10; ; 6/5; ; ; 13/10; 13/10; 13/10; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10; 13/10; 6/5; 23/17; 23/17; 27/20; 6/5; 11/8; 4/3; 23/17; ; ; 6/5; ; 
Everton; 21/10; ; 43/20; ; ; 9/4; 23/10; 2; 9/4; 9/4; 2; ; 11/5; 11/5; 9/4; 11/5; 9/4; 37/19; 2; 19/10; 9/4; 40/17; 21/10; 37/19; ; ; 2; ; 
Draw; 23/10; ; 23/10; ; ; 12/5; 12/5; 9/4; 23/10; 23/10; 11/5; ; 47/20; 9/4; 9/4; 12/5; 9/4; 12/5; 11/5; 12/5; 9/4; 12/5; 23/10; 12/5; ; ; 2; ; 
META; english/premier-league/everton-v-man-utd; 2016-11-22 00:16:58 GMT+2; 2016-12-04 16:00; e70300-dr003
Man Utd; 6/5; ; 23/20; ; ; 13/10; 13/10; 13/10; 13/10; 6/5; 6/5; ; 6/5; 5/4; 13/10; 13/10; 6/5; 23/17; 5/4; 27/20; 6/5; 11/8; 4/3; 23/17; ; ; 6/5; ; 
Everton; 9/4; ; 9/4; ; ; 23/10; 23/10; 2; 9/4; 9/4; 21/10; ; 9/4; 9/4; 9/4; 9/4; 23/10; 37/19; 11/5; 19/10; 23/10; 40/17; 21/10; 37/19; ; ; 2; ; 
