META; english/premier-league/liverpool-v-west-brom; 2016-10-02 16:17:43 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; ; ; ; ; ; ; ; 3/10; 1/3; ; ; ; ; ; ; ; ; ; ; 3/10; ; ; 7/19; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 15/4; 17/4; ; ; ; ; ; ; ; ; ; ; 4; ; ; 43/10; ; ; ; ; ; 
West Brom; ; ; ; ; ; ; ; 9; 9; ; ; ; ; ; ; ; ; ; ; 9; ; ; 19/2; ; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-02 20:18:29 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; ; ; ; ; ; ; 1/4; 3/10; 3/10; 3/10; ; ; ; ; ; ; 3/10; 4/13; 3/10; 3/10; 3/10; 4/13; 3/10; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 5; 15/4; 5; 4; ; ; ; ; ; ; 9/2; 39/10; 4; 4; 4; 39/10; 51/10; ; ; ; ; ; 
West Brom; ; ; ; ; ; ; 11; 9; 9; 10; ; ; ; ; ; ; 11; 9; 10; 9; 10; 9; 23/2; ; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-03 00:17:38 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; ; ; ; ; ; ; 3/10; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; ; 1/3; 6/19; 3/10; 3/10; 3/10; 6/19; 3/10; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 19/4; 15/4; 5; 4; 19/4; 17/4; ; ; ; ; 9/2; 41/10; 4; 4; 4; 41/10; 51/10; ; ; ; ; ; 
West Brom; ; ; ; ; ; ; 11; 9; 9; 10; 10; 10; ; ; ; ; 10; 33/4; 10; 9; 10; 33/4; 23/2; ; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-03 04:17:37 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; ; 2/7; 3/10; 3/10; 3/10; 1/4; 1/4; ; ; ; ; 3/10; 2/7; 3/10; 3/10; 3/10; 2/7; 3/10; ; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; ; 5; 15/4; 5; 4; 19/4; 17/4; ; ; ; ; 5; 23/5; 4; 4; 4; 23/5; 51/10; ; ; ; ; ; 
West Brom; 8; ; 10; ; ; ; 21/2; 9; 9; 10; 10; 10; ; ; ; ; 10; 8; 10; 9; 10; 8; 23/2; ; ; ; ; ; 
