META; english/premier-league/man-city-v-man-utd; 2017-04-18 14:17:39 GMT+3; 2017-04-27 20:00; e70300-dr003
Man City; 10/11; 10/11; 1; 19/20; ; 19/20; 19/20; 5/6; 1; 17/20; 19/20; 20/23; 9/10; ; 10/11; 19/20; 10/11; 9/10; 20/21; 10/11; 1; 10/11; 39/40; ; 39/40; ; ; ; 5/6
Draw; 5/2; 13/5; 13/5; 11/4; ; 11/4; 11/4; 5/2; 13/5; 13/5; 5/2; 13/5; 51/20; ; 13/5; 27/10; 13/5; 12/5; 13/5; 13/5; 53/20; 45/17; 45/17; ; 45/17; ; ; ; 14/5
Man Utd; 29/10; 14/5; 27/10; 13/5; ; 14/5; 3; 3; 14/5; 14/5; 5/2; 3; 59/20; ; 3; 29/10; 37/13; 3; 13/5; 37/13; 31/10; 56/19; 45/17; ; 45/17; ; ; ; 3
META; english/premier-league/man-city-v-man-utd; 2017-04-19 16:45:17 GMT+3; 2017-04-27 20:00; e70300-dr003
Man City; 10/11; 10/11; 19/20; 19/20; ; 19/20; 20/21; 5/6; 1; 10/11; 10/11; 20/21; 9/10; ; 10/11; 19/20; 10/11; 9/10; 10/11; 10/11; 1; 10/11; 10/11; ; 10/11; ; ; ; 10/11
Draw; 5/2; 13/5; 13/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 51/20; ; 13/5; 27/10; 13/5; 12/5; 13/5; 13/5; 53/20; 45/17; 45/17; ; 45/17; ; ; ; 11/4
Man Utd; 29/10; 14/5; 27/10; 13/5; ; 14/5; 31/10; 3; 14/5; 14/5; 5/2; 11/4; 59/20; ; 3; 29/10; 37/13; 3; 14/5; 37/13; 31/10; 56/19; 56/19; ; 56/19; ; ; ; 3
META; english/premier-league/man-city-v-man-utd; 2017-04-26 19:27:08 GMT+3; 2017-04-27 20:00; e70300-dr003
Man City; 10/11; 10/11; 17/20; 17/20; 10/11; 5/6; 17/20; 17/20; 5/6; 20/23; 5/6; 5/6; 5/6; 17/20; 17/20; 11/13; 5/6; 13/15; 5/6; 5/6; 22/25; 11/13; 13/15; 17/20; 9/10; ; ; 5/6; 5/6
Draw ; 11/4; 11/4; 11/4; 11/4; 13/5; 11/4; 11/4; 27/10; 11/4; 13/5; 13/5; 13/5; 11/4; 27/10; 11/4; 14/5; 27/10; 11/4; 27/10; 27/10; 139/50; 11/4; 27/10; 13/5; 11/4; ; ; 11/4; 14/5
Man Utd; 16/5; 10/3; 7/2; 3; 10/3; 7/2; 18/5; 16/5; 10/3; 16/5; 16/5; 7/2; 10/3; 18/5; 10/3; 10/3; 57/17; 3; 3; 57/17; 71/20; 57/17; 13/4; 10/3; 57/17; ; ; 10/3; 7/2
META; english/premier-league/man-city-v-man-utd; 2017-04-26 19:39:45 GMT+3; 2017-04-27 20:00; e70300-dr003
Man City; 10/11; 10/11; 17/20; 17/20; 10/11; 5/6; 20/23; 17/20; 5/6; 20/23; 5/6; 5/6; 5/6; 17/20; 17/20; 11/13; 5/6; 13/15; 5/6; 5/6; 22/25; 11/13; 13/15; 17/20; 9/10; ; ; 5/6; 5/6
Draw ; 11/4; 11/4; 11/4; 11/4; 13/5; 11/4; 27/10; 27/10; 11/4; 13/5; 13/5; 13/5; 11/4; 27/10; 11/4; 11/4; 27/10; 11/4; 27/10; 27/10; 139/50; 11/4; 27/10; 11/4; 11/4; ; ; 11/4; 14/5
Man Utd; 16/5; 10/3; 7/2; 3; 10/3; 7/2; 7/2; 16/5; 10/3; 16/5; 16/5; 7/2; 10/3; 18/5; 10/3; 10/3; 57/17; 3; 3; 57/17; 71/20; 57/17; 13/4; 7/2; 57/17; ; ; 10/3; 7/2
META; english/premier-league/man-city-v-man-utd; 2017-04-27 15:11:07 GMT+3; 2017-04-27 20:00; e70300-dr003
Man City; 10/11; 10/11; 10/11; 10/11; 10/11; 17/20; 37/40; 10/11; 19/20; 20/23; 10/11; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 10/11; 5/6; 13/15; 47/50; 9/10; 13/15; 10/11; 9/10; ; ; 10/11; 10/11
Draw ; 11/4; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 27/10; 13/5; 5/2; 27/10; 13/5; 51/20; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 53/20; 28/11; 13/5; 13/5; 45/17; ; ; 13/5; 13/5
Man Utd; 10/3; 16/5; 10/3; 16/5; 16/5; 10/3; 17/5; 3; 34/10; 16/5; 3; 10/3; 16/5; 10/3; 10/3; 16/5; 57/17; 13/4; 10/3; 57/17; 69/20; 13/4; 57/17; 16/5; 38/11; ; ; 10/3; 10/3
META; english/premier-league/man-city-v-man-utd; 2017-04-27 18:01:41 GMT+3; 2017-04-27 20:00; e70300-dr003
Man City; 10/11; 10/11; 9/10; 10/11; 10/11; 10/11; 9/10; 10/11; 9/10; 20/23; 17/20; 10/11; 17/20; 10/11; 10/11; 10/11; 13/15; 9/10; 5/6; 13/15; 10/11; 7/8; 11/13; 10/11; 7/8; ; ; 5/6; 9/10
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 51/20; 27/10; 13/5; 27/11; 13/5; 13/5; 13/5; 13/5; 53/20; 28/11; 45/17; 13/5; 27/10; ; ; 13/5; 13/5
Man Utd; 7/2; 16/5; 17/5; 16/5; 16/5; 10/3; 7/2; 3; 10/3; 16/5; 10/3; 10/3; 7/2; 17/5; 10/3; 10/3; 17/5; 17/5; 10/3; 17/5; 71/20; 17/5; 17/5; 10/3; 7/2; ; ; 7/2; 7/2
