META; english/premier-league/stoke-v-west-ham; 2017-04-18 14:17:44 GMT+3; 2017-04-29 15:00; e70300-dr003
Stoke; ; ; ; ; ; ; 6/5; 1; 6/5; ; ; ; ; ; ; 15/13; 15/13; 15/13; 23/20; 15/13; 5/4; ; 15/13; ; 15/13; ; ; ; 
Draw; ; ; ; ; ; ; 23/10; 11/5; 23/10; ; ; ; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; 12/5; ; 23/10; ; 23/10; ; ; ; 
West Ham; ; ; ; ; ; ; 13/5; 5/2; 13/5; ; ; ; ; ; ; 13/5; 12/5; 12/5; 12/5; 12/5; 13/5; ; 12/5; ; 12/5; ; ; ; 
META; english/premier-league/stoke-v-west-ham; 2017-04-19 16:45:22 GMT+3; 2017-04-29 15:00; e70300-dr003
Stoke; ; ; ; ; ; 23/20; 6/5; 1; 6/5; ; ; ; ; ; ; 15/13; 15/13; 15/13; 23/20; 15/13; 5/4; ; 15/13; ; 15/13; ; ; ; 
Draw; ; ; ; ; ; 11/5; 23/10; 11/5; 23/10; ; ; ; ; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; 12/5; ; 23/10; ; 23/10; ; ; ; 
West Ham; ; ; ; ; ; 12/5; 13/5; 5/2; 13/5; ; ; ; ; ; ; 13/5; 12/5; 12/5; 12/5; 12/5; 13/5; ; 12/5; ; 12/5; ; ; ; 
META; english/premier-league/stoke-v-west-ham; 2017-04-26 19:39:50 GMT+3; 2017-04-29 15:00; e70300-dr003
Stoke; 23/20; 11/10; 23/20; 23/20; 11/10; 23/20; 23/20; 21/20; 6/5; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 15/13; 15/13; 23/20; 15/13; 59/50; 9/8; 15/13; 6/5; 15/13; ; ; ; 23/20
West Ham; 23/10; 12/5; 12/5; 23/10; 5/2; 5/2; 13/5; 5/2; 12/5; 23/10; 12/5; 5/2; 49/20; 23/10; 12/5; 5/2; 27/11; 23/10; 13/5; 27/11; 13/5; 5/2; 13/5; 23/10; 13/5; ; ; ; 5/2
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 27/10; 12/5; 13/5; 12/5; 23/10; 23/10; 12/5; 51/20; 12/5; 40/17; 12/5; 40/17; ; ; ; 12/5
META; english/premier-league/stoke-v-west-ham; 2017-04-28 10:10:59 GMT+3; 2017-04-29 15:00; e70300-dr003
Stoke; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 113/100; 10/9; 13/12; 11/10; 19/17; ; ; 21/20; 10/9
Draw; 5/2; 5/2; 13/5; 21/10; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 12/5; 23/10; 51/20; 5/2; 12/5; 12/5; 27/11; 12/5; 12/5; 27/11; 5/2; 27/11; 27/11; 12/5; 5/2; ; ; 12/5; 5/2
West Ham; 11/4; 13/5; 27/10; 13/5; 11/4; 27/10; 14/5; 5/2; 13/5; 5/2; 13/5; 13/5; 51/20; 14/5; 13/5; 27/10; 45/17; 11/4; 27/10; 45/17; 141/50; 13/5; 27/10; 13/5; 11/4; ; ; 13/5; 27/10
META; english/premier-league/stoke-v-west-ham; 2017-04-28 11:00:31 GMT+3; 2017-04-29 15:00; e70300-dr003
Stoke; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 113/100; 10/9; 13/12; 11/10; 19/17; ; 11/10; 10/9; 10/9
Draw; 5/2; 5/2; 13/5; 21/10; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 12/5; 23/10; 51/20; 5/2; 12/5; 12/5; 27/11; 12/5; 12/5; 27/11; 5/2; 27/11; 27/11; 12/5; 5/2; ; 12/5; 12/5; 5/2
West Ham; 11/4; 13/5; 27/10; 13/5; 11/4; 27/10; 14/5; 5/2; 13/5; 5/2; 13/5; 13/5; 51/20; 14/5; 13/5; 27/10; 45/17; 11/4; 27/10; 45/17; 141/50; 13/5; 27/10; 13/5; 11/4; ; 13/5; 13/5; 27/10
META; english/premier-league/stoke-v-west-ham; 2017-04-28 16:10:17 GMT+3; 2017-04-29 15:00; e70300-dr003
Stoke; 11/10; 21/20; 11/10; 23/20; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 113/100; 15/14; 13/12; 11/10; 19/17; ; 11/10; 10/9; 21/20
Draw; 5/2; 5/2; 13/5; 21/10; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 12/5; 5/2; 51/20; 5/2; 12/5; 5/2; 27/11; 12/5; 12/5; 27/11; 5/2; 27/11; 27/11; 12/5; 5/2; ; 12/5; 12/5; 12/5
West Ham; 11/4; 5/2; 27/10; 13/5; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 13/5; 13/5; 51/20; 14/5; 11/4; 27/10; 27/10; 11/4; 27/10; 27/10; 141/50; 11/4; 27/10; 11/4; 11/4; ; 11/4; 27/10; 14/5
