META; english/premier-league/swansea-v-watford; 2016-10-02 00:17:08 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; ; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; 11/8; ; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 40/17; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 12/5; ; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-02 04:17:09 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; ; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-02 08:17:11 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; ; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; 11/8; ; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 40/17; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 12/5; ; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-02 12:17:16 GMT+3; 2016-10-22 15:00; e70300-dr003
Swansea; ; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; 11/8; ; ; ; ; ; 
Watford; ; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 40/17; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 12/5; ; ; ; ; ; 
META; english/premier-league/swansea-v-watford; 2016-10-02 16:17:35 GMT+3; 2016-10-22 15:00; e70300-dr003
