META; english/premier-league/tottenham-v-bournemouth; 2017-04-02 08:17:32 GMT+3; 2017-04-15 12:30; e70300-dr003
Tottenham; ; ; 2/7; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; 9; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-04-05 11:21:57 GMT+3; 2017-04-15 12:30; e70300-dr003
Tottenham; ; ; 2/7; ; ; ; ; 2/7; 3/10; ; ; ; ; ; ; ; ; 3/10; ; ; 1/3; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; 9/2; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; ; 
Bournemouth; ; ; 9; ; ; ; ; 9; 9; ; ; ; ; ; ; ; ; 9; ; ; 10; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-04-05 16:16:16 GMT+3; 2017-04-15 12:30; e70300-dr003
Tottenham; ; ; 2/7; ; ; ; ; 2/7; 3/10; ; ; ; ; ; ; ; ; 3/10; ; ; 1/3; ; ; ; ; ; ; ; 
Draw; ; ; 4; ; ; ; ; 4; 9/2; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; ; 
Bournemouth; ; ; 9; ; ; ; ; 9; 9; ; ; ; ; ; ; ; ; 9; ; ; 10; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-04-05 20:16:09 GMT+3; 2017-04-15 12:30; e70300-dr003
Tottenham; 1/4; ; 2/7; ; ; ; 2/7; 2/7; 3/10; ; ; ; ; ; ; 3/10; 3/11; 3/10; ; 3/11; 31/100; ; ; ; ; ; 1/4; ; 
Draw; 5; ; 4; ; 5; ; 5; 4; 19/4; ; ; ; ; ; ; ; 49/10; 4; ; 49/10; 49/10; ; ; ; ; ; 5/2; ; 
Bournemouth; 9; ; 9; ; ; ; 11; 9; 10; ; ; ; ; ; ; 10; 37/4; 9; ; 37/4; 11; ; ; ; ; ; 5; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-04-06 11:17:10 GMT+3; 2017-04-15 12:30; e70300-dr003
