META; english/premier-league/west-brom-v-stoke; 2017-01-22 00:17:21 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; ; 5/4; 23/20; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; 21/10; ; ; ; ; 21/10; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; 9/4; 12/5; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-22 04:17:04 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; ; 5/4; 23/20; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 11/8; ; ; ; ; ; ; 
Draw; ; 9/4; 21/10; ; ; ; ; 21/10; 9/4; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
Stoke; ; 9/4; 12/5; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; 2; ; ; 12/5; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-22 08:17:08 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; ; 5/4; 23/20; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 11/8; ; ; ; ; ; ; 
Draw; ; 9/4; 21/10; ; ; ; ; 21/10; 9/4; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; 
Stoke; ; 9/4; 12/5; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; 2; ; ; 12/5; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-22 12:18:13 GMT+2; 2017-02-04 15:00; e70300-dr003
West Brom; ; 5/4; 23/20; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 23/17; ; ; 11/8; ; ; ; ; 4/6; ; 
Draw; ; 9/4; 21/10; ; ; ; ; 21/10; 9/4; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; 10/9; ; 
Stoke; ; 9/4; 12/5; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; ; ; 2; ; ; 12/5; ; ; ; ; 10/9; ; 
META; english/premier-league/west-brom-v-stoke; 2017-01-22 16:17:40 GMT+2; 2017-02-04 15:00; e70300-dr003
