META; english/premier-league/west-ham-v-hull; 2016-12-10 20:15:54 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; ; ; ; 8/13; 4/6; ; ; 4/6; 8/13; ; ; ; ; ; ; ; ; 11/17; 8/13; 8/13; ; 17/25; ; 11/17; ; ; 4/9; ; 
Draw; ; ; ; 14/5; 11/4; ; ; 11/4; 14/5; ; ; ; ; ; ; ; ; 45/17; 5/2; 13/5; ; 59/20; ; 45/17; ; ; 17/10; ; 
Hull; ; ; ; 9/2; 9/2; ; ; 7/2; 19/4; ; ; ; ; ; ; ; ; 9/2; 5; 9/2; ; 5; ; 9/2; ; ; 5/2; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-11 00:15:51 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; ; 2/3; ; 8/13; 4/6; ; ; 4/6; 8/13; ; ; ; ; ; ; 8/11; ; 11/17; 8/13; 8/13; ; 17/25; ; 11/17; ; ; 4/9; ; 
Draw; ; 11/4; ; 14/5; 11/4; ; ; 11/4; 14/5; ; ; ; ; ; ; 14/5; ; 45/17; 5/2; 13/5; ; 59/20; ; 45/17; ; ; 17/10; ; 
Hull; ; 4; ; 9/2; 9/2; ; ; 7/2; 19/4; ; ; ; ; ; ; 9/2; ; 9/2; 5; 9/2; ; 5; ; 9/2; ; ; 3; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-11 04:15:47 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; ; 2/3; ; 8/13; 4/6; ; 4/6; 4/6; 8/13; ; ; ; ; ; ; 8/11; ; 11/17; 8/13; 8/13; ; 17/25; ; 11/17; ; ; 4/9; ; 
Draw; ; 11/4; ; 14/5; 11/4; ; 11/4; 11/4; 14/5; ; ; ; ; ; ; 14/5; ; 45/17; 5/2; 13/5; ; 59/20; ; 45/17; ; ; 17/10; ; 
Hull; ; 4; ; 9/2; 9/2; ; 5; 7/2; 19/4; ; ; ; ; ; ; 9/2; ; 9/2; 5; 9/2; ; 5; ; 9/2; ; ; 3; ; 
META; english/premier-league/west-ham-v-hull; 2016-12-11 08:15:46 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; ; 2/3; ; 8/13; 4/6; ; 4/6; 4/6; 8/13; ; ; ; ; ; ; 8/11; ; 11/17; 8/13; 8/13; ; 17/25; ; 11/17; ; ; 4/9; ; 
