META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-13 20:27:49 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/19; ; ; 7/25; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 5; ; ; ; ; 7/2; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/2; ; ; 12; ; ; ; ; 19/2; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 00:26:43 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; ; 1/4; ; ; 2/7; ; 1/4; ; ; 1/4; ; ; ; 1/4; ; 1/4; 1/4; 5/19; ; 1/4; 7/25; ; ; ; ; 1/4; ; 
Draw; ; 4; ; ; 4; ; 21/5; ; ; 17/4; ; ; ; 4; ; 4; 21/5; 9/2; ; 21/5; 5; ; ; ; ; 7/2; ; 
Eibar; ; 14; ; ; 14; ; 14; ; ; 12; ; ; ; 14; ; 14; 11; 19/2; ; 11; 12; ; ; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 04:25:06 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; 2/9; 1/4; ; ; 1/4; ; 1/4; ; ; 1/4; ; ; ; 1/4; ; 1/4; 1/4; 5/19; ; 1/4; 7/25; ; ; ; ; 1/4; ; 
Draw; 5; 9/2; ; ; 9/2; ; 9/2; ; ; 17/4; ; ; ; 4; ; 9/2; 21/5; 9/2; ; 21/5; 5; ; ; ; ; 7/2; ; 
Eibar; 12; 12; ; ; 14; ; 12; ; ; 12; ; ; ; 14; ; 12; 11; 19/2; ; 11; 12; ; ; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 08:25:03 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; 2/9; 1/4; ; ; 1/4; 2/9; 1/4; ; ; 1/4; ; ; ; 1/4; ; 1/4; 1/4; 1/4; ; 1/4; 7/25; ; ; ; ; 1/4; ; 
Draw; 5; 9/2; ; ; 9/2; 17/4; 9/2; ; ; 17/4; ; ; ; 4; ; 9/2; 21/5; 9/2; ; 54/13; 5; ; ; ; ; 7/2; ; 
Eibar; 12; 12; ; ; 14; 11; 12; ; ; 12; ; ; ; 14; ; 12; 11; 21/2; ; 43/4; 12; ; ; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 12:28:12 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; ; ; 1/4; ; 1/4; ; 1/4; ; 2/9; 2/9; 1/4; ; 2/9; 7/25; ; ; ; ; 1/4; ; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; ; ; 17/4; ; 9/2; ; 4; ; 9/2; 23/5; 9/2; ; 23/5; 5; ; ; ; ; 7/2; ; 
Eibar; 12; 14; ; 12; 14; 12; 14; ; ; 12; ; 12; ; 14; ; 14; 12; 21/2; ; 12; 12; ; ; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 16:26:51 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; ; 1/4; ; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; ; 2/9; 7/25; ; ; ; ; 1/4; ; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; ; 17/4; ; 9/2; ; 9/2; 9/2; 9/2; 50/11; 9/2; ; 50/11; 5; ; ; ; ; 4; ; 
Eibar; 12; 14; ; 12; 14; 12; 14; 14; ; 12; ; 12; ; 14; 10; 14; 49/4; 21/2; ; 49/4; 12; ; ; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 20:29:21 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; ; 1/4; ; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 7/25; ; 5/18; ; ; 2/9; ; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; ; 17/4; ; 9/2; ; 9/2; 9/2; 9/2; 50/11; 9/2; 21/5; 50/11; 5; ; 17/4; ; ; 4; ; 
Eibar; 12; 14; ; 12; 14; 12; 14; 14; ; 12; ; 12; ; 14; 10; 14; 49/4; 21/2; 11; 49/4; 12; ; 11; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-15 00:28:32 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 2/9; ; 1/4; 1/4; 2/9; 2/9; 2/9; ; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 7/25; ; 5/18; ; ; 2/9; ; 
Draw; 5; 9/2; ; 4; 9/2; 17/4; 19/4; 4; ; 17/4; 4; 9/2; ; 9/2; 9/2; 9/2; 23/5; 9/2; 21/5; 23/5; 5; ; 17/4; ; ; 4; ; 
Eibar; 12; 14; ; 12; 14; 12; 14; 14; ; 12; 10; 12; ; 14; 10; 14; 49/4; 21/2; 11; 49/4; 12; ; 11; ; ; 64/5; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-15 04:24:38 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/9; 1/4; ; 1/4; 1/4; 2/9; 2/9; 2/9; ; 1/4; 1/5; 1/4; ; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 7/25; ; 5/18; ; ; 2/9; ; 
Draw; 5; 4; ; 4; 9/2; 17/4; 19/4; 4; ; 17/4; 4; 9/2; ; 9/2; 9/2; 9/2; 50/11; 9/2; 21/5; 50/11; 5; ; 17/4; ; ; 4; ; 
Eibar; 11; 14; ; 12; 14; 12; 14; 14; ; 12; 10; 12; ; 14; 10; 14; 25/2; 21/2; 11; 25/2; 12; ; 11; ; ; 64/5; ; 
