META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-23 20:27:17 GMT+2; 2017-01-04 19:00; e70300-dr003
Eibar; 6/4; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; ; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; ; 
META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-24 00:26:40 GMT+2; 2017-01-04 19:00; e70300-dr003
Eibar; 6/4; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; ; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; ; 
META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-24 04:26:38 GMT+2; 2017-01-04 19:00; e70300-dr003
Eibar; 6/4; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; ; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; ; 
META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-24 08:26:30 GMT+2; 2017-01-04 19:00; e70300-dr003
Eibar; 6/4; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; ; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; ; 
META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-24 12:27:04 GMT+2; 2017-01-04 19:00; e70300-dr003
Eibar; 6/4; ; ; 31/20; ; 6/4; 31/20; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; ; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; 9/5; ; 8/5; 9/5; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 9/4; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; ; 
META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-24 16:27:43 GMT+2; 2017-01-03 18:00; e70300-dr003
Eibar; 6/4; ; ; 31/20; ; 6/4; 31/20; ; 6/4; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; 167/100; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; 9/5; ; 8/5; 9/5; ; 9/5; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; 183/100; ; ; ; ; ; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 9/4; ; 23/10; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; 23/10; ; ; ; ; ; ; 
META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-24 20:26:11 GMT+2; 2017-01-03 18:00; e70300-dr003
Eibar; 6/4; ; ; 31/20; ; 6/4; 31/20; ; 6/4; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; 167/100; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; 9/5; ; 8/5; 9/5; ; 9/5; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; 183/100; ; ; ; ; ; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 9/4; ; 23/10; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; 23/10; ; ; ; ; ; ; 
META; spain/copa-del-rey/osasuna-v-eibar; 2016-12-25 00:26:19 GMT+2; 2017-01-03 18:00; e70300-dr003
Eibar; 6/4; ; ; 31/20; ; 6/4; 31/20; ; 6/4; ; ; ; ; ; ; ; 16/11; ; ; ; 16/11; 167/100; ; ; ; ; ; ; 
Osasuna; 7/4; ; ; 9/5; ; 8/5; 9/5; ; 9/5; ; ; ; ; ; ; ; 17/10; ; ; ; 17/10; 183/100; ; ; ; ; ; ; 
Draw; 23/10; ; ; 11/5; ; 23/10; 9/4; ; 23/10; ; ; ; ; ; ; ; 11/5; ; ; ; 11/5; 23/10; ; ; ; ; ; ; 
