META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-17 04:19:42 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; ; ; ; ; ; ; ; ; ; 2/7; ; ; 1/4; ; 1/4; ; 3/11; ; ; 3/10; 3/11; 3/8; ; 3/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; 19/4; ; ; 19/4; ; 11/2; ; 22/5; ; ; 9/2; 22/5; 43/10; ; 9/2; ; ; ; ; 
Alaves; ; ; ; ; ; ; ; ; ; 9; ; ; 10; ; 9; ; 33/4; ; ; 8; 33/4; 44/5; ; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-17 08:19:41 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; ; 1/4; ; ; 2/7; 2/7; ; 1/4; ; 1/4; 1/4; 2/7; 3/10; 6/17; 3/10; 2/7; 3/8; ; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; ; 21/4; ; ; 19/4; 17/4; ; 19/4; ; 11/2; 5; 43/10; 9/2; 4; 9/2; 43/10; 43/10; ; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; ; 10; ; ; 9; 9; ; 10; ; 9; 10; 8; 8; 7; 8; 8; 44/5; ; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-17 12:20:41 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 1/4; ; ; 2/7; 2/7; ; 1/4; ; 30/100; 1/4; 5/19; 3/10; 6/17; 3/10; 5/19; 3/8; ; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 50/11; 9/2; 4; 9/2; 50/11; 43/10; ; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 21/2; ; ; 9; 9; ; 10; ; 9; 10; 17/2; 8; 7; 8; 17/2; 44/5; ; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-17 16:20:31 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 2/7; ; ; 2/7; 2/7; ; ; ; 30/100; 1/4; 5/19; 3/10; 3/10; 3/10; 5/19; 1/3; 2/7; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; ; ; 9/2; 5; 23/5; 9/2; 17/4; 9/2; 23/5; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 9; ; ; 9; 9; ; ; ; 9; 10; 35/4; 8; 31/4; 8; 35/4; 19/2; 71/10; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-17 20:20:23 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 2/7; ; ; 2/7; 2/7; ; ; ; 30/100; 1/4; 5/19; 3/10; 3/10; 3/10; 5/19; 1/3; 2/7; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; ; ; 9/2; 5; 23/5; 9/2; 17/4; 9/2; 23/5; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 9; ; ; 9; 9; ; ; ; 9; 10; 35/4; 8; 31/4; 8; 35/4; 19/2; 71/10; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 00:19:46 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 2/7; ; ; 2/7; 2/7; ; 1/4; ; 30/100; 1/4; 5/19; 3/10; 3/10; 3/10; 5/19; 1/3; 2/7; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 23/5; 9/2; 17/4; 9/2; 23/5; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 9; ; ; 9; 9; ; 10; ; 9; 10; 35/4; 8; 31/4; 8; 35/4; 19/2; 71/10; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 04:19:51 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 2/7; ; ; 2/7; 2/7; ; 1/4; ; 30/100; 1/4; 5/19; 3/10; 3/10; 3/10; 5/19; 1/3; 2/7; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 23/5; 9/2; 17/4; 9/2; 23/5; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 9; ; ; 9; 9; ; 10; ; 9; 10; 35/4; 8; 31/4; 8; 35/4; 19/2; 71/10; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 08:20:09 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 2/7; ; ; 2/7; 2/7; ; 1/4; ; 30/100; 1/4; 5/19; 3/10; 3/10; 3/10; 5/19; 1/3; 2/7; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 23/5; 9/2; 17/4; 9/2; 23/5; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 9; ; ; 9; 9; ; 10; ; 9; 10; 35/4; 8; 31/4; 8; 35/4; 19/2; 71/10; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 12:20:10 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 3/10; 3/10; 3/10; 1/4; 1/3; 2/7; 3/10; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 19/2; ; ; 9; 9; ; 10; ; 9; 10; 35/4; 8; 31/4; 8; 35/4; 19/2; 71/10; 8; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 16:20:55 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 19/2; ; ; 9; 9; ; 10; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-18 20:20:42 GMT+3; 2016-10-29 15:15; e70300-dr003
Real Madrid; 2/9; ; ; ; ; 3/10; 1/4; ; ; 2/7; 1/4; ; 1/4; ; 30/100; 1/4; 1/4; 5/18; 3/10; 1/4; 1/4; 1/3; 2/7; 5/18; ; ; ; ; 
Draw; 5; ; ; ; ; 5; 5; ; ; 19/4; 17/4; ; 19/4; ; 9/2; 5; 79/17; 9/2; 17/4; 9/2; 79/17; 49/10; 23/5; 9/2; ; ; ; ; 
Alaves; 12; ; ; ; ; 9; 19/2; ; ; 9; 9; ; 11; ; 9; 11; 9; 9; 31/4; 9; 9; 19/2; 71/10; 9; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-real-madrid; 2016-10-19 00:19:47 GMT+3; 2016-10-29 15:15; e70300-dr003
